year,player,pos,college,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,num_missing_vals
2019,Bisi Johnson,WR,Colorado St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,2019,125,1,0,13,126,11,2032,4,0
2019,Blace Brown,CB,Troy,35,2,1,0,0,35,12,1,181,2,16,0.5,4,76,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,Blake Cashman,OLB,Minnesota,67,2,1,1,0,36,0,0,0,31,6,12,4,116,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Blessuan Austin,CB,Rutgers,22,1,1,0,0,25,4,1,42,5,18,2,4,67,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2019,Bobby Evans,OT,Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,Bobby Okereke,OLB,Stanford,105,3,1,0,0,44,1,1,52,20,8,10.5,4,122,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,Brandon Knight,OT,Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2019,Brett Rypien,QB,Boise St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617,255.4,1035,50,29,90,13578,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,Brian Burns,DE,Florida St.,52,7,2,0,0,33,0,0,0,38.5,7,23,3,71,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2019,Bryce Love,RB,Stanford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,465,49,569,30,3865,618,32,4330,4,0,0,0,0,0,0,0,0,0,0,0,5
2019,Bryson Allen-Williams,OLB,South Carolina,69,1,3,0,0,43,4,0,0,25,2,6.5,5,107,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2019,Byron Cowart,DL,Maryland,20,1,0,0,0,12,2,0,13,5,0,3,1,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2019,Byron Murphy,CB,Washington,24,2,0,0,0,20,6,1,95,7,20,1,2,50,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2019,C.J. Conrad,TE,Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12,1015,80,0,0,0,80,12,1015,4,6
2019,Caleb Wilson,TE,UCLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,1675,114,1,0,4,115,5,1679,3,1
2019,Cameron Smith,OLB,USC,146,1,3,0,0,46,4,1,126,26.5,14,3.5,4,208,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,Carl Granderson,DE,Wyoming,77,3,1,1,0,42,3,1,104,35.5,3,16.5,4,96,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,Cece Jefferson,DE,Florida,62,1,2,0,0,45,0,0,0,34.5,4,10.5,4,61,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Charles Omenihu,DL,Texas,30,4,2,0,0,48,0,0,0,30,1,16.5,4,85,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,Chase Hansen,OLB,Utah,107,4,5,1,0,37,6,2,129,32.5,16,7,4,163,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2019,Chase Winovich,DE,Michigan,80,3,3,0,0,41,0,0,0,43,1,18.5,4,86,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Chauncey Gardner-Johnson,S,Florida,69,0,0,0,0,35,9,3,286,15.5,12,4,3,92,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Chris Lindstrom,OT,Boston College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Chris Slayton,DL,Syracuse,41,4,1,0,0,43,0,0,0,30.5,3,7.5,4,63,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,Christian Miller,DE,Alabama,31,0,1,0,0,28,0,0,0,15.5,2,11,4,25,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,Christian Wilkins,DL,Clemson,98,2,4,0,0,55,0,0,0,40.5,15,16,4,94,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,Clayton Thorson,QB,Northwestern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,230.9,991,53,45,61,10731,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2019,Clelin Ferrell,DE,Clemson,82,5,1,1,0,44,0,0,0,50.5,5,27,4,84,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2019,Cody Barton,OLB,Utah,103,1,3,0,0,39,1,0,7,24.5,10,9,4,132,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Cody Thompson,WR,Toledo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,3312,181,0,0,0,181,30,3312,5,0
2019,Connor McGovern,OT,Penn St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2019,D.K. Metcalf,WR,Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,1228,67,0,0,0,67,14,1228,3,0
