Name,First Name,Last Name,Team,Position,OVR
Tom Brady,Tom,Brady,Patriots,QB,99
Aaron Rodgers,Aaron,Rodgers,Packers,QB,98
Peyton Manning,Peyton,Manning,Colts,QB,98
Drew Brees,Drew,Brees,Saints,QB,96
Philip Rivers,Philip,Rivers,Chargers,QB,96
Ben Roethlisberger,Ben,Roethlisberger,Steelers,QB,94
Michael Vick,Michael,Vick,Eagles,QB,93
Matt Ryan,Matt,Ryan,Falcons,QB,90
Tony Romo,Tony,Romo,Cowboys,QB,88
Matt Schaub,Matt,Schaub,Texans,QB,88
Joe Flacco,Joe,Flacco,Ravens,QB,88
Eli Manning,Eli,Manning,Giants,QB,88
Josh Freeman,Josh,Freeman,Buccaneers,QB,87
Matt Cassel,Matt,Cassel,Chiefs,QB,86
Jay Cutler,Jay,Cutler,Bears,QB,85
Sam Bradford,Sam,Bradford,Rams,QB,85
Matt Hasselbeck,Matt,Hasselbeck,Titans,QB,84
Kevin Kolb,Kevin,Kolb,Cardinals,QB,84
Mark Sanchez,Mark,Sanchez,Jets,QB,83
Donovan McNabb,Donovan,McNabb,Vikings,QB,82
Kyle Orton,Kyle,Orton,Broncos,QB,82
Jason Campbell,Jason,Campbell,Raiders,QB,81
Ryan Fitzpatrick,Ryan,Fitzpatrick,Bills,QB,81
Matthew Stafford,Matthew,Stafford,Lions,QB,80
Kerry Collins,Kerry,Collins,Colts,QB,77
Alex Smith,Alex,Smith,49ers,QB,77
Chad Henne,Chad,Henne,Dolphins,QB,77
Cam Newton,Cam,Newton,Panthers,QB,77
Colt McCoy,Colt,McCoy,Browns,QB,77
Vince Young,Vince,Young,Eagles,QB,77
Jon Kitna,Jon,Kitna,Cowboys,QB,76
Shaun Hill,Shaun,Hill,Lions,QB,76
Matt Flynn,Matt,Flynn,Packers,QB,76
Tim Tebow,Tim,Tebow,Broncos,QB,75
Blaine Gabbert,Blaine,Gabbert,Jaguars,QB,75
Bruce Gradkowski,Bruce,Gradkowski,Bengals,QB,75
Charlie Batch,Charlie,Batch,Steelers,QB,74
Jake Locker,Jake,Locker,Titans,QB,74
Rex Grossman,Rex,Grossman,Redskins,QB,74
Mark Brunell,Mark,Brunell,Jets,QB,73
Christian Ponder,Christian,Ponder,Vikings,QB,73
Charlie Whitehurst,Charlie,Whitehurst,Seahawks,QB,73
Seneca Wallace,Seneca,Wallace,Browns,QB,73
John Beck,John,Beck,Redskins,QB,73
Matt Moore,Matt,Moore,Dolphins,QB,73
Matt Leinart,Matt,Leinart,Texans,QB,72
Caleb Hanie,Caleb,Hanie,Bears,QB,72
Luke McCown,Luke,McCown,Jaguars,QB,72
Tarvaris Jackson,Tarvaris,Jackson,Seahawks,QB,72
Brady Quinn,Brady,Quinn,Broncos,QB,72
Luke McCown,Luke,McCown,Jaguars,QB,72
Ryan Mallett,Ryan,Mallett,Patriots,QB,71
Byron Leftwich,Byron,Leftwich,Steelers,QB,71
Mike Kafka,Mike,Kafka,Eagles,QB,71
Andy Dalton,Andy,Dalton,Bengals,QB,71
Colin Kaepernick,Colin,Kaepernick,49ers,QB,70
Dennis Dixon,Dennis,Dixon,Steelers,QB,70
Derek Anderson,Derek,Anderson,Panthers,QB,70
Jimmy Clausen,Jimmy,Clausen,Panthers,QB,70
Sage Rosenfels,Sage,Rosenfels,Giants,QB,70
Tyler Thigpen,Tyler,Thigpen,Bills,QB,69
John Skelton,John,Skelton,Cardinals,QB,69
Billy Volek,Billy,Volek,Chargers,QB,69
Ricky Stanzi,Ricky,Stanzi,Chiefs,QB,68
Drew Stanton,Drew,Stanton,Lions,QB,68
A.J. Feeley,A.J.,Feeley,Rams,QB,68
Chase Daniel,Chase,Daniel,Saints,QB,67
Stephen McGee,Stephen,McGee,Cowboys,QB,67
Josh Johnson,Josh,Johnson,Buccaneers,QB,67
Hunter Cantwell,Hunter,Cantwell,Ravens,QB,67
Curtis Painter,Curtis,Painter,Colts,QB,67
Kyle Boller,Kyle,Boller,Raiders,QB,66
Joe Webb,Joe,Webb,Vikings,QB,66
T.J. Yates,T.J.,Yates,Texans,QB,66
Graham Harrell,Graham,Harrell,Packers,QB,66
Brian Hoyer,Brian,Hoyer,Patriots,QB,66
David Carr,David,Carr,Giants,QB,65
Kevin O'Connell,Kevin,O'Connell,Jets,QB,65
Terrelle Pryor,Terrelle,Pryor,Raiders,QB,65
Nathan Enderle,Nathan,Enderle,Bears,QB,64
Brad Smith,Brad,Smith,Bills,QB,64
Levi Brown,Levi,Brown,Bills,QB,63
Dan LeFevour,Dan,LeFevour,Bengals,QB,63
Jonathan Crompton,Jonathan,Crompton,Redskins,QB,63
Tyler Palko,Tyler,Palko,Chiefs,QB,62
Tyrod Taylor,Tyrod,Taylor,Ravens,QB,62
Richard Bartel,Richard,Bartel,Cardinals,QB,62
Pat Devlin,Pat,Devlin,Dolphins,QB,61
Rusty Smith,Rusty,Smith,Titans,QB,60
Josh Portis,Josh,Portis,Seahawks,QB,56
Thaddeus Lewis,Thaddeus,Lewis,Browns,QB,56
Antonio Gates,Antonio,Gates,Chargers,TE,99
Andre Johnson,Andre,Johnson,Texans,WR,97
Dallas Clark,Dallas,Clark,Colts,TE,96
Jason Witten,Jason,Witten,Cowboys,TE,96
Roddy White,Roddy,White,Falcons,WR,96
Larry Fitzgerald,Larry,Fitzgerald,Cardinals,WR,96
Reggie Wayne,Reggie,Wayne,Colts,WR,95
Calvin Johnson Jr.,Calvin,Johnson Jr.,Lions,WR,93
Greg Jennings,Greg,Jennings,Packers,WR,93
Tony Gonzalez,Tony,Gonzalez,Falcons,TE,92
Brandon Marshall,Brandon,Marshall,Dolphins,WR,92
DeSean Jackson,DeSean,Jackson,Eagles,WR,91
Dwayne Bowe,Dwayne,Bowe,Chiefs,WR,91
Vernon Davis,Vernon,Davis,49ers,TE,91
Marcedes Lewis,Marcedes,Lewis,Jaguars,TE,90
Wes Welker,Wes,Welker,Patriots,WR,90
Jermichael Finley,Jermichael,Finley,Packers,TE,90
Zach Miller,Zach,Miller,Seahawks,TE,89
Miles Austin,Miles,Austin,Cowboys,WR,89
Hakeem Nicks,Hakeem,Nicks,Giants,WR,89
Kellen Winslow,Kellen,Winslow,Buccaneers,TE,89
Steve Smith,Steve,Smith,Panthers,WR,89
Brandon Lloyd,Brandon,Lloyd,Broncos,WR,88
Marques Colston,Marques,Colston,Saints,WR,88
Anquan Boldin,Anquan,Boldin,Ravens,WR,87
Vincent Jackson,Vincent,Jackson,Chargers,WR,87
Santonio Holmes,Santonio,Holmes,Jets,WR,87
Mike Wallace,Mike,Wallace,Steelers,WR,87
Chris Cooley,Chris,Cooley,Redskins,TE,87
Hines Ward,Hines,Ward,Steelers,WR,86
Steve Johnson,Steve,Johnson,Bills,WR,86
Kenny Britt,Kenny,Britt,Titans,WR,86
Jeremy Maclin,Jeremy,Maclin,Eagles,WR,86
Owen Daniels,Owen,Daniels,Texans,TE,86
Derrick Mason,Derrick,Mason,Jets,WR,86
Greg Olsen,Greg,Olsen,Panthers,TE,86
Sidney Rice,Sidney,Rice,Seahawks,WR,85
Dustin Keller,Dustin,Keller,Jets,TE,85
Heath Miller,Heath,Miller,Steelers,TE,85
Percy Harvin,Percy,Harvin,Vikings,WR,85
Santana Moss,Santana,Moss,Redskins,WR,85
Braylon Edwards,Braylon,Edwards,49ers,WR,84
Visanthe Shiancoe,Visanthe,Shiancoe,Vikings,TE,84
Chad Ochocinco,Chad,Ochocinco,Patriots,WR,84
Mike Williams,Mike,Williams,Buccaneers,WR,84
Todd Heap,Todd,Heap,Cardinals,TE,84
Steve Smith,Steve,Smith,Eagles,WR,84
Rob Gronkowski,Rob,Gronkowski,Patriots,TE,84
Brent Celek,Brent,Celek,Eagles,TE,83
Jacob Tamme,Jacob,Tamme,Colts,TE,83
Plaxico Burress,Plaxico,Burress,Jets,WR,83
Jacob Tamme,Jacob,Tamme,Colts,TE,83
Brent Celek,Brent,Celek,Eagles,TE,83
Dez Bryant,Dez,Bryant,Cowboys,WR,83
Donald Driver,Donald,Driver,Packers,WR,82
Aaron Hernandez,Aaron,Hernandez,Patriots,TE,82
Pierre Garcon,Pierre,Garcon,Colts,WR,82
Brandon Pettigrew,Brandon,Pettigrew,Lions,TE,81
Lee Evans,Lee,Evans,Ravens,WR,81
Jeremy Shockey,Jeremy,Shockey,Panthers,TE,81
Mario Manningham,Mario,Manningham,Giants,WR,81
Jermaine Gresham,Jermaine,Gresham,Bengals,TE,80
A.J. Green,A.J.,Green,Bengals,WR,80
Mike Sims-Walker,Mike,Sims-Walker,Rams,WR,80
Malcom Floyd,Malcom,Floyd,Chargers,WR,80
Michael Crabtree,Michael,Crabtree,49ers,WR,80
Roy Williams,Roy,Williams,Bears,WR,79
Johnny Knox,Johnny,Knox,Bears,WR,79
Mike Thomas,Mike,Thomas,Jaguars,WR,79
Jerricho Cotchery,Jerricho,Cotchery,Steelers,WR,79
Josh Cribbs,Josh,Cribbs,Browns,WR,79
Fred Davis,Fred,Davis,Redskins,TE,79
Jordy Nelson,Jordy,Nelson,Packers,WR,79
Austin Collie,Austin,Collie,Colts,WR,79
Bo Scaife,Bo,Scaife,Bengals,TE,78
Davone Bess,Davone,Bess,Dolphins,WR,78
Mark Clayton,Mark,Clayton,Rams,WR,78
Josh Morgan,Josh,Morgan,49ers,WR,78
Lance Moore,Lance,Moore,Saints,WR,78
Nate Burleson,Nate,Burleson,Lions,WR,78
Julio Jones,Julio,Jones,Falcons,WR,78
Nate Washington,Nate,Washington,Titans,WR,78
Kevin Walter,Kevin,Walter,Texans,WR,78
Steve Breaston,Steve,Breaston,Chiefs,WR,78
Devin Hester,Devin,Hester,Bears,WR,77
Jimmy Graham,Jimmy,Graham,Saints,TE,77
Anthony Armstrong,Anthony,Armstrong,Redskins,WR,77
Jason Avant,Jason,Avant,Eagles,WR,77
Evan Moore,Evan,Moore,Browns,TE,77
James Jones,James,Jones,Packers,WR,77
Kevin Boss,Kevin,Boss,Raiders,TE,77
Randy McMichael,Randy,McMichael,Chargers,TE,77
Robert Meachem,Robert,Meachem,Saints,WR,77
Deion Branch,Deion,Branch,Patriots,WR,77
Devery Henderson,Devery,Henderson,Saints,WR,76
Jared Cook Jr.,Jared,Cook Jr.,Titans,TE,76
Mohamed Massaquoi,Mohamed,Massaquoi,Browns,WR,76
Arrelious Benn,Arrelious,Benn,Buccaneers,WR,76
John Carlson,John,Carlson,Seahawks,TE,76
David Thomas,David,Thomas,Saints,TE,76
Michael Jenkins,Michael,Jenkins,Vikings,WR,76
Tony Moeaki,Tony,Moeaki,Chiefs,TE,76
John Carlson,John,Carlson,Seahawks,TE,76
Danny Amendola,Danny,Amendola,Rams,WR,75
Louis Murphy,Louis,Murphy,Raiders,WR,75
Leonard Pope,Leonard,Pope,Chiefs,TE,75
Anthony Fasano,Anthony,Fasano,Dolphins,TE,75
Tony Scheffler,Tony,Scheffler,Lions,TE,75
Earl Bennett,Earl,Bennett,Bears,WR,74
Jordan Shipley,Jordan,Shipley,Bengals,WR,74
Brandon Tate,Brandon,Tate,Bengals,WR,74
Andre Caldwell,Andre,Caldwell,Bengals,WR,74
Jerome Simpson,Jerome,Simpson,Bengals,WR,74
Jacoby Ford,Jacoby,Ford,Raiders,WR,74
Jacoby Jones,Jacoby,Jones,Texans,WR,74
Patrick Crayton,Patrick,Crayton,Chargers,WR,74
Brandon Gibson,Brandon,Gibson,Rams,WR,74
David Gettis,David,Gettis,Panthers,WR,74
Brian Hartline,Brian,Hartline,Dolphins,WR,74
Ted Ginn,Ted,Ginn,49ers,WR,74
Bernard Berrian,Bernard,Berrian,Vikings,WR,74
Legedu Naanee,Legedu,Naanee,Panthers,WR,73
