Geographic Location,county,state,poverty_pct,med_income
"Dahlonega, GA", Lumpkin County, GA,14.9,"$55,583"
"Charleston, WV", Kanawha County, WV,17.1,"$41,926"
"Maumee, OH", Lucas County, OH,18.7,"$47,865"
"Bowling Green, OH", Wood County, OH,10.1,"$55,879"
"Dearborn, MI", Wayne County, MI,20.9,"$38,704"
"Hillside, IL", Cook County, IL,9.6,"$54,465"
"Sugar Hill, GA", Gwinnett County, GA,9.2,"$72,008"
"Thompsons Station, TN", Williamson County, TN,6.4,"$87,817"
"Mount Olive, MS", Morris County, MS,20.2,"$41,418"
"Alabaster, AL", Shelby County, AL,20.6,"$41,961"
"Dacula, GA", Gwinnett County, GA,9.2,"$72,008"
"Marianna, FL", Jackson County, FL,12.0,"$52,919"
"Hattiesburg, MS", Forrest County, MS,24.0,"$39,061"
"Florence, KY", Boone County, KY,22.5,"$38,110"
"Zachary, LA", East Baton Rouge Parish, LA,16.7,"$52,945"
"Brownsboro, TX", Henderson County, TX,19.4,"$43,337"
"Plaquemine, LA", Iberville Parish, LA,23.8,"$47,917"
"York, NE",York County, NE,5.5,"$86,317"
"Grand Bay, AL", Mobile County, AL,20.8,"$43,598"
"Napoleonville, LA", Assumption Parish, LA,20.7,"$48,120"
"Kinder, LA", Allen Parish, LA,19.6,"$44,395"
"Raleigh, MS", Smith County, MS,15.0,"$56,848"
"Owensboro, KY", Daviess County, KY,14.9,"$51,255"
"Hogansville, GA", Troup County, GA,20.2,"$45,234"
"Elizabethtown, KY", Hardin County, KY,12.4,"$60,909"
"Chattanooga, TN", Hamilton County, TN,14.7,"$49,210"
"Cedar Park, TX", Williamson County, TX,6.4,"$87,817"
"Leander, TX", Williamson County, TX,6.4,"$87,817"
"Clarksdale, MS", Coahoma County, MS,35.9,"$29,380"
"Tupelo, MS", Lee County, MS,24.8,"$34,796"
"Buena Park, CA", Orange County, CA,9.4,"$63,681"
"Alcoa, TN", Blount County, TN,9.9,"$57,939"
"Wimberley, TX", Hays County, TX,13.2,"$68,180"
"Abingdon, MD", Harford County, MD,7.0,"$87,959"
"Ponce De Leon, FL", Holmes County, FL,9.4,"$60,828"
"Scottsboro, AL", Jackson County, AL,12.0,"$52,919"
"Brookhaven, MS", Lincoln County, MS,7.9,"$69,598"
"Ville Platte, LA", Evangeline Parish, LA,27.3,"$34,113"
"Waynesboro, MS", Wayne County, MS,20.9,"$38,704"
"Ocean Springs, MS", Jackson County, MS,12.0,"$52,919"
"Charleston, MS", Coles County, MS,20.0,"$47,291"
"Ardmore, OK", Carter County, OK,19.1,"$39,202"
"Owasso, OK", Tulsa County, OK,14.1,"$55,796"
"Elk River, MN", Sherburne County, MN,6.5,"$81,850"
"Earle, AR", Crittenden County, AR,17.8,"$43,624"
"Ridgeland, MS", Madison County, MS,10.1,"$60,450"
"Brandon, MS",,,,"$100,075"
"Hurley, MS", George County, MS,16.1,"$47,246"
"Maplesville, AL", Chilton County, AL,17.3,"$47,547"
"Sachse, TX", Dallas County, TX,14.2,"$59,838"
"Saint James, LA",St. James Parish, LA,16.8,"$53,903"
"Rockwood, MI", Wayne County, MI,20.9,"$38,704"
"Natchez, MS", Adams County, MS,15.3,"$43,000"
"Ellisville, MS", Jones County, MS,22.0,"$43,903"
"Pontotoc, MS", Pontotoc County, MS,15.3,"$48,450"
"Baxley, GA",,,,"$100,075"
"Greenwood, SC",Greenwood County, SC,18.3,"$43,879"
"Summerville, SC", Dorchester County, SC,11.0,"$65,468"
"North Charleston, SC", Charleston County, SC,14.2,"$62,958"
"Waycross, GA", Ware County, GA,23.6,"$38,357"
"Vance, SC", Orangeburg County, SC,25.9,"$37,134"
"Studio City, CA", Los Angeles County, CA,14.2,"$67,986"
"Florissant, MO", Saint Louis County, MO,,"$100,075"
"Blue Springs, MO", Jackson County, MO,12.0,"$52,919"
"Springfield, MO", Greene County, MO,8.1,"$67,498"
"Forsyth, GA",Forsyth County, GA,16.4,"$50,112"
"Raytown, MO", Jackson County, MO,12.0,"$52,919"
"Buhl, AL", Tuscaloosa County, AL,16.8,"$52,557"
"Madison, AL", Lane County, AL,18.1,"$53,161"
"Bessemer, AL", Jefferson County, AL,8.1,"$65,831"
"Slocomb, AL", Geneva County, AL,21.3,"$37,823"
"Butler, GA",,,,"$100,075"
"Lake Butler, FL", Union County, FL,19.8,"$40,322"
"Colorado Springs, CO", El Paso County, CO,20.5,"$43,948"
"New Roads, LA", Pointe Coupee Parish, LA,20.3,"$46,603"
"Longview, TX", Gregg County, TX,15.1,"$50,610"
"Garland, TX", Dallas County, TX,14.2,"$59,838"
"Overland Park, KS", Johnson County, KS,10.3,"$57,676"
"Yoakum, TX",Yoakum County, TX,12.1,"$61,560"
"Stephenville, TX", Erath County, TX,18.1,"$47,087"
"Wichita Falls, TX", Wichita County, TX,17.8,"$47,477"
"Allentown, PA", Lehigh County, PA,12.0,"$62,139"
"Berwick, LA", Columbia County, LA,7.6,"$65,435"
"Boston, MA", Suffolk County, MA,7.3,"$100,075"
"Canton, MS", Cook County, MS,9.6,"$54,465"
"Marshall, TX", Harrison County, TX,16.7,"$47,942"
"Bastrop, LA",Bastrop County, LA,12.6,"$61,883"
"Gurley, AL", Madison County, AL,10.1,"$60,450"
"Lehigh Acres, FL", Lee County, FL,24.8,"$34,796"
"Harvey, LA",Harvey County, LA,10.4,"$57,934"
"Wetumpka, AL", Elmore County, AL,12.9,"$49,344"
"Anderson, SC", Anderson County, SC,19.8,"$45,969"
"Pinson, AL", Jefferson County, AL,8.1,"$65,831"
"Muskegon, MI", Muskegon County, MI,15.7,"$49,960"
"Flint, MI", Genesee County, MI,9.9,"$58,925"
"Mount Clemens, MI", Macomb County, MI,11.0,"$62,191"
"Petoskey, MI", Emmet County, MI,8.3,"$58,891"
"Americus, GA", Sumter County, GA,18.7,"$45,181"
"Oak Park, IL", Cook County, IL,9.6,"$54,465"
"Matawan, NJ", Monmouth County, NJ,6.7,"$99,223"
"Estill, SC", Hampton County, SC,25.8,"$35,871"
"Celebration, FL", Alachua County, FL,19.8,"$51,026"
"Clermont, FL", Lake County, FL,36.5,"$33,709"
"Opa Locka, FL", Miami-Dade County, FL,16.0,"$52,043"
"Pasadena, TX", Harris County, TX,16.5,"$60,241"
"Coconut Creek, FL", Broward County, FL,12.6,"$57,200"
"Florida City, FL", Miami-Dade County, FL,16.0,"$52,043"
"Leimert Park, CA", Los Angeles County, CA,14.2,"$67,986"
"Coral Gables, FL", Miami-Dade County, FL,16.0,"$52,043"
"Orange City, FL", Volusia County, FL,13.2,"$50,285"
"Lake Tapps, WA", Pierce County, WA,8.5,"$75,421"
"Logansport, LA", Cass County, LA,20.4,"$44,154"
"Spring Branch, TX", Comal County, TX,7.1,"$76,523"
"Manor, TX", Travis County, TX,12.0,"$76,255"
"Texarkana, TX", Bowie County, TX,19.1,"$47,339"
"Euless, TX", Tarrant County, TX,12.1,"$66,059"
"Jersey City, NJ", Hudson County, NJ,14.3,"$73,337"
"Glens Falls, NY", Warren County, NY,10.3,"$65,635"
"East Norwich, NY", Nassau County, NY,5.8,"$115,301"
"Glenn Dale, MD", Prince George's County, MD,8.3,"$82,445"
"Goshen, NY", Orange County, NY,9.4,"$63,681"
"Pine Brook, NJ", Monmouth County, NJ,6.7,"$99,223"
"Rockford, IL", Winnebago County, IL,10.4,"$57,785"
"Decatur, MS", Morgan County, MS,10.8,"$49,487"
"Hallettsville, TX", Lavaca County, TX,13.5,"$51,128"
"Walters, OK", Cotton County, OK,16.2,"$43,386"
"Boerne, TX", Kendall County, TX,7.5,"$90,937"
"Franklin Square, NY", Nassau County, NY,5.8,"$115,301"
"Bealeton, VA", Fauquier County, VA,6.1,"$93,462"
"Frostproof, FL", Polk County, FL,9.6,"$59,990"
"Pahokee, FL", Palm Beach County, FL,12.2,"$61,735"
"Olathe, KS", Johnson County, KS,10.3,"$57,676"
"Bethel Park, PA", Windsor County, PA,9.6,"$57,438"
"Ashland, NE", Saunders County, NE,7.8,"$67,897"
"Richfield, OH", Summit County, OH,6.2,"$105,374"
"Springfield, OH", Clark County, OH,11.9,"$55,245"
"Barberton, OH", Summit County, OH,6.2,"$105,374"
"Thornville, OH", Perry County, OH,17.6,"$41,960"
"Norristown, PA", Montgomery County, PA,24.1,"$52,538"
"Pickerington, OH", Fairfield County, OH,23.7,"$39,522"
"Mcarthur, OH", Vinton County, OH,19.0,"$43,457"
"Indian Land, SC", Lancaster County, SC,12.3,"$52,814"
"Ottawa, OH",Ottawa County, OH,20.6,"$38,194"
"Powell, OH", Delaware County, OH,8.8,"$71,961"
"Monroe, OH",Monroe County, OH,13.2,"$58,391"
"Sidney, OH", Shelby County, OH,20.6,"$41,961"
"Bedford Heights, OH", Cuyahoga County, OH,17.9,"$50,006"
"Sunnyvale, CA", Santa Clara County, CA,7.3,"$125,933"
"Wheeling, WV", Ohio County, WV,12.5,"$48,689"
"Saint Francis, WI",,,,"$100,075"
"Oswego, IL", Kendall County, IL,7.5,"$90,937"
"Aurora, IL", Kane County, IL,10.5,"$52,355"
"Chelsea, MI", Washtenaw County, MI,15.0,"$72,267"
"Grandville, MI", Kent County, MI,13.3,"$47,625"
"Skokie, IL", Cook County, IL,9.6,"$54,465"
"London, ON", Shelby County, ON,20.6,"$41,961"
"Lake Villa, IL", Lake County, IL,36.5,"$33,709"
"Mundelein, IL", Lake County, IL,36.5,"$33,709"
"Leesburg, FL", Lake County, FL,36.5,"$33,709"
"Olympia Fields, IL", Cook County, IL,9.6,"$54,465"
"Maryland Heights, MO", Saint Louis County, MO,,"$100,075"
"Belleville, MI", Wayne County, MI,20.9,"$38,704"
"Fairmont, WV", Marion County, WV,16.6,"$46,244"
"Aliquippa, PA", Beaver County, PA,9.4,"$55,940"
"Collierville, TN", Shelby County, TN,20.6,"$41,961"
"Mcmurray, PA", Washington County, PA,4.5,"$75,799"
"Canton, OH", Stark County, OH,14.4,"$52,310"
"The Woodlands, TX", Montgomery County, TX,24.1,"$52,538"
"Sherman, TX",Sherman County, TX,12.1,"$57,052"
"Georgetown, TX", Williamson County, TX,6.4,"$87,817"
"Irving, TX", Dallas County, TX,14.2,"$59,838"
"Montoursville, PA", Lycoming County, PA,13.0,"$53,820"
"New Haven, CT", Boulder County, CT,9.7,"$83,591"
"Edmonton, AB", Metcalfe County, AB,23.3,"$35,906"
"Elmira, NY", Chemung County, NY,13.5,"$52,565"
"Hartford, CT", Oakland County, CT,8.2,"$80,319"
"Hamilton, NJ", Monmouth County, NJ,6.7,"$99,223"
"Bellport, NY", Suffolk County, NY,7.3,"$100,075"
"Moore Township, PA", Northampton County, PA,18.8,"$43,157"
"East Hartford, CT", Hartford County, CT,11.2,"$73,037"
"Havre De Grace, MD", Harford County, MD,7.0,"$87,959"
"Hockessin, DE", New Castle County, DE,11.6,"$69,562"
"West Allis, WI",,,,"$100,075"
"Chesterton, IN", Porter County, IN,8.9,"$69,298"
"Los Altos, CA", Santa Clara County, CA,7.3,"$125,933"
"Conroe, TX", Montgomery County, TX,24.1,"$52,538"
"Arp, TX", Smith County, TX,15.0,"$56,848"
"Carthage, TX", Panola County, TX,15.7,"$51,192"
"Angleton, TX", Brazoria County, TX,10.1,"$74,225"
"Oak Hills, CA", San Bernardino County, CA,14.9,"$63,310"
"El Paso, TX", El Paso County, TX,20.5,"$43,948"
"Wylie, TX", Collin County, TX,6.4,"$96,936"
"Castroville, TX", Medina County, TX,12.3,"$59,304"
"Carson, CA", Los Angeles County, CA,14.2,"$67,986"
"Fort Washington, MD", Prince George's County, MD,8.3,"$82,445"
"Orange Park, FL", Clay County, FL,25.1,"$35,983"
"Manchester, CT",,,,"$100,075"
"Stockbridge, GA", Henry County, GA,20.0,"$36,471"
"Howell, MI", Livingston County, MI,12.5,"$61,027"
"Big Stone Gap, VA", Wise County, VA,25.4,"$38,045"
"Chesapeake, VA",,,,"$100,075"
"Abington, PA", Montgomery County, PA,24.1,"$52,538"
"Shelby, NC", Cleveland County, NC,11.9,"$62,343"
"East Mims, FL", Brevard County, FL,11.0,"$57,612"
"Baldwinsville, NY", Onondaga County, NY,13.7,"$59,786"
"Beverly, NJ", Burlington County, NJ,6.2,"$84,470"
"Frackville, PA", Schuylkill County, PA,13.0,"$48,809"
"Yonkers, NY", Westchester County, NY,8.3,"$94,521"
"Valley Stream, NY", Nassau County, NY,5.8,"$115,301"
"Lagrange, GA", Troup County, GA,20.2,"$45,234"
"Macclenny, FL", Baker County, FL,15.4,"$45,972"
"North Augusta, SC", Aiken County, SC,15.0,"$52,633"
"North Myrtle Beach, SC", Horry County, SC,14.3,"$49,082"
"Thomson, GA", McDuffie County, GA,19.9,"$42,768"
"Stillwater, OK",,,,"$100,075"
"Collinsville, OK", Tulsa County, OK,14.1,"$55,796"
"Heath, TX", Rockwall County, TX,5.1,"$102,858"
"San Ramon, CA", Contra Costa County, CA,7.8,"$101,463"
"Saint Rose, LA", Clinton County, LA,12.3,"$50,999"
"Donaldsonville, LA", Ascension Parish, LA,10.8,"$77,758"
"Port Arthur, TX", Jefferson County, TX,8.1,"$65,831"
"Alexandria, LA",,,,"$100,075"
"Milledgeville, GA", Baldwin County, GA,23.8,"$42,727"
"Brookhaven, GA", DeKalb County, GA,17.4,"$47,420"
"Augusta, GA", Richmond County, GA,15.9,"$49,399"
"Fort Valley, GA", Peach County, GA,24.0,"$46,525"
"Pewaukee, WI", Waukesha County, WI,5.0,"$87,333"
"Long Grove, IA", Scott County, IA,18.5,"$40,161"
"Avon, CT",,,,"$100,075"
"Belmont, MA", Middlesex County, MA,12.7,"$54,871"
"Hallandale, FL", Broward County, FL,12.6,"$57,200"
"Kingston, NY", Ulster County, NY,14.3,"$63,073"
"East Longmeadow, MA", Hampden County, MA,16.7,"$52,682"
"West Jordan, UT", Salt Lake County, UT,9.0,"$73,619"
"Aurora, CO",Aurora County, CO,10.2,"$53,107"
"Hershey, NE", Lincoln County, NE,7.9,"$69,598"
"Kerman, CA", Fresno County, CA,21.3,"$52,318"
"Modesto, CA", Stanislaus County, CA,15.6,"$59,616"
"Roxboro, NC", Person County, NC,14.8,"$50,149"
"Clayton, NC", Johnston County, NC,19.5,"$39,756"
"Lexington, NC", Davidson County, NC,15.4,"$60,799"
"Harrison, OH",Harrison County, OH,16.7,"$47,942"
"Minneapolis, MN", Hennepin County, MN,10.3,"$76,067"
"Macedonia, OH", Summit County, OH,6.2,"$105,374"
"La Grande, OR", Union County, OR,19.8,"$40,322"
"Jenks, OK", Tulsa County, OK,14.1,"$55,796"
"Queens, NY", Queens County, NY,11.6,"$68,432"
"Gloucester, VA",Gloucester County, VA,9.1,"$70,938"
"Surry, VA",Surry County, VA,12.9,"$54,663"
"Lauderhill, FL", Broward County, FL,12.6,"$57,200"
"Manson, NC", Warren County, NC,10.3,"$65,635"
"Jefferson, SC", Chesterfield County, SC,7.6,"$80,734"
"Lynchburg, VA",,,,"$100,075"
"Hampton, VA",,,,"$100,075"
"Wallace, NC", Duplin County, NC,20.4,"$42,725"
"Norton, KS",Norton County, KS,14.6,"$47,252"
"Cheyenne, WY", Union County, WY,19.8,"$40,322"
"Kailua Kona, HI", Hawaiʻi County, HI,,"$100,075"
"Prince Georges Metro C, MD",,,,"$100,075"
"Inkster, MI", Wayne County, MI,20.9,"$38,704"
"Loganville, GA",,,,"$100,075"
"Pickton, TX", Hopkins County, TX,14.6,"$52,079"
"Tustin, CA", Orange County, CA,9.4,"$63,681"
"Prosper, TX", Collin County, TX,6.4,"$96,936"
"Old Bridge, NJ", Middlesex County, NJ,12.7,"$54,871"
"New York, NY",,,,"$100,075"
"Mount Laurel, NJ", Burlington County, NJ,6.2,"$84,470"
"Rio Rancho, NM", Sandoval County, NM,12.6,"$57,036"
"Lancaster, TX", Dallas County, TX,14.2,"$59,838"
"Klein, TX", Harris County, TX,16.5,"$60,241"
"Killeen, TX", Bell County, TX,13.0,"$54,292"
"Muskogee, OK",Muskogee County, OK,15.6,"$43,911"
"Ossining, NY", Westchester County, NY,8.3,"$94,521"
"Palm Coast, FL", Flagler County, FL,10.3,"$58,975"
"Wheatland, CA", Yuba County, CA,17.2,"$47,504"
"Lompoc, CA", Santa Barbara County, CA,12.6,"$75,646"
"Clackamas, OR", Clackamas County, OR,7.3,"$81,061"
"Woodbridge, VA", Prince William County, VA,6.4,"$106,200"
"Monmouth Junction, NJ", Middlesex County, NJ,12.7,"$54,871"
"Harrisburg, PA", Dauphin County, PA,13.2,"$57,979"
"Howell, NJ", Monmouth County, NJ,6.7,"$99,223"
"Owings Mills, MD", Baltimore County, MD,9.9,"$75,836"
"Ottawa, ON", Lake County, ON,36.5,"$33,709"
"Camp Hill, PA",,,,"$100,075"
"Spring, TX", Harris County, TX,16.5,"$60,241"
"Merrimac, MA", Essex County, MA,13.7,"$50,785"
"Nazareth, PA", Northampton County, PA,18.8,"$43,157"
"Midland, TX",Midland County, TX,10.1,"$80,189"
"Sylvania, GA", Screven County, GA,25.9,"$39,048"
"Smyrna, GA", Cobb County, GA,9.1,"$78,603"
"Evans, GA", Galveston County, GA,12.1,"$71,959"
"Senatobia, MS", Tate County, MS,17.6,"$48,082"
"Manchester, GA", Meriwether County, GA,24.4,"$38,886"
"Boiling Springs, SC", Spartanburg County, SC,13.6,"$53,567"
"Franklin, GA", Nassau County, GA,5.8,"$115,301"
"Lindenhurst, NY", Suffolk County, NY,7.3,"$100,075"
"Pocatello, ID", Bannock County, ID,13.8,"$51,300"
"Louisville, OH", Stark County, OH,14.4,"$52,310"
"Ramsey, NJ", Bergen County, NJ,6.8,"$100,181"
"Nashport, OH", Muskingum County, OH,16.6,"$49,586"
"Dinwiddie, VA",Dinwiddie County, VA,12.5,"$57,257"
"Stow, OH", Summit County, OH,6.2,"$105,374"
"Murfreesboro, TN", Rutherford County, TN,10.4,"$64,170"
"New Castle, PA", Lawrence County, PA,17.7,"$43,651"
"Courtland, AL", Blair County, AL,14.4,"$49,244"
"Jensen Beach, FL", Martin County, FL,13.6,"$56,484"
"Sanford, NC", Lee County, NC,24.8,"$34,796"
"Lathrup Village, MI", Oakland County, MI,8.2,"$80,319"
"Newtown, PA", Schuylkill County, PA,13.0,"$48,809"
"Gurnee, IL", Lake County, IL,36.5,"$33,709"
"Harborcreek, PA", Erie County, PA,15.3,"$48,453"
"Lexington, MS", Davidson County, MS,15.4,"$60,799"
"Fort Morgan, CO", Morgan County, CO,10.8,"$49,487"
"Fort Collins, CO", Larimer County, CO,10.5,"$71,306"
"Calabasas, CA", Los Angeles County, CA,14.2,"$67,986"
"Pueblo, CO",Pueblo County, CO,17.2,"$48,308"
"Claremont, CA", Los Angeles County, CA,14.2,"$67,986"
"Collins, MS", Essex County, MS,13.7,"$50,785"
"Fairburn, GA", Fulton County, GA,11.5,"$52,277"
"Powder Springs, GA", Cobb County, GA,9.1,"$78,603"
"Peoria, IL", Peoria County, IL,16.6,"$56,478"
"Mokena, IL", Will County, IL,6.4,"$86,108"
"Warren, AR", Bradley County, AR,14.7,"$50,427"
"Draper, UT",,,,"$100,075"
"Provo, UT", Utah County, UT,9.4,"$75,296"
"Highland, UT", Utah County, UT,9.4,"$75,296"
"Hernando, MS", DeSoto County, MS,9.0,"$68,126"
"Roland, AR", Pulaski County, AR,14.6,"$50,834"
"Hiram, GA", Paulding County, GA,10.3,"$53,876"
"Gaithersburg, MD", Montgomery County, MD,24.1,"$52,538"
"Lake City, FL", Columbia County, FL,7.6,"$65,435"
"Malcolm, NE", Lancaster County, NE,12.3,"$52,814"
"Norfolk, NE", Madison County, NE,10.1,"$60,450"
"Clarkson, NE", Colfax County, NE,19.8,"$41,592"
"Spokane Valley, WA", Spokane County, WA,13.0,"$59,408"
"Arvada, CO", Jefferson County, CO,8.1,"$65,831"
"Mckinleyville, CA", Humboldt County, CA,11.9,"$72,873"
"Mukilteo, WA", Snohomish County, WA,7.5,"$87,096"
"Coeur d'Alene, ID", Kootenai County, ID,10.3,"$56,188"
"Midlothian, VA", Chesterfield County, VA,7.6,"$80,734"
"Port Saint Lucie, FL", St. Lucie County, FL,12.1,"$53,377"
"Titusville, FL", Brevard County, FL,11.0,"$57,612"
"Lauderdale Lakes, FL", Broward County, FL,12.6,"$57,200"
"Conyers, GA", Rockdale County, GA,13.2,"$59,673"
"Tempe, AZ", Maricopa County, AZ,12.3,"$65,234"
"Spartanburg, SC", Spartanburg County, SC,13.6,"$53,567"
"Kinston, NC", Lenoir County, NC,22.1,"$40,433"
"Malden, MA", Middlesex County, MA,12.7,"$54,871"
"Springfield, MA", Hampden County, MA,16.7,"$52,682"
"Downingtown, PA", Chester County, PA,15.9,"$47,508"
"Surfside Beach, SC", Brazoria County, SC,10.1,"$74,225"
"Venice, FL", Sarasota County, FL,10.3,"$61,652"
"Logandale, NV", Clark County, NV,11.9,"$55,245"
"Hauula, HI", Honolulu County, HI,7.7,"$83,695"
"San Clemente, CA", Orange County, CA,9.4,"$63,681"
"Rosenberg, TX", Fort Bend County, TX,7.9,"$92,310"
"Covington, LA",Covington County, LA,26.5,"$36,083"
"Springfield, PA", Bucks County, PA,5.7,"$88,538"
"Landisville, PA", Lancaster County, PA,12.3,"$52,814"
"Severn, MD", Anne Arundel County, MD,7.0,"$97,051"
"Shoreview, MN", Ramsey County, MN,12.3,"$54,814"
"South Holland, IL", Cook County, IL,9.6,"$54,465"
"Marysville, OH", Union County, OH,19.8,"$40,322"
"Plymouth, MN", Hennepin County, MN,10.3,"$76,067"
"Oakdale, MN", Washington County, MN,4.5,"$75,799"
"Tifton, GA", Tift County, GA,19.6,"$45,680"
"Norseland, MN", Nicollet County, MN,8.7,"$66,209"
"Gautier, MS", Jackson County, MS,12.0,"$52,919"
"Broken Arrow, OK", Tulsa County, OK,14.1,"$55,796"
"Sugar Land, TX", Fort Bend County, TX,7.9,"$92,310"
"North Richland Hills, TX", Tarrant County, TX,12.1,"$66,059"
"Lantana, TX", Denton County, TX,7.3,"$88,384"
"Ennis, TX", Ellis County, TX,8.8,"$76,792"
"Anna, TX", Collin County, TX,6.4,"$96,936"
"Napa, CA", Napa County, CA,8.8,"$85,624"
"Milwaukee, WI",,,,"$100,075"
"Waianae, HI", Honolulu County, HI,7.7,"$83,695"
"Millington, TN", Shelby County, TN,20.6,"$41,961"
"Renton, WA", King County, WA,9.2,"$94,822"
"Jackson, TN", Madison County, TN,10.1,"$60,450"
"Capitol Heights, MD", Prince George's County, MD,8.3,"$82,445"
"Dalton, GA", Whitfield County, GA,14.2,"$47,074"
"Carrollton, GA", Carroll County, GA,15.7,"$41,517"
"Riverdale, GA", Clayton County, GA,9.4,"$53,968"
"Eden, NC", Rockingham County, NC,8.7,"$61,375"
"Ho Ho Kus, NJ", Bergen County, NJ,6.8,"$100,181"
"Jacksonville, NC", Onslow County, NC,15.1,"$50,531"
"Asheville, NC", Buncombe County, NC,11.5,"$53,960"
"Clemmons, NC", Forsyth County, NC,16.4,"$50,112"
"Brevard, NC", Transylvania County, NC,12.8,"$51,398"
"Cleveland, TN", Bradley County, TN,14.7,"$50,427"
"Lineville, AL", Clay County, AL,25.1,"$35,983"
"Lynden, WA", Whatcom County, WA,14.9,"$62,262"
"Neah Bay, WA", Clallam County, WA,13.3,"$57,183"
"Del Mar, CA", San Diego County, CA,11.5,"$78,777"
"Newport Coast, CA", Orange County, CA,9.4,"$63,681"
"Pasadena, CA", Los Angeles County, CA,14.2,"$67,986"
"Weddington, NC", Union County, NC,19.8,"$40,322"
"Melrose, MA", Middlesex County, MA,12.7,"$54,871"
"Sandy, UT",,,,"$100,075"
"Troy, OH", Miami County, OH,7.9,"$59,922"
"Crete, NE", Saline County, NE,12.4,"$54,569"
"Greenwood, IN", Johnson County, IN,10.3,"$57,676"
"Cordell, OK", Washita County, OK,17.8,"$47,484"
"Keizer, OR", Marion County, OR,16.6,"$46,244"
"Maple Heights, OH", Cuyahoga County, OH,17.9,"$50,006"
"Poway, CA", San Diego County, CA,11.5,"$78,777"
"Sudlersville, MD", Queen Anne's County, MD,6.5,"$93,751"
"Newton, KS", Harvey County, KS,10.4,"$57,934"
"Oakley, CA", Contra Costa County, CA,7.8,"$101,463"
"Springfield, OR", Lane County, OR,18.1,"$53,161"
"Camarillo, CA", Ventura County, CA,9.1,"$84,170"
"Silverton, OR", Marion County, OR,16.6,"$46,244"
"Norco, CA", Riverside County, CA,12.7,"$66,793"
"Redding, CA", Shasta County, CA,15.2,"$53,908"
"Friendswood, TX", Galveston County, TX,12.1,"$71,959"
"Evergreen, CO", Jefferson County, CO,8.1,"$65,831"
"Tarzana, CA", Los Angeles County, CA,14.2,"$67,986"
"Atwater, CA", Merced County, CA,21.2,"$56,169"
"Highlands Ranch, CO", Douglas County, CO,11.7,"$50,637"
"Fresno, TX", Fort Bend County, TX,7.9,"$92,310"
"Magnolia, MS", Harford County, MS,7.0,"$87,959"
"Mill Creek, WA", Snohomish County, WA,7.5,"$87,096"
"Angie, LA", Washington Parish, LA,24.6,"$36,850"
"Burtonsville, MD", Montgomery County, MD,24.1,"$52,538"
"Havertown, PA", Delaware County, PA,8.8,"$71,961"
"Fort White, FL", Columbia County, FL,7.6,"$65,435"
"Melbourne, FL", Brevard County, FL,11.0,"$57,612"
"Niceville, FL", Okaloosa County, FL,12.7,"$62,779"
"La Vergne, TN", Rutherford County, TN,10.4,"$64,170"
"Thomasville, GA", Thomas County, GA,15.0,"$48,275"
"Grayson, GA", Gwinnett County, GA,9.2,"$72,008"
"Boyds, MD", Montgomery County, MD,24.1,"$52,538"
"Duncanville, TX", Dallas County, TX,14.2,"$59,838"
"Brenham, TX", Washington County, TX,4.5,"$75,799"
"Odessa, TX", Ector County, TX,12.9,"$60,431"
"Encino, CA", Los Angeles County, CA,14.2,"$67,986"
"Corsicana, TX", Navarro County, TX,20.0,"$46,259"
"Smiths, AL", Miami County, AL,7.9,"$59,922"
"Athens, GA", Athens-Clarke County, GA,,"$100,075"
"Green Bay, WI", Brown County, WI,8.6,"$62,097"
"East Haven, CT", Gladwin County, CT,15.6,"$44,635"
"Kenosha, WI", Kenosha County, WI,12.0,"$65,013"
"Waukee, IA", Dallas County, IA,14.2,"$59,838"
"Iowa City, IA", Johnson County, IA,10.3,"$57,676"
"Reinbeck, IA", Grundy County, IA,21.2,"$36,317"
"San Rafael, CA", Marin County, CA,6.6,"$122,933"
"Many, LA", Sabine Parish, LA,23.1,"$36,423"
"Kirkland, WA", King County, WA,9.2,"$94,822"
"Greensburg, IN", Decatur County, IN,18.2,"$42,905"
"Hopewell, VA",,,,"$100,075"
"Louisville, TN", Blount County, TN,9.9,"$57,939"
"Harrisburg, NC", Cabarrus County, NC,9.0,"$69,297"
"McCormick, SC",McCormick County, SC,18.6,"$44,683"
"Columbia, IL", Richland County, IL,14.3,"$53,050"
"Danville, IL", Vermilion County, IL,19.3,"$44,638"
"Ypsilanti, MI", Washtenaw County, MI,15.0,"$72,267"
"Belleville, IL",,,,"$100,075"
"Salina, KS", Saline County, KS,12.4,"$54,569"
"Cecilia, LA", St. Martin Parish, LA,19.3,"$46,229"
"Kerens, TX", Navarro County, TX,20.0,"$46,259"
"Smackover, AR", Union County, AR,19.8,"$40,322"
"Cape Coral, FL", Lee County, FL,24.8,"$34,796"
"Fairfield, OH",Fairfield County, OH,23.7,"$39,522"
"Central, SC", Pickens County, SC,16.6,"$48,794"
"Clemson, SC", Pickens County, SC,16.6,"$48,794"
"Winston-salem, NC", Forsyth County, NC,16.4,"$50,112"
"Normal, IL", McLean County, IL,9.2,"$64,524"
"Hempstead, TX", Waller County, TX,15.9,"$59,807"
"Bixby, OK", Tulsa County, OK,14.1,"$55,796"
"Justin, TX", Denton County, TX,7.3,"$88,384"
"Belleair Bluffs, FL", Pinellas County, FL,11.7,"$52,226"
