Geographic Location,county,state,poverty_pct,med_income
"Rockwall, TX",Rockwall County, TX,5.1,"$102,858"
"Baton Rouge, LA", East Baton Rouge Parish, LA,16.7,"$52,945"
"Greenville, NC", Pitt County, NC,23.2,"$43,303"
"Waterloo, IA",,,,"$100,075"
"Paris, TX", Lamar County, TX,14.4,"$45,767"
"Zurich, ", Rooks County, ,11.2,"$47,365"
"Boca Raton, FL", Palm Beach County, FL,12.2,"$61,735"
"Columbia, SC", Richland County, SC,14.3,"$53,050"
"Breaux Bridge, LA", St. Martin Parish, LA,19.3,"$46,229"
"Casa Grande, AZ", Pinal County, AZ,12.9,"$58,848"
"Huntsville, AL", Jefferson County, AL,8.1,"$65,831"
"Wichita, KS", Sedgwick County, KS,13.4,"$56,381"
"Omaha, NE", Douglas County, NE,11.7,"$50,637"
"Council Bluffs, IA", Pottawattamie County, IA,11.8,"$56,337"
"Stanford, CA", Santa Clara County, CA,7.3,"$125,933"
"Wahiawa, HI", Honolulu County, HI,7.7,"$83,695"
"Bryan, TX", Brazos County, TX,23.2,"$50,113"
"Las Cruces, NM", Doña Ana County, NM,,"$100,075"
"Fruitland, NM", San Juan County, NM,10.2,"$62,249"
"Buckeye, AZ", Maricopa County, AZ,12.3,"$65,234"
"Dublin, CA", Alameda County, CA,9.0,"$101,744"
"Peoria, AZ", Maricopa County, AZ,12.3,"$65,234"
"Washington, DC",,,,"$100,075"
"Grapevine, TX", Tarrant County, TX,12.1,"$66,059"
"Gilbert, AZ", Maricopa County, AZ,12.3,"$65,234"
"Racine, WI",,,,"$100,075"
"Newark, NJ", Essex County, NJ,13.7,"$50,785"
"Manhattan Beach, CA", Los Angeles County, CA,14.2,"$67,986"
"Stuttgart, ", Arkansas County, ,17.9,"$43,887"
"Oceanside, CA", San Diego County, CA,11.5,"$78,777"
"Santa Rosa, CA", Sonoma County, CA,9.9,"$81,002"
"Beaver, OH", Pike County, OH,10.3,"$62,657"
