fms_city_id,city_state,county,state,poverty_pct,med_income
715.0,"Cornelius, NC", Mecklenburg County, NC,18.7,"$44,832"
2471.0,"Opelika, AL", Lee County, AL,24.8,"$34,796"
2466.0,"Oneonta, AL", Los Angeles County, AL,14.2,"$67,986"
2833.0,"Rockwall, TX",Rockwall County, TX,5.1,"$102,858"
3435.0,"Waterloo, IA",,,,"$100,075"
2540.0,"Paris, TX", Lamar County, TX,14.4,"$45,767"
3641.0,"Zurich, ", Rooks County, ,11.2,"$47,365"
363.0,"Breaux Bridge, LA", St. Martin Parish, LA,19.3,"$46,229"
507.0,"Casa Grande, AZ", Pinal County, AZ,12.9,"$58,848"
1492.0,"Huntsville, AL", Jefferson County, AL,8.1,"$65,831"
3544.0,"Wichita, KS", Sedgwick County, KS,13.4,"$56,381"
2464.0,"Omaha, NE", Douglas County, NE,11.7,"$50,637"
727.0,"Council Bluffs, IA", Pottawattamie County, IA,11.8,"$56,337"
3394.0,"Wahiawa, HI", Honolulu County, HI,7.7,"$83,695"
406.0,"Bryan, TX", Brazos County, TX,23.2,"$50,113"
1126.0,"Fruitland, NM", San Juan County, NM,10.2,"$62,249"
408.0,"Buckeye, AZ", Maricopa County, AZ,12.3,"$65,234"
865.0,"Dublin, CA", Alameda County, CA,9.0,"$101,744"
2587.0,"Peoria, AZ", Maricopa County, AZ,12.3,"$65,234"
3425.0,"Washington, DC",,,,"$100,075"
1246.0,"Grapevine, TX", Tarrant County, TX,12.1,"$66,059"
1175.0,"Gilbert, AZ", Maricopa County, AZ,12.3,"$65,234"
2733.0,"Racine, WI",,,,"$100,075"
2336.0,"Newark, NJ", Essex County, NJ,13.7,"$50,785"
1992.0,"Manhattan Beach, CA", Los Angeles County, CA,14.2,"$67,986"
3183.0,"Stuttgart, ", Arkansas County, ,17.9,"$43,887"
2444.0,"Oceanside, CA", San Diego County, CA,11.5,"$78,777"
2954.0,"Santa Rosa, CA", Sonoma County, CA,9.9,"$81,002"
223.0,"Beaver, OH", Pike County, OH,10.3,"$62,657"
2538.0,"Paramus, NJ", Bergen County, NJ,6.8,"$100,181"
267.0,"Bentonville, AR", Benton County, AR,9.8,"$69,212"
179.0,"Bakersfield, CA", Kern County, CA,20.5,"$51,586"
414.0,"Buffalo, NY", Erie County, NY,15.3,"$48,453"
3160.0,"Sterling Heights, MI", Macomb County, MI,11.0,"$62,191"
471.0,"Canoga Park, CA", Los Angeles County, CA,14.2,"$67,986"
513.0,"Castroville, CA", Monterey County, CA,13.3,"$69,665"
2648.0,"Plantation, FL", Broward County, FL,12.6,"$57,200"
2612.0,"Phoenix, AZ", Maricopa County, AZ,12.3,"$65,234"
533.0,"Centerville, OH", Montgomery County, OH,24.1,"$52,538"
2898.0,"Saint Peters, MO", Saint Charles County, MO,,"$100,075"
691.0,"Concord, NC", Cabarrus County, NC,9.0,"$69,297"
1553.0,"Jacksonville, FL", Duval County, FL,25.5,"$35,156"
3478.0,"West Chester, OH", Butler County, OH,8.7,"$67,161"
2679.0,"Port Orchard, WA", Kitsap County, WA,9.1,"$76,530"
3260.0,"Thomaston, GA", Upson County, GA,21.6,"$40,965"
1891.0,"Lone Tree, CO", Douglas County, CO,11.7,"$50,637"
1582.0,"Johnsburg, IL", McHenry County, IL,11.9,"$54,795"
140.0,"Athens, TX", Henderson County, TX,19.4,"$43,337"
2676.0,"Port Matilda, PA", Centre County, PA,18.1,"$58,258"
3359.0,"Ventura, CA",Ventura County, CA,9.1,"$84,170"
1749.0,"Lakewood, OH", Cuyahoga County, OH,17.9,"$50,006"
1090.0,"Fort Wayne, IN", Allen County, IN,14.4,"$50,301"
3338.0,"Vacaville, CA", Solano County, CA,7.9,"$82,808"
1149.0,"Gardena, CA", Los Angeles County, CA,14.2,"$67,986"
523.0,"Cedar Hill, MS", Madison County, MS,10.1,"$60,450"
3246.0,"Temple Terrace, FL", Hillsborough County, FL,7.4,"$78,714"
1481.0,"Humble, TX", Harris County, TX,16.5,"$60,241"
