Unnamed: 0,rb_college_height_inches_zscore,rb_hw_ratio_zscore,rb_forty_zscore,rb_vertical_zscore,rb_bench_zscore,rb_broad_zscore,rb_threecone_zscore,rb_shuttle_zscore,rb_rushing_games_zscore,rb_rushing_rec_td_zscore,rb_rushing_rec_yards_zscore,rb_rushing_receptions_zscore,rb_rushing_rush_att_zscore,rb_rushing_rush_td_zscore,rb_rushing_rush_yds_zscore,rb_rushing_scrim_plays_zscore,rb_rushing_scrim_tds_zscore,rb_rushing_scrim_yds_zscore,rb_rushing_seasons_zscore,rb_max_madden_zscore,rb_rushing_rec_td_pg_zscore,rb_rushing_rec_yards_pg_zscore,rb_rushing_receptions_pg_zscore,rb_rushing_rush_att_pg_zscore,rb_rushing_rush_td_pg_zscore,rb_rushing_rush_yds_pg_zscore,rb_rushing_scrim_plays_pg_zscore,rb_rushing_scrim_tds_pg_zscore,rb_rushing_scrim_yds_pg_zscore,rb_rushing_rush_td_pg_cf_scaled_zscore,rb_rushing_rush_yds_pg_cf_scaled_zscore,rb_rushing_scrim_plays_pg_cf_scaled_zscore,rb_rushing_scrim_tds_pg_cf_scaled_zscore,rb_rushing_scrim_yds_pg_cf_scaled_zscore,rb_football_spending_zscore,rb_coaches_salaries_zscore,rb_ticket_sales_zscore,rb_ann_rain_inch_zscore,rb_ann_snow_inch_zscore,rb_min_jan_zscore,rb_min_feb_zscore,rb_min_mar_zscore,rb_min_apr_zscore,rb_min_may_zscore,rb_min_jun_zscore,rb_min_jul_zscore,rb_min_aug_zscore,rb_min_sep_zscore,rb_min_oct_zscore,rb_min_nov_zscore,rb_min_dec_zscore,rb_max_jan_zscore,rb_max_feb_zscore,rb_max_mar_zscore,rb_max_apr_zscore,rb_max_may_zscore,rb_max_jun_zscore,rb_max_jul_zscore,rb_max_aug_zscore,rb_max_sep_zscore,rb_max_oct_zscore,rb_max_nov_zscore,rb_max_dec_zscore,wr_college_weight_pounds_zscore,wr_college_height_inches_zscore,wr_hw_ratio_zscore,wr_forty_zscore,wr_vertical_zscore,wr_bench_zscore,wr_broad_zscore,wr_threecone_zscore,wr_shuttle_zscore,wr_receiving_rec_td_zscore,wr_receiving_rec_yards_zscore,wr_receiving_receptions_zscore,wr_receiving_scrim_plays_zscore,wr_receiving_rec_td_pg_zscore,wr_receiving_rec_yards_pg_zscore,wr_receiving_receptions_pg_zscore,wr_receiving_scrim_plays_pg_zscore,wr_receiving_rec_td_pg_cf_scaled_zscore,wr_receiving_rec_yards_pg_cf_scaled_zscore,wr_receiving_receptions_pg_cf_scaled_zscore,wr_receiving_scrim_plays_pg_cf_scaled_zscore,wr_football_spending_zscore,wr_coaches_salaries_zscore,wr_ticket_sales_zscore,wr_ann_rain_inch_zscore,wr_ann_snow_inch_zscore,wr_min_jan_zscore,wr_min_feb_zscore,wr_min_mar_zscore,wr_min_apr_zscore,wr_min_may_zscore,wr_min_jun_zscore,wr_min_jul_zscore,wr_min_aug_zscore,wr_min_sep_zscore,wr_min_oct_zscore,wr_min_nov_zscore,wr_min_dec_zscore,wr_max_jan_zscore,wr_max_feb_zscore,wr_max_mar_zscore,wr_max_apr_zscore,wr_max_may_zscore,wr_max_jun_zscore,wr_max_jul_zscore,wr_max_aug_zscore,wr_max_sep_zscore,wr_max_oct_zscore,wr_max_nov_zscore,wr_max_dec_zscore,wr_max_madden_zscore,cb_college_weight_pounds_zscore,cb_college_height_inches_zscore,cb_hw_ratio_zscore,cb_forty_zscore,cb_vertical_zscore,cb_bench_zscore,cb_broad_zscore,cb_threecone_zscore,cb_shuttle_zscore,cb_defense_ast_tackles_pg_zscore,cb_defense_fum_forced_pg_zscore,cb_defense_fum_rec_pg_zscore,cb_defense_fum_tds_pg_zscore,cb_defense_fum_yds_pg_zscore,cb_defense_int_pg_zscore,cb_defense_int_td_pg_zscore,cb_defense_int_yards_pg_zscore,cb_defense_loss_tackles_pg_zscore,cb_defense_pd_pg_zscore,cb_defense_sacks_pg_zscore,cb_defense_solo_tackes_pg_zscore,cb_defense_tackles_pg_zscore,cb_defense_ast_tackles_pg_cf_scaled_zscore,cb_defense_fum_forced_pg_cf_scaled_zscore,cb_defense_fum_rec_pg_cf_scaled_zscore,cb_defense_fum_tds_pg_cf_scaled_zscore,cb_defense_fum_yds_pg_cf_scaled_zscore,cb_defense_int_pg_cf_scaled_zscore,cb_defense_int_td_pg_cf_scaled_zscore,cb_defense_int_yards_pg_cf_scaled_zscore,cb_defense_loss_tackles_pg_cf_scaled_zscore,cb_defense_pd_pg_cf_scaled_zscore,cb_defense_sacks_pg_cf_scaled_zscore,cb_defense_solo_tackes_pg_cf_scaled_zscore,cb_defense_tackles_pg_cf_scaled_zscore,cb_football_spending_zscore,cb_coaches_salaries_zscore,cb_ticket_sales_zscore,cb_ann_rain_inch_zscore,cb_ann_snow_inch_zscore,cb_min_jan_zscore,cb_min_feb_zscore,cb_min_mar_zscore,cb_min_apr_zscore,cb_min_may_zscore,cb_min_jun_zscore,cb_min_jul_zscore,cb_min_aug_zscore,cb_min_sep_zscore,cb_min_oct_zscore,cb_min_nov_zscore,cb_min_dec_zscore,cb_max_jan_zscore,cb_max_feb_zscore,cb_max_mar_zscore,cb_max_apr_zscore,cb_max_may_zscore,cb_max_jun_zscore,cb_max_jul_zscore,cb_max_aug_zscore,cb_max_sep_zscore,cb_max_oct_zscore,cb_max_nov_zscore,cb_max_dec_zscore,cb_max_madden_zscore
mean,70.5540796963947,0.3299257859864073,4.5555252918287925,34.36480186480186,19.435323383084565,118.01900237529688,7.062059800664453,4.2633552631578935,37.80075901328273,2.6622390891840606,461.91081593927896,50.413662239089184,492.1404174573056,25.453510436432644,2631.886148007591,542.5540796963946,28.1157495256167,3093.796963946869,3.4250474383301706,76.09034267912773,0.07027513938038027,12.08640492670113,1.3143649133747677,13.136395872519286,0.6850789358795601,70.49623259619977,14.450760785894053,0.7553540752599404,82.58263752290091,0.6026655660526109,62.148577577537786,12.748619622123435,0.6638377848771971,72.77698172489204,20836872.27814698,5751477.9761720775,20818276.275787085,40.94106261859582,1.3812713472485771,29.5415559772296,32.25901328273245,38.6246679316888,46.12960151802656,54.74022770398482,62.466223908918415,66.33889943074003,65.37514231499051,58.90967741935484,48.80284629981024,39.987855787476285,31.95104364326376,48.64838709677419,52.542884250474394,60.437001897533214,69.1965844402277,77.07001897533208,84.16622390891837,87.89772296015178,87.17722960151804,81.43472485768503,71.45294117647059,60.50170777988616,50.559772296015176,201.98520345252774,72.68803945745992,0.3612951503618469,4.511931385006354,35.26238390092879,14.53180661577608,120.43402225755169,6.970236220472442,4.2200766283524915,15.833538840937116,2024.8890258939584,138.49075215782983,149.56226880394576,0.4400588148503304,55.90988487325946,3.7957006276847367,4.0901110858997765,0.3805921341818664,48.39134726819287,3.2830917852521404,3.5376432724018416,20205020.12956966,5619257.144152122,19963149.284230653,41.368840937114676,1.4023797780517882,29.66411837237977,32.25006165228114,38.58766954377312,46.16226880394575,54.84315659679409,62.61824907521578,66.42392108508015,65.46633785450061,59.00826140567201,48.882737361282366,40.090382244143036,32.112577065351424,48.87583230579531,52.75635018495686,60.631442663378536,69.44574599260173,77.37694204685573,84.46436498150432,88.1686806411837,87.43736128236746,81.6489519112207,71.64907521578299,60.7295930949445,50.78742293464858,73.66878980891721,193.1752767527676,71.22878228782288,0.3693407193972989,4.4951782363977495,35.96924829157175,14.471563981042655,121.83333333333331,6.931631419939578,4.157719298245613,0.7749554352924023,0.0194286407838358,0.013371704898605695,0.004084643477931969,0.11415963631324445,0.1769342402003664,0.01937799406026841,2.362503447220985,0.1343529582978476,0.2401582675047236,0.021978655762852687,1.9410040959662065,2.7159595312586085,0.6865786709392071,0.01721286351897057,0.011666188276935096,0.0035374324845073423,0.09921782068074056,0.15640896734464516,0.0170404425105534,2.079989469804397,0.119349563746969,0.2143863793241874,0.019537756079877008,1.7209452119798685,2.4075238829190755,20722678.223027367,5832006.213551389,20995876.554117646,42.389667896678965,1.2113837638376386,29.84575645756457,32.56125461254613,38.98819188191882,46.58653136531365,55.27638376383764,63.03671586715868,66.83099630996307,65.880073800738,59.425276752767545,49.16992619926199,40.323800738007385,32.30110701107011,49.20867158671586,53.12416974169743,61.01531365313654,69.76217712177122,77.65756457564576,84.65608856088564,88.32730627306273,87.60110701107011,81.81845018450184,71.87490774907748,61.04981549815498,51.139114391143906,75.13243243243244
stden,1.7403617634423825,0.01839567823217895,0.1098381208162626,3.014788147028752,4.562124627224564,5.670662087087593,0.204670734060078,0.15199525650037554,10.288447095476682,2.795998278196692,332.68807098769355,35.53755854884622,211.6522944723809,13.212509957068741,1138.9435325508596,228.34672780675962,14.143607407953516,1292.3319737255451,0.9166283545931262,9.489522023341358,0.07273393078484991,7.873564616960697,0.8195208425963248,4.6595213388590855,0.32629390748281745,25.836121671694606,4.9127552682310345,0.34426556739790376,28.40704464630205,0.2827947055261937,22.68203325143961,4.328880429053779,0.2951349624097793,24.793648094591145,9024604.864224454,2473855.032966536,13985262.023897195,14.594264736437305,2.081194759857413,11.772261798973249,11.700242029228196,10.058423199569956,8.17515305943546,7.418223007278904,6.8976550185130945,6.370968988118749,6.6195048979208755,7.603325029804063,8.660528546626155,9.283255239955997,10.846587351101643,13.161057221584235,12.631429042303116,10.436858897625893,7.928565539983084,6.796807809135612,6.026868805666728,5.2938504417955565,5.455131239578135,6.026776830615388,7.843881447932223,10.146104258216166,12.325069496297715,15.028367029969035,2.2561257842918883,0.02088297447192621,0.09962486367493552,3.1935199309248885,4.152271035398173,5.789156016437322,0.21201773275610228,0.15209140309162486,9.094552490942784,940.2294654023372,67.7875541959822,75.26754257978176,0.22948532602747485,20.425210326203974,1.442093865962563,1.5931800687154687,0.19111025587855784,17.032996356166652,1.1851178381932643,1.3167662081217717,8742992.236385249,2444372.725231593,14252787.880272554,15.599523772746224,2.221329487995793,11.856250899074109,11.954747572212105,10.462684364576182,8.577670479650104,7.771287499167236,7.14134813331088,6.591613317648985,6.903767893425895,7.8996991193215775,8.971577144103438,9.521470641823804,10.948099267715387,13.046596105113206,12.600787499931538,10.52511928181945,8.054014080933484,6.875869528357417,6.015219102268246,5.2985125158620985,5.5316907814459615,6.115705823352372,7.938116602760893,10.102763583144911,12.217553810082475,9.400990507757411,8.975607443646837,1.5639097308759051,0.01508278752219868,0.0937113454273562,2.860991613277508,4.120564186216623,5.5364611804294634,0.2112380355269164,0.14536726077343104,0.5236544688693557,0.03745772464158155,0.03191153451132482,0.010707553468434484,0.3933266488571001,0.10473889625595544,0.027623761119252167,2.1690369283201894,0.1178257638589354,0.3018297363319525,0.041165821265691814,1.17229082083543,1.6290850365102412,0.4659291406687824,0.033563508850887575,0.026921372413283483,0.009427339938834371,0.3492582889823753,0.09233082030423073,0.024182017517111302,1.8975920393419825,0.1041401734653966,0.2682268366764873,0.0353440956036714,1.0498442348345278,1.4584142583776825,8866413.532363905,2455178.131162295,14512409.014717378,15.201632798555092,1.859488414238824,11.666684301152296,11.680523286916802,10.185727699100804,8.34476344173175,7.613807823925067,6.989908296734607,6.425976351504656,6.7269854744818085,7.724335401556085,8.749842359892362,9.309072170134993,10.788421370844556,12.888301658385105,12.411739575588145,10.374040025536683,7.936495484393218,6.767153138239409,5.844361288488737,5.042987873490741,5.282663167365504,5.962650587290539,7.809195869015008,10.030248989925797,12.143165874041221,9.31411466115327
min,66.0,0.2741312741312741,4.24,25.5,5.0,103.0,6.5,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.09090909090909093,0.0,0.18181818181818185,0.09090909090909093,0.0,0.18181818181818185,0.0,0.15454545454545454,0.07727272727272727,0.0,0.15454545454545454,1457901.3846153843,402317.53846153844,163586.3076923077,4.72,0.0,7.0,5.3,13.4,24.6,33.7,41.9,45.1,44.1,35.4,28.0,17.4,10.0,24.5,29.3,40.1,51.1,61.5,70.8,73.9,74.3,68.6,55.7,41.1,26.9,149.0,65.0,0.3117408906882591,4.22,26.0,4.0,103.0,6.42,3.73,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.25,0.0,1.4,0.175,0.175,2880060.6153846155,630475.8181818182,308323.21428571426,4.72,0.0,7.0,5.3,13.4,24.6,33.7,41.9,48.0,46.7,37.9,28.0,17.4,10.0,24.5,29.3,40.1,51.1,61.5,70.8,73.9,74.3,68.6,55.7,41.1,26.9,52.0,168.0,67.0,0.3287671232876712,4.27,29.0,2.0,108.0,6.28,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4958333333333334,0.0,0.0,0.0,0.0,0.0,1857444.0,556191.3571428572,180626.6428571429,4.72,0.0,2.9,5.3,13.4,24.6,33.7,41.9,48.0,46.7,37.9,28.0,17.4,7.4,22.9,27.8,39.4,51.1,61.5,70.8,73.9,74.3,68.6,55.7,40.2,26.0,54.0
max,76.0,0.4166666666666667,4.93,43.0,34.0,137.0,7.68,4.73,54.0,19.0,2059.0,303.0,1220.0,77.0,7125.0,1264.0,87.0,7444.0,6.0,99.0,0.5833333333333334,46.79545454545455,5.9411764705882355,27.0,2.2142857142857144,156.4848484848485,27.82608695652174,2.2142857142857144,174.3030303030303,1.7714285714285716,144.0159574468085,27.75,1.7714285714285716,150.16063829787234,39355527.28571428,11051188.0,58306708.85714286,122.63,10.66,73.4,73.4,73.5,74.2,75.4,77.0,78.5,78.3,78.1,77.5,76.0,74.3,83.2,83.4,83.7,85.8,94.6,102.7,104.8,103.3,99.5,89.3,85.3,83.9,247.0,78.0,0.45,4.85,45.0,27.0,141.0,7.57,4.77,60.0,5278.0,387.0,398.0,2.0,138.0,12.0,12.0,1.4,111.66458333333333,8.399999999999999,9.75,39355527.28571428,11051188.0,58306708.85714286,122.63,21.89,73.4,73.4,73.5,74.2,75.4,77.0,78.5,78.3,78.1,77.5,76.0,74.3,83.2,83.4,83.7,85.8,94.6,102.7,104.8,103.3,99.5,89.3,85.3,83.9,99.0,221.0,76.0,0.4269005847953216,4.94,45.0,27.0,147.0,7.5,4.76,2.5789473684210527,0.4230769230769231,0.3333333333333333,0.07692307692307693,3.24,0.6176470588235294,0.16666666666666666,13.5,0.8478260869565217,1.9166666666666667,0.515625,5.815789473684211,8.394736842105264,2.321052631578948,0.4230769230769231,0.3076923076923077,0.07692307692307693,3.24,0.5867647058823531,0.13970588235294118,12.825,0.6153846153846154,1.5769230769230769,0.3609375,5.23421052631579,7.555263157894737,39355527.28571428,11051188.0,58306708.85714286,122.63,10.66,73.4,73.4,73.5,74.2,75.4,77.0,78.5,78.3,78.1,77.5,76.0,74.3,83.2,83.4,83.7,85.8,94.6,102.7,104.8,103.3,99.5,89.3,85.3,83.9,99.0
