fms_id,espn_id,full_name,first_name,last_name,position,position_group,section,college,draft_year,selection_number,position_rank,position_group_rank,section_rank,drafting_team,home_city,home_state,home_country,college_weight_pounds,college_height_inches,hw_ratio,forty,vertical,bench,broad,threecone,shuttle,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_scrim_plays,receiving_rec_td_pg,receiving_rec_yards_pg,receiving_receptions_pg,receiving_scrim_plays_pg,receiving_rec_td_pg_cf_scaled,receiving_rec_yards_pg_cf_scaled,receiving_receptions_pg_cf_scaled,receiving_scrim_plays_pg_cf_scaled,wr_college_weight_pounds_zscore,wr_college_height_inches_zscore,wr_hw_ratio_zscore,wr_forty_zscore,wr_vertical_zscore,wr_bench_zscore,wr_broad_zscore,wr_threecone_zscore,wr_shuttle_zscore,wr_receiving_rec_td_zscore,wr_receiving_rec_yards_zscore,wr_receiving_receptions_zscore,wr_receiving_scrim_plays_zscore,wr_receiving_rec_td_pg_zscore,wr_receiving_rec_yards_pg_zscore,wr_receiving_receptions_pg_zscore,wr_receiving_scrim_plays_pg_zscore,wr_football_spending_zscore,wr_coaches_salaries_zscore,wr_ticket_sales_zscore,wr_ann_rain_inch_zscore,wr_ann_snow_inch_zscore,wr_min_jan_zscore,wr_min_feb_zscore,wr_min_mar_zscore,wr_min_apr_zscore,wr_min_may_zscore,wr_min_jun_zscore,wr_min_jul_zscore,wr_min_aug_zscore,wr_min_sep_zscore,wr_min_oct_zscore,wr_min_nov_zscore,wr_min_dec_zscore,wr_max_jan_zscore,wr_max_feb_zscore,wr_max_mar_zscore,wr_max_apr_zscore,wr_max_may_zscore,wr_max_jun_zscore,wr_max_jul_zscore,wr_max_aug_zscore,wr_max_sep_zscore,wr_max_oct_zscore,wr_max_nov_zscore,wr_max_dec_zscore,wr_receiving_rec_td_pg_cf_scaled_zscore,wr_receiving_rec_yards_pg_cf_scaled_zscore,wr_receiving_receptions_pg_cf_scaled_zscore,wr_receiving_scrim_plays_pg_cf_scaled_zscore,wr_max_madden_zscore,max_madden
2,4047646.0,A.J. Brown,A.J.,Brown,WR,WR,O,Ole Miss,2019,,,,,,Starkville,MS        ,USA,226,72,0.3185840707964602,4.49,36.5,19.0,120.0,,,34,19,2984,189,189,0.5588235294117647,87.76470588235294,5.5588235294117645,5.5588235294117645,0.5588235294117647,87.76470588235294,5.5588235294117645,5.5588235294117645,1.5979644694318953,-0.3049650255541367,-2.0452584291957487,-0.22013967394638528,0.3875398074352333,1.0760842310466976,-0.07497159453283735,,,0.3481711895353123,1.0200818091737054,0.7451109343190299,0.5239673017655813,0.5175263996932657,1.5595835000154783,1.2226131345133942,0.9218747286338862,0.012622298311710833,-0.032580079795437054,-0.2864859014622878,1.076389209536062,-0.6088154798106875,-0.005407980391573951,0.07109630233385088,0.1636607199988148,0.26087866179554253,0.47055824451196476,0.5715658792413234,0.5880319017715554,0.5118454444078743,0.2521284120121072,-0.020368476840492585,0.04302042943426046,0.01711922134294679,0.1934732763908748,0.2732884603491537,0.4150601261277363,0.5157991984683462,0.5850980645505858,0.6542795784465475,0.5721076150601632,0.6621192077325674,0.613346716981742,0.447325853462772,0.38310377880293367,0.24657776116077362,0.9326103113124211,2.311593203617712,1.9202577759094592,1.534957568430408,0.7798338042181098,81.0
216,3914328.0,Andy Isabella,Andy,Isabella,WR,WR,O,UMass,2019,,,,,,Mayfield,OH        ,USA,188,69,0.3670212765957447,4.31,36.5,15.0,121.0,6.95,4.15,44,30,3526,231,271,0.6818181818181818,80.13636363636364,5.25,6.159090909090909,0.4772727272727272,56.095454545454544,3.675,4.3113636363636365,-0.9305870308223738,-1.6346781208466432,0.274200700747666,-2.0269175540880324,0.3875398074352333,0.11275597865181781,0.09776515624062088,-0.09544588657458684,-0.4607533820322101,1.5576864472629293,1.5965368341904662,1.3646936954638385,1.6134143222137645,1.0534850796469097,1.1861066973701355,1.008463739178693,1.2986478200541935,,,,0.5423985492215941,1.498030904433982,-1.3886445650087844,-1.3676626422698885,-1.3655835391677589,-1.3596079298701937,-1.3052092845466103,-1.1227920730841552,-1.0959261013898018,-1.139426755930094,-1.2415993644216585,-1.26875544605484,-1.1017607089038548,-1.115497472822961,-1.20919143803436,-1.2424898193896146,-1.4566526281427803,-1.3838746593437674,-1.1892229794548073,-1.141166242625456,-1.1264823142939338,-1.2179569590125077,-1.3651657146981877,-1.278524330601684,-1.12143504118481,-1.0548284161444255,0.5058890881936603,0.4523048743841521,0.3306913474067113,0.5875912969132353,-0.17751212572123776,72.0
248,4049301.0,Anthony Johnson,Anthony,Johnson,WR,WR,O,Buffalo,2019,,,,,,Rock Hill,SC        ,USA,209,74,0.35406698564593303,,32.5,18.0,122.0,7.12,,24,25,2367,133,137,1.0416666666666667,98.625,5.541666666666667,5.708333333333333,0.7291666666666666,69.0375,3.8791666666666664,3.9958333333333327,0.4667703772128801,0.5815103713075344,-0.3461271633325495,,-0.8649966058388632,0.8352521679479776,0.2705019070140791,0.7063738376065124,,1.007906784659467,0.3638590223926326,-0.08099941387404816,-0.16690154046985203,2.6215525943663587,2.091293771009072,1.210715945883689,1.015718360535529,-1.6049138515141517,-1.7353129340324707,-1.3254391010622384,-0.11339070108056755,2.794551756276855,-0.9416229858337104,-1.0916216819680082,-1.2031013366313104,-1.091469860745648,-0.957776507122107,-0.7447121994247514,-0.6256315239303243,-0.6759117523264543,-0.7099335456909965,-0.6891472103481786,-0.6501498011190939,-0.73186923770225,-1.354823293630423,-1.5440582729502075,-1.7701882671830187,-1.793608236518929,-1.5819005875543617,-1.5235297045204188,-1.5605664073510912,-1.6337430343503605,-1.7248952477309023,-1.5934604955769498,-1.2996041119728319,-1.2021574173487874,1.823944669438902,1.2121268800913214,0.5029667617890673,0.34796614471528015,-0.9221145156740637,65.0
275,4043161.0,Antoine Wesley,Antoine,Wesley,WR,WR,O,Texas Tech,2019,,,,,,Las Vegas,NV        ,USA,206,76,0.36893203883495146,,37.0,6.0,117.0,7.07,4.26,19,9,1547,98,99,0.47368421052631576,81.42105263157895,5.157894736842105,5.2105263157894735,0.4026315789473684,69.2078947368421,4.38421052631579,4.428947368421053,0.267147890350701,1.4679857681692052,0.36569926776337,,0.5441068590944953,-2.0547325892366617,-0.593181846853212,0.4705445069650133,0.26249591256290794,-0.7513881356716123,-0.5082685062305111,-0.5973183814947219,-0.6717672328726686,0.14652525395876345,1.2490039197094887,0.9445946212718523,0.7032571219605162,0.46228039110113267,-0.21433392538175197,-0.48165332778886516,-1.29996538564489,-0.23516537320319278,-0.2753078017802982,-0.17985002521331292,-0.1517459084542908,-0.05389211500283744,0.13599334773281269,0.2214919221492824,0.19359128841844536,0.16420919170514328,-0.026363207323002093,-0.10953897464151786,-0.440098216102926,-0.4578490697588852,0.40042380802738514,0.4875607826158902,0.576578485633314,0.7392902405638904,0.9341448273057437,1.0200185419982497,0.874079158056446,0.6982745186315117,0.46618463528653986,0.447325853462772,0.2841209616984775,0.2711325946948343,0.11532319217607587,1.222130682903175,0.9291217342085801,0.6768886462317124,,
434,3917067.0,Bisi Johnson,Bisi,Johnson,WR,WR,O,Colorado State,2019,,,,,,Lakewood,CO        ,USA,204,72,0.35294117647058826,4.51,38.0,14.0,124.0,6.88,4.16,38,11,2019,125,126,0.2894736842105263,53.13157894736842,3.289473684210526,3.3157894736842106,0.23157894736842108,42.50526315789474,2.6315789473684212,2.6526315789473687,0.1340662324425816,-0.3049650255541367,-0.4000375474523137,-0.01938657615287386,0.8572409624130195,-0.12807608444690213,0.6159754085609955,-0.425606949472688,-0.3950034461599277,-0.5314762706302274,-0.006263392193774721,-0.19901517790163073,-0.31304687248119367,-0.656186315903159,-0.13602336923437636,-0.3510360562669173,-0.48602265834261676,-0.9833141181596963,-0.9735307454265245,-1.1405660316675683,-1.6922850544473564,1.880684628068163,-0.9922292023440963,-0.9494187630246155,-0.9928302509959066,-1.2430261606856083,-1.3309450458373147,-1.4028512387577878,-1.2021216511387167,-1.2697903506936177,-1.4567974339078793,-1.3913648805312493,-1.4903561411837658,-1.3164455959814283,-0.3583948079731518,-0.4965046974239382,-0.563551110876645,-0.8996440681367573,-0.9128942922736407,-0.6756802890141944,-0.29606057105415456,-0.6213943291799358,-0.9400308120231603,-0.9761856122254292,-0.9234694069758962,-0.6537661350881063,-0.7797236528642224,-0.34556950446168105,-0.5497451956988205,-0.6721099675825134,,
997,3126115.0,Cody Thompson,Cody,Thompson,WR,WR,O,Toledo,2019,,,,,,Huron,OH        ,USA,205,73,0.35609756097560974,4.57,38.5,19.0,119.0,6.87,4.03,50,30,3312,181,181,0.6,66.24,3.62,3.62,0.42,46.367999999999995,2.534,2.534,0.20060706139664128,0.1382726728766988,-0.24889123880434158,0.5828727172276782,1.0138080140722816,1.0760842310466976,-0.24770834530629557,-0.47277281560098694,-1.2497526124996163,1.5576864472629293,1.368932820622963,0.6270951702914473,0.41767978757551455,0.6969560447212247,0.5057531825504775,-0.12183716457836859,-0.29507718250505816,-1.4881714560565467,-1.5905271336161573,-1.270403777986955,-0.4441700296787257,0.6111746273053494,-0.6801575338633838,-0.8155807216661279,-0.8876947081782045,-0.7067500224365156,-0.430193400662675,-0.05856724352435037,0.041883360205710395,-0.13997252940974483,-0.3934657964465546,-0.46622096584561656,-0.47160595385535087,-0.5765911425343433,-1.1861969345191925,-1.2424898193896146,-1.3331385885208675,-1.2721291382959954,-0.8983506771588412,-0.49281080723834336,-0.5036660068640987,-0.7117826064272952,-0.8092200727385374,-1.064367738418503,-1.042248787501244,-1.046643471633072,0.2062048718263216,-0.1187898609195872,-0.6320821112558275,-0.762203089820655,,
1144,4047650.0,D.K. Metcalf,D.K.,Metcalf,WR,WR,O,Ole Miss,2019,,,,,,Oxford,MS        ,USA,228,75,0.32894736842105265,4.33,40.5,27.0,134.0,7.38,4.5,21,14,1228,67,67,0.6666666666666666,58.476190476190474,3.1904761904761907,3.1904761904761907,0.6666666666666666,58.476190476190474,3.1904761904761907,3.1904761904761907,1.7310461273400146,1.0247480697383697,-1.5490026090047953,-1.8261644562945123,1.6400762207093298,3.0027407358364573,2.343342916295578,1.9326863569423107,1.8404943734977204,-0.20160847306815002,-0.8475473862680512,-1.0546294671016043,-1.0969172896329353,0.9874611842903014,0.12564402333907154,-0.4196844959218887,-0.5646787284684853,0.012622298311710833,-0.032580079795437054,-0.2864859014622878,1.076389209536062,-0.6088154798106875,-0.005407980391573951,0.07109630233385088,0.1636607199988148,0.26087866179554253,0.47055824451196476,0.5715658792413234,0.5880319017715554,0.5118454444078743,0.2521284120121072,-0.020368476840492585,0.04302042943426046,0.01711922134294679,0.1934732763908748,0.2732884603491537,0.4150601261277363,0.5157991984683462,0.5850980645505858,0.6542795784465475,0.5721076150601632,0.6621192077325674,0.613346716981742,0.447325853462772,0.38310377880293367,0.24657776116077362,1.4969083222126391,0.5920768722730618,-0.07814884882430259,-0.26365126913520076,0.5670902642315881,79.0
1173,3930064.0,Damarkus Lodge,Damarkus,Lodge,WR,WR,O,Ole Miss,2019,,,,,,Cedar Hill,TX        ,USA,202,74,0.36633663366336633,4.55,33.5,11.0,119.0,7.06,4.53,11,4,877,65,65,0.36363636363636365,79.72727272727273,5.909090909090909,5.909090909090909,0.36363636363636365,79.72727272727273,5.909090909090909,5.909090909090909,0.0009845745344621592,0.5815103713075344,0.24141595864597232,0.3821196194341579,-0.551862502520339,-0.850572273743062,-0.24770834530629557,0.4233786408367102,2.0377441811145736,-1.3011677982750747,-1.220860511325031,-1.0841334081085001,-1.123489168180452,-0.3330167228418655,1.166077972938051,1.4655011932912807,1.1417289601530856,0.012622298311710833,-0.032580079795437054,-0.2864859014622878,1.076389209536062,-0.6088154798106875,-0.005407980391573951,0.07109630233385088,0.1636607199988148,0.26087866179554253,0.47055824451196476,0.5715658792413234,0.5880319017715554,0.5118454444078743,0.2521284120121072,-0.020368476840492585,0.04302042943426046,0.01711922134294679,0.1934732763908748,0.2732884603491537,0.4150601261277363,0.5157991984683462,0.5850980645505858,0.6542795784465475,0.5721076150601632,0.6621192077325674,0.613346716981742,0.447325853462772,0.38310377880293367,0.24657776116077362,-0.08872245221772627,1.8397189081611567,2.215812672132382,1.8009633160860714,-1.241229825653846,62.0
1259,3916945.0,Darius Slayton,Darius,Slayton,WR,WR,O,Auburn,2019,,,,,,Norcross,GA        ,USA,190,73,0.38421052631578945,4.39,40.5,11.0,135.0,7.0,4.15,29,11,1605,79,79,0.3793103448275862,55.3448275862069,2.7241379310344827,2.7241379310344827,0.3793103448275862,55.3448275862069,2.7241379310344827,2.7241379310344827,-0.7975053729142544,0.1382726728766988,1.097323371474144,-1.2239051629139692,1.6400762207093298,-0.850572273743062,2.516079667069036,0.1403834440669122,-0.4607533820322101,-0.5314762706302274,-0.44658143713277654,-0.8776058210602306,-0.9374860183478353,-0.26471614143847766,-0.027664698577308442,-0.7430602972123536,-0.8573878004679247,1.735438528879357,1.4918888554244276,0.5874005793781861,0.7167628464671347,-0.5998118627840009,0.29822931867074065,0.4726104264093127,0.39304735887380143,0.412434961735504,0.5091618864480204,0.599571795808687,0.6032026945928302,0.627724195308784,0.682524550984549,0.4923618855153994,0.40010812396174583,0.3094074004825362,0.5997095051588394,0.7097691168184325,0.7570990050807235,0.7392902405638904,0.7596214459281637,0.6044060834167678,0.40224862212475243,0.31864375419260305,0.4498332928759629,0.4725207466607936,0.5810694130118473,0.5821604861262654,-0.006707067333397168,0.408235883611669,-0.47164411521287536,-0.6178054512256498,0.4607184942383273,78.0
1363,,David Sills,David,Sills,WR,WR,O,West Virginia,2019,,,,,,,,,211,75,0.35545023696682465,4.57,37.5,14.0,117.0,6.97,4.28,28,35,2097,132,132,1.25,74.89285714285714,4.714285714285714,4.714285714285714,1.0625,63.65892857142857,4.007142857142857,4.007142857142857,0.5998520351209996,1.0247480697383697,-0.2798889307114648,0.5828727172276782,0.7006739107537574,-0.12807608444690213,-0.593181846853212,-0.0011141543179889063,0.39399578430747856,2.107466109866391,0.07669508004110968,-0.09575138437749597,-0.23333123683864368,3.529381155519723,0.9293893167525422,0.6369800942103336,0.39177908426207675,-0.36682016375452453,-0.12104557469521947,-0.15935943423011553,0.12828334326343516,3.3752850544981423,-0.7054606421185768,-0.8072158440812224,-0.8876947081782045,-0.8000154377841844,-0.7004188942150671,-0.5486707834532077,-0.489094388538862,-0.5745178452881576,-0.5706877360234419,-0.6334156492225381,-0.6921601181223274,-0.6131271649267921,-0.7799607057512279,-0.8060091629203358,-0.8580845899750513,-0.7134015330571383,-0.8256326015848497,-0.8086762757602706,-0.9754965427957922,-1.0010250936188443,-0.9400308120231603,-0.787223913240269,-0.6760123642147542,-0.68650591313352,3.5681385213123047,0.8963532301648268,0.6109528087051216,0.356555007141858,,
