fms_id,espn_id,fms_college_id,full_name,first_name,last_name,position,position_group,section,college,draft_year,selection_number,position_rank,position_group_rank,section_rank,drafting_team,home_city,home_state,home_country,college_weight_pounds,college_height_inches
901,3672833.0,26,Chris Lindstrom,Chris,Lindstrom,OT,OL,O,Boston College,2019,,,,,,Dudley,MA        ,USA,308,76
920,3124015.0,223,Chris Slayton,Chris,Slayton,DL,DL,D,Syracuse,2019,,,,,,University Park,IL        ,USA,307,76
943,,3,Christian Miller,Christian,Miller,DE,DL,D,Alabama,2019,,,,,,,,,247,75
948,3728266.0,48,Christian Wilkins,Christian,Wilkins,DL,DL,D,Clemson,2019,,,,,,Springfield,MA        ,USA,315,75
964,3116144.0,169,Clayton Thorson,Clayton,Thorson,QB,QB,O,Northwestern,2019,,,,,,Wheaton,IL        ,USA,222,76
965,3728258.0,48,Clelin Ferrell,Clelin,Ferrell,DE,DL,D,Clemson,2019,,,,,,Richmond,VA        ,USA,264,76
985,3926229.0,290,Cody Barton,Cody,Barton,OLB,LB,D,Utah,2019,,,,,,Salt Lake City,UT        ,USA,237,74
997,3126115.0,245,Cody Thompson,Cody,Thompson,WR,WR,O,Toledo,2019,,,,,,Huron,OH        ,USA,205,73
1144,4047650.0,180,D.K. Metcalf,D.K.,Metcalf,WR,WR,O,Ole Miss,2019,,,,,,Oxford,MS        ,USA,228,75
1109,,80,D'Andre Walker,D'Andre,Walker,DE,DL,D,Georgia,2019,,,,,,,,,251,74
1113,3121542.0,316,D'Cota Dixon,D'Cota,Dixon,S,DB,D,Wisconsin,2019,,,,,,Oak Hill,FL        ,USA,204,70
1161,3139453.0,238,Dakota Allen,Dakota,Allen,OLB,LB,D,Texas Tech,2019,,,,,,Humble,TX        ,USA,232,73
1166,3125082.0,106,Dalton Risner,Dalton,Risner,OT,OL,O,Kansas State,2019,,,,,,Wiggins,CO        ,USA,312,77
1173,3930064.0,180,Damarkus Lodge,Damarkus,Lodge,WR,WR,O,Ole Miss,2019,,,,,,Cedar Hill,TX        ,USA,202,74
1182,3925347.0,3,Damien Harris,Damien,Harris,RB,RB,O,Alabama,2019,,,,,,Richmond,KY        ,USA,216,70
1194,3929801.0,95,Dan Godsil,Dan,Godsil,LS,LS,ST,Indiana,2019,,,,,,Ottawa,OH        ,USA,241,76
1217,,60,Daniel Helm,Daniel,Helm,TE,TE,O,Duke,2019,,,,,,,,,249,76
1218,3917792.0,60,Daniel Jones,Daniel,Jones,QB,QB,O,Duke,2019,,,,,,Charlotte,NC        ,USA,221,77
1224,3133368.0,105,Daniel Wise,Daniel,Wise,DL,DL,D,Kansas,2019,,,,,,Lewisville,TX        ,USA,281,75
1259,3916945.0,15,Darius Slayton,Darius,Slayton,WR,WR,O,Auburn,2019,,,,,,Norcross,GA        ,USA,190,73
1262,3126322.0,109,Darius West,Darius,West,S,DB,D,Kentucky,2019,,,,,,Lima,OH        ,USA,208,71
1265,,123,Darnell Savage,Darnell,Savage,S,DB,D,Maryland,2019,,,,,,,,,198,71
1275,3916151.0,125,Darrell Henderson,Darrell,Henderson,RB,RB,O,Memphis,2019,,,,,,Midland City,AL        ,USA,208,68
1296,3957672.0,158,Darryl Johnson,Darryl,Johnson,DE,DL,D,North Carolina A&T,2019,,,,,,Fairfield,TX        ,USA,253,78
1314,547322.0,230,Davante Davis,Davante,Davis,CB,DB,D,Texas,2019,,,,,,Leander,TX        ,USA,202,74
1329,3917660.0,316,David Edwards,David,Edwards,OT,OL,O,Wisconsin,2019,,,,,,Long Grove,IL        ,USA,308,78
1342,,308,David Long,David,Long,OLB,LB,D,West Virginia,2019,,,,,,,,,227,71
1341,4046536.0,128,David Long,David,Long,CB,DB,D,Michigan,2019,,,,,,Los Angeles,CA        ,USA,196,71
1347,4035538.0,101,David Montgomery,David,Montgomery,RB,RB,O,Iowa State,2019,,,,,,Cincinnati,OH        ,USA,222,70
1363,,308,David Sills,David,Sills,WR,WR,O,West Virginia,2019,,,,,,,,,211,75
1381,3930086.0,180,Dawson Knox,Dawson,Knox,TE,TE,O,Ole Miss,2019,,,,,,Brentwood,TN        ,USA,254,76
1383,3932963.0,291,Dax Raymond,Dax,Raymond,TE,TE,O,Utah State,2019,,,,,,Lewisville,TX        ,USA,255,77
1384,3917316.0,232,Daylon Mack,Daylon,Mack,DL,DL,D,Texas A&M,2019,,,,,,Gladewater,TX        ,USA,336,73
1429,3915163.0,80,Deandre Baker,Deandre,Baker,CB,DB,D,Georgia,2019,,,,,,Miami,FL        ,USA,193,71
1441,3126486.0,203,Deebo Samuel,Deebo,Samuel,WR,WR,O,South Carolina,2019,,,,,,Inman,SC        ,USA,214,71
1445,559661.0,134,Deion Calhoun,Deion,Calhoun,OT,OL,O,Mississippi State,2019,,,,,,Pleasant Grove,AL        ,USA,310,74
1447,3859100.0,3,Deionte Thompson,Deionte,Thompson,S,DB,D,Alabama,2019,,,,,,Orange,TX        ,USA,195,73
1455,3122915.0,75,Demarcus Christmas,Demarcus,Christmas,DL,DL,D,Florida State,2019,,,,,,Sarasota,FL        ,USA,294,75
1513,,20,Derrek Thomas,Derrek,Thomas,CB,DB,D,Baylor,2019,,,,,,,,,189,75
1515,,109,Derrick Baity,Derrick,Baity,CB,DB,D,Kentucky,2019,,,,,,,,,197,74
1536,3115949.0,123,Derwin Gray,Derwin,Gray,OT,OL,O,Maryland,2019,,,,,,Washington,DC        ,USA,320,76
1539,3121578.0,15,Deshaun Davis,Deshaun,Davis,OLB,LB,D,Auburn,2019,,,,,,Prichard,AL        ,USA,234,71
1555,4036261.0,128,Devin Bush,Devin,Bush,OLB,LB,D,Michigan,2019,,,,,,Pembroke Pines,FL        ,USA,234,71
1560,4040761.0,72,Devin Singletary,Devin,Singletary,RB,RB,O,Florida Atlantic,2019,,,,,,Deerfield Beach,FL        ,USA,203,67
1565,4035434.0,110,Devin White,Devin,White,OLB,LB,D,LSU,2019,,,,,,Springhill,LA        ,USA,237,72
1568,,69,Devon Johnson,Devon,Johnson,OT,OL,O,Ferris St.,2019,,,,,,,,,338,79
1580,4035483.0,48,Dexter Lawrence,Dexter,Lawrence,DL,DL,D,Clemson,2019,,,,,,Wake Forest,NC        ,USA,342,76
1584,3932449.0,173,Dexter Williams,Dexter,Williams,RB,RB,O,Notre Dame,2019,,,,,,Orlando,FL        ,USA,212,71
1592,4038938.0,181,Dillon Mitchell,Dillon,Mitchell,WR,WR,O,Oregon,2019,,,,,,Memphis,TN        ,USA,197,73
1599,3126095.0,245,Diontae Johnson,Diontae,Johnson,WR,WR,O,Toledo,2019,,,,,,Gary,IN        ,USA,183,70
1625,4034773.0,132,Donnell Greene,Donnell,Greene,OT,OL,O,Minnesota,2019,,,,,,Marietta,GA        ,USA,335,77
1632,3122135.0,232,Donovan Wilson,Donovan,Wilson,S,DB,D,Texas A&M,2019,,,,,,Shreveport,LA        ,USA,199,72
1636,3121587.0,15,Dontavius Russell,Dontavius,Russell,DL,DL,D,Auburn,2019,,,,,,Carrollton,GA        ,USA,319,75
1662,3916903.0,11,Dre Greenlaw,Dre,Greenlaw,OLB,LB,D,Arkansas,2019,,,,,,FAYETTEVILLE,AR        ,USA,237,71
1661,3915525.0,176,Dre'Mont Jones,Dre'Mont,Jones,DL,DL,D,Ohio State,2019,,,,,,Cleveland,OH        ,USA,281,75
1668,3924327.0,136,Drew Lock,Drew,Lock,QB,QB,O,Missouri,2019,,,,,,Lee's Summit,MO        ,USA,228,76
1673,3127310.0,301,Drew Sample,Drew,Sample,TE,TE,O,Washington,2019,,,,,,Bellevue,WA        ,USA,255,77
1678,,177,Dru Samia,Dru,Samia,OT,OL,O,Oklahoma,2019,,,,,,,,,305,77
1679,3129310.0,173,Drue Tranquill,Drue,Tranquill,OLB,LB,D,Notre Dame,2019,,,,,,Fort Wayne,IN        ,USA,234,74
1704,4040616.0,176,Dwayne Haskins,Dwayne,Haskins,QB,QB,O,Ohio State,2019,,,,,,Potomac,MD        ,USA,231,75
1730,4039303.0,89,Ed Oliver,Ed,Oliver,DL,DL,D,Houston,2019,,,,,,Houston,TX        ,USA,287,74
1749,559664.0,134,Elgton Jenkins,Elgton,Jenkins,OT,OL,O,Mississippi State,2019,,,,,,Clarksdale,MS        ,USA,310,76
1753,4035006.0,80,Elijah Holyfield,Elijah,Holyfield,RB,RB,O,Georgia,2019,,,,,,College Park,GA        ,USA,217,70
1764,3924318.0,136,Emanuel Hall,Emanuel,Hall,WR,WR,O,Missouri,2019,,,,,,Franklin,TN        ,USA,201,74
1765,3914613.0,89,Emeke Egbule,Emeke,Egbule,OLB,LB,D,Houston,2019,,,,,,Galena Park,TX        ,USA,245,74
1768,3119471.0,164,Emmanuel Butler,Emmanuel,Butler,WR,WR,O,Northern Arizona,2019,,,,,,Lubbock,TX        ,USA,217,75
1825,4243161.0,53,Evan Worthington,Evan,Worthington,S,DB,D,Colorado,2019,,,,,,Aurora,CO        ,USA,212,74
1837,,129,Felton Davis,Felton,Davis,WR,WR,O,Michigan State,2019,,,,,,,,,211,75
