fms_id,forty,vertical,bench,broad,threecone,shuttle,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,max_madden
498,4.41,30.5,,115.0,6.97,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,12,1511,98,20,0,145,118,12,1656,4,
512,4.55,30.0,14.0,117.0,,,58,0,0,0,0,40,10,2,172,17.0,0,3.5,4,99,157,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0
553,4.6,30.5,,123.0,6.76,4.1,89,0,0,0,0,39,12,1,145,9.0,0,4.0,3,177,266,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
574,5.2,22.5,23.0,108.0,7.56,4.63,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0
589,4.61,31.0,17.0,113.0,7.21,4.43,60,0,0,0,0,49,7,0,109,17.0,0,8.0,4,110,170,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
590,4.81,30.0,,115.0,7.13,4.55,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1185,264.8,780,44,24,71,10775,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
603,4.55,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,713,51,12,2,115,63,7,828,4,
626,4.78,29.0,19.0,109.0,7.34,4.47,35,6,2,0,20,38,0,0,0,39.0,16,26.5,3,85,120,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0
637,4.67,34.0,26.0,119.0,6.88,4.23,89,0,0,0,0,38,3,1,75,20.5,6,6.5,3,102,191,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
680,5.04,29.5,16.0,111.0,7.45,4.69,46,3,1,0,1,36,1,0,1,39.0,7,19.5,3,83,129,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0
682,4.57,,24.0,,,,92,3,0,0,0,32,6,0,55,5.5,2,0.0,3,161,253,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
687,4.5,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,46,0,580,72,663,30,3378,735,30,3958,4,0,0,0,0,0,0,0,0,0,0,0,
720,5.22,25.5,31.0,109.0,7.91,4.68,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0
721,4.66,39.0,30.0,134.0,7.12,4.5,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,47,2,612,39,128,9,482,167,11,1094,4,0,0,0,0,0,0,0,0,0,0,0,
734,5.1,22.5,23.0,108.0,7.78,4.87,58,0,0,0,0,40,0,0,0,15.0,1,6.5,3,32,90,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
765,4.92,25.5,,106.0,7.17,4.4,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1387,238.8,828,47,37,87,9715,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0
773,4.4,32.5,,124.0,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,0,0,0,17,0,86,17,0,86,2,0,0,0,0,0,0,0,0,0,0,0,
793,4.43,32.5,14.0,121.0,7.28,4.4,53,1,0,0,0,36,7,0,38,3.5,0,0.0,3,130,183,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0
824,4.9,29.5,24.0,108.0,7.03,4.23,36,5,0,0,0,38,1,0,0,41.5,5,20.5,3,70,106,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
832,4.45,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,32,2,158,17,371,19,1778,388,21,1936,3,0,0,0,0,0,0,0,0,0,0,0,
837,4.52,36.0,13.0,125.0,6.96,4.15,37,0,0,0,0,40,8,0,62,8.0,0,0.5,4,100,137,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0
879,4.71,27.0,,109.0,7.64,4.65,74,2,0,0,0,39,2,2,34,28.0,1,19.0,3,58,132,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
889,4.84,,21.0,117.0,,,75,4,0,0,0,37,0,0,0,26.5,5,13.5,3,67,142,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
894,4.54,28.5,14.0,109.0,7.34,4.35,65,1,0,0,0,40,4,0,9,12.5,5,3.0,4,145,210,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0
896,4.24,35.0,,130.0,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,47,10,1296,125,624,32,2982,749,42,4278,4,0,0,0,0,0,0,0,0,0,0,0,99.0
902,4.75,34.0,,124.0,7.02,4.21,92,1,0,0,0,37,1,0,25,36.5,8,20.0,3,90,182,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0
904,5.3,,29.0,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
