fms_id,espn_id,full_name,first_name,last_name,weight,height_inches,college,draft_year,position,position_group,section
1217,,Daniel Helm,Daniel,Helm,249,76,Duke,2019,TE,TE,O
1218,3917792.0,Daniel Jones,Daniel,Jones,221,77,Duke,2019,QB,QB,O
1224,3133368.0,Daniel Wise,Daniel,Wise,281,75,Kansas,2019,DL,DL,D
1259,3916945.0,Darius Slayton,Darius,Slayton,190,73,Auburn,2019,WR,WR,O
1262,3126322.0,Darius West,Darius,West,208,71,Kentucky,2019,S,DB,D
1265,,Darnell Savage,Darnell,Savage,198,71,Maryland,2019,S,DB,D
1275,4039359.0,Darrell Henderson,Darrell,Henderson,208,68,Memphis,2019,RB,RB,O
1275,3916151.0,Darrell Henderson,Darrell,Henderson,208,68,Memphis,2019,RB,RB,O
1296,3957672.0,Darryl Johnson,Darryl,Johnson,253,78,North Carolina A&T,2019,DE,DL,D
1314,3929849.0,Davante Davis,Davante,Davis,202,74,Texas,2019,CB,DB,D
1314,547322.0,Davante Davis,Davante,Davis,202,74,Texas,2019,CB,DB,D
1329,3917660.0,David Edwards,David,Edwards,308,78,Wisconsin,2019,OT,OL,O
1342,,David Long,David,Long,227,71,West Virginia,2019,OLB,LB,D
1341,4046536.0,David Long,David,Long,196,71,Michigan,2019,CB,DB,D
1347,4035538.0,David Montgomery,David,Montgomery,222,70,Iowa State,2019,RB,RB,O
1363,,David Sills,David,Sills,211,75,West Virginia,2019,WR,WR,O
1381,3930086.0,Dawson Knox,Dawson,Knox,254,76,Ole Miss,2019,TE,TE,O
1383,3932963.0,Dax Raymond,Dax,Raymond,255,77,Utah State,2019,TE,TE,O
1384,3917316.0,Daylon Mack,Daylon,Mack,336,73,Texas A&M,2019,DL,DL,D
1429,3915163.0,Deandre Baker,Deandre,Baker,193,71,Georgia,2019,CB,DB,D
1441,3126486.0,Deebo Samuel,Deebo,Samuel,214,71,South Carolina,2019,WR,WR,O
1445,559661.0,Deion Calhoun,Deion,Calhoun,310,74,Mississippi State,2019,OT,OL,O
1447,3859100.0,Deionte Thompson,Deionte,Thompson,195,73,Alabama,2019,S,DB,D
1455,3122915.0,Demarcus Christmas,Demarcus,Christmas,294,75,Florida State,2019,DL,DL,D
1513,,Derrek Thomas,Derrek,Thomas,189,75,Baylor,2019,CB,DB,D
1515,,Derrick Baity,Derrick,Baity,197,74,Kentucky,2019,CB,DB,D
1536,3115949.0,Derwin Gray,Derwin,Gray,320,76,Maryland,2019,OT,OL,O
1539,3121578.0,Deshaun Davis,Deshaun,Davis,234,71,Auburn,2019,OLB,LB,D
1555,4036261.0,Devin Bush,Devin,Bush,234,71,Michigan,2019,OLB,LB,D
1560,4040761.0,Devin Singletary,Devin,Singletary,203,67,Florida Atlantic,2019,RB,RB,O
1565,4035434.0,Devin White,Devin,White,237,72,LSU,2019,OLB,LB,D
1568,,Devon Johnson,Devon,Johnson,338,79,Ferris St.,2019,OT,OL,O
1580,4035483.0,Dexter Lawrence,Dexter,Lawrence,342,76,Clemson,2019,DL,DL,D
1584,3932449.0,Dexter Williams,Dexter,Williams,212,71,Notre Dame,2019,RB,RB,O
1592,4038938.0,Dillon Mitchell,Dillon,Mitchell,197,73,Oregon,2019,WR,WR,O
1599,3932905.0,Diontae Johnson,Diontae,Johnson,183,70,Toledo,2019,WR,WR,O
1599,3126095.0,Diontae Johnson,Diontae,Johnson,183,70,Toledo,2019,WR,WR,O
1625,4034773.0,Donnell Greene,Donnell,Greene,335,77,Minnesota,2019,OT,OL,O
