espn_id,full_name,first_name,last_name,position,position_group,section,college,home_city,home_state,home_country
4241930,Tahj Capehart,Tahj,Capehart,DB,DB,D,Maryland,Virginia Beach,VA        ,USA
4241928,Kenny Bennett,Kenny,Bennett,DB,DB,D,Maryland,Philadelphia,PA        ,USA
4241926,Tyran Hunt,Tyran,Hunt,OL,OL,O,Maryland,Boykins,VA        ,USA
4241925,Nick Underwood,Nick,Underwood,LB,LB,D,Maryland,Lake Oswego,OR        ,USA
4241924,Bryce Brand,Bryce,Brand,DL,DL,D,Maryland,Detroit,MI        ,USA
4241922,Deon Jones,Deon,Jones,DB,DB,D,Maryland,Oxon Hill,MD        ,USA
4241920,Fofie Bazzie,Fofie,Bazzie,DB,DB,D,Maryland,Silver Spring,MD        ,USA
4241918,Ryan Eachus,Ryan,Eachus,RB,RB,O,Charlotte,Mission Viejo,CA        ,USA
4241917,Marquavis Gibbs,Marquavis,Gibbs,DB,DB,D,Charlotte,West Palm Beach,FL        ,USA
4241916,Logan Cox,Logan,Cox,LS,LS,ST,Georgia Southern,Canton,GA        ,USA
4241915,Josh Lee,Josh,Lee,TE,TE,O,Tennessee Tech,Kathleen,GA        ,USA
4241913,Ryan Langan,Ryan,Langan,LS,LS,ST,Georgia Southern,Cedar Rapids,NE        ,USA
4241912,D.J. Butler,D.J.,Butler,TE,TE,O,Georgia Southern,Madison,AL        ,USA
4241909,Gavin Adcock,Gavin,Adcock,NT,,,Georgia Southern,Watkinsville,GA        ,USA
4241908,Stedman Waiters,Stedman,Waiters,LB,LB,D,Georgia Southern,Snellville,GA        ,USA
4241907,Peyton Backer,Peyton,Backer,OL,OL,O,Georgia Southern,Tiger,GA        ,USA
4241906,Ryan White,Ryan,White,LB,LB,D,Georgia Southern,Statesboro,GA        ,USA
4241904,Jared Daniels,Jared,Daniels,RB,RB,O,Georgia Southern,Oglethorpe,GA        ,USA
4241901,Tra Cofield,Tra,Cofield,S,DB,D,Georgia Southern,Ellenwood,GA        ,USA
4241898,Maverick Wolfley,Maverick,Wolfley,TE,TE,O,Akron,Morgantown,WV        ,USA
4241896,Joseph Turner,Joseph,Turner,TE,TE,O,West Virginia,Morgantown,WV        ,USA
4241895,Tyler Thurmond,Tyler,Thurmond,OL,OL,O,West Virginia,Buford,GA        ,USA
4241894,Darius Stills,Darius,Stills,DL,DL,D,West Virginia,Fairmont,WV        ,USA
4241893,Adam Stilley,Adam,Stilley,OL,OL,O,West Virginia,Martinsburg,WV        ,USA
4241891,Alec Sinkfield,Alec,Sinkfield,RB,RB,O,West Virginia,Delray Beach,FL        ,USA
4241890,Ezekiel Rose,Ezekiel,Rose,DL,DL,D,West Virginia,Clarksdale,MS        ,USA
4241889,Kenny Robinson,Kenny,Robinson,S,DB,D,West Virginia,Wilkinsburg,PA        ,USA
4241888,Reggie Roberson Jr.,Reggie,Roberson Jr.,WR,WR,O,West Virginia,Desoto,TX        ,USA
4241886,Quondarius Qualls,Quondarius,Qualls,DL,DL,D,West Virginia,Farmerville,LA        ,USA
4241884,Derrek Pitts,Derrek,Pitts,DB,DB,D,West Virginia,Dunbar,WV        ,USA
4241882,Lamonte McDougle,Lamonte,McDougle,DL,DL,D,West Virginia,Pompano Beach,FL        ,USA
4241880,Dominique Maiden,Dominique,Maiden,WR,WR,O,West Virginia,Temecula,CA        ,USA
4241879,Exree Loe,Exree,Loe,LB,LB,D,West Virginia,Johnstown,PA        ,USA
4241877,Ricky Johns,Ricky,Johns,WR,WR,O,West Virginia,North Wales,PA        ,USA
4241875,Luke Hogan,Luke,Hogan,PK,PK,ST,West Virginia,Keller,TX        ,USA
4241871,Sam Cookman,Sam,Cookman,DL,DL,D,West Virginia,Romney,WV        ,USA
4241868,Tevin Bush,Tevin,Bush,WR,WR,O,West Virginia,New Orleans,LA        ,USA
4241866,Daniel Buchanan,Daniel,Buchanan,OL,OL,O,West Virginia,Gilbert,WV        ,USA
4241865,E.J. Brown,E.J.,Brown,S,DB,D,West Virginia,Stone Mountain,GA        ,USA
4241862,Hakeem Bailey,Hakeem,Bailey,CB,DB,D,West Virginia,Atlanta,GA        ,USA
4241861,Jake Abbott,Jake,Abbott,LB,LB,D,West Virginia,Fairmont,WV        ,USA
4241856,Tyler Carr,Tyler,Carr,TE,TE,O,Texas Tech,Amarillo,TX        ,USA
4241855,Nelson Mbanasor,Nelson,Mbanasor,DL,DL,D,Texas Tech,Pflugerville,TX        ,USA
4241854,Quentin Yontz,Quentin,Yontz,DL,DL,D,Texas Tech,Corona,CA        ,USA
4241853,Dominic Panazzolo,Dominic,Panazzolo,P,P,ST,Texas Tech,Adelaide,SA        ,Australia
4241849,Will Farrar,Will,Farrar,OL,OL,O,Texas Tech,Richmond,TX        ,USA
4241848,Dawson Deaton,Dawson,Deaton,OL,OL,O,Texas Tech,Frisco,TX        ,USA
4241847,Casey Verhulst,Casey,Verhulst,OL,OL,O,Texas Tech,Plano,TX        ,USA
4241845,Zackery Semrak,Zackery,Semrak,DL,DL,D,Texas Tech,Southlake,TX        ,USA
4241844,Jack Anderson,Jack,Anderson,OL,OL,O,Texas Tech,Frisco,TX        ,USA
4241843,Landon O'Connor,Landon,O'Connor,LS,LS,ST,Texas Tech,Edna,TX        ,USA
4241835,Jaylon Lane,Jaylon,Lane,DB,DB,D,Texas Tech,Leander,TX        ,USA
4241834,Adrian Frye,Adrian,Frye,DB,DB,D,Texas Tech,Houston,TX        ,USA
4241833,John Davis Jr.,John,Davis Jr.,DB,DB,D,Texas Tech,Euless,TX        ,USA
4241832,Thomas Leggett,Thomas,Leggett,DB,DB,D,Texas Tech,Navarre,FL        ,USA
4241831,Vaughnte Dorsey,Vaughnte,Dorsey,DB,DB,D,Texas Tech,Cleveland,MS        ,USA
4241830,Quincy Addison,Quincy,Addison,DB,DB,D,Texas Tech,Angleton,TX        ,USA
4241829,Riko Jeffers,Riko,Jeffers,LB,LB,D,Texas Tech,Garland,TX        ,USA
4241828,Tony Jones,Tony,Jones,LB,LB,D,Texas Tech,Casselberry,FL        ,USA
4241827,Octavious Morgan,Octavious,Morgan,DB,DB,D,Texas Tech,Greenwood,SC        ,USA
4241826,Xavier Martin,Xavier,Martin,WR,WR,O,Texas Tech,Cibolo,TX        ,USA
4241823,Joshua Rowland,Joshua,Rowland,PK,PK,ST,Texas,Madison,MS        ,USA
4241822,Chris Naggar,Chris,Naggar,PK,PK,ST,Texas,Arlington,TX        ,USA
4241821,Toneil Carter,Toneil,Carter,RB,RB,O,Texas,Houston,TX        ,USA
4241820,Sam Ehlinger,Sam,Ehlinger,QB,QB,O,Texas,Austin,TX        ,USA
4241808,Quazzel White,Quazzel,White,OT,OL,O,TCU,Tacoma,WA        ,USA
4241807,Garret Wallow,Garret,Wallow,LB,LB,D,TCU,New Orleans,LA        ,USA
4241806,La'Kendrick Van Zandt,La'Kendrick,Van Zandt,S,DB,D,TCU,Henderson,TX        ,USA
4241804,Kenedy Snell,Kenedy,Snell,RB,RB,O,TCU,Waxahachie,TX        ,USA
4241803,Keenan Reed,Keenan,Reed,S,DB,D,TCU,Tulsa,OK        ,USA
4241802,Jalen Reagor,Jalen,Reagor,WR,WR,O,TCU,Waxahachie,TX        ,USA
4241801,Michael Onyemaobi,Michael,Onyemaobi,S,DB,D,TCU,Temecula,CA        ,USA
4241800,Ni'Jeel Meeking,Ni'Jeel,Meeking,WR,WR,O,TCU,Farmerville,LA        ,USA
4241799,Coy McMillon,Coy,McMillon,C,OL,O,TCU,Abilene,TX        ,USA
4241796,George Ellis III,George,Ellis III,DT,DL,D,TCU,Miramar,FL        ,USA
4241795,Al'Dontre Davis,Al'Dontre,Davis,WR,WR,O,TCU,Convent,LA        ,USA
4241794,Noah Daniels,Noah,Daniels,CB,DB,D,TCU,League City,TX        ,USA
4241793,Terrell Cooper,Terrell,Cooper,DT,DL,D,TCU,Lindale,TX        ,USA
4241791,Corey Bethley,Corey,Bethley,DT,DL,D,TCU,Katy,TX        ,USA
4241790,Wes Harris,Wes,Harris,G,,,TCU,Aledo,TX        ,USA
4241789,Wil Houston,Wil,Houston,LS,LS,ST,TCU,Fort Worth,TX        ,USA
4241786,Karson Ringdahl,Karson,Ringdahl,WR,WR,O,TCU,Columbia,MO        ,USA
4241784,Shawn Robinson,Shawn,Robinson,QB,QB,O,TCU,Desoto,TX        ,USA
4241741,Micah Murphy,Micah,Murphy,S,DB,D,Troy,Alabaster,AL        ,USA
4241738,Evan Legassey,Evan,Legassey,PK,PK,ST,Troy,Pensacola,FL        ,USA
4241737,Luke Whittemore,Luke,Whittemore,WR,WR,O,Troy,Gainesville,FL        ,USA
4241735,Austin Stidham,Austin,Stidham,OL,OL,O,Troy,Russellville,AL        ,USA
4241734,Travius Harris,Travius,Harris,OL,OL,O,Troy,Tallahassee,FL        ,USA
4241733,Travon Mathis,Travon,Mathis,DT,DL,D,Troy,Lanett,AL        ,USA
4241732,Bubba Hudson,Bubba,Hudson,OL,OL,O,Troy,Dawson,GA        ,USA
4241731,Rasool Clemons,Rasool,Clemons,DE,DL,D,Troy,Newark,NJ        ,USA
4241730,Tyler Murray,Tyler,Murray,LB,LB,D,Troy,Baldwin,FL        ,USA
4241729,Shon Spralling,Shon,Spralling,DB,DB,D,Troy,Huntsville,AL        ,USA
4241728,Justin Whisenhunt,Justin,Whisenhunt,LB,LB,D,Troy,Birmingham,AL        ,USA
4241727,Bret Clark,Bret,Clark,WR,WR,O,Troy,New Hope,AL        ,USA
4241726,Kyle Nixon,Kyle,Nixon,S,DB,D,Troy,Fort Valley,GA        ,USA
4241725,Kevin Nixon,Kevin,Nixon,LB,LB,D,Troy,Fort Valley,GA        ,USA
