Geographic Location,county,state,poverty_pct,med_income
"Tallahassee, FL", Leon County, FL,15.6,"$69,212"
"Dublin, OH", Franklin County, OH,13.4,"$69,212"
"Maddington, ", Horry County, ,14.3,"$69,212"
"College Park, GA", Fulton County, GA,11.5,"$69,212"
"Jeffersonville, IN", Clark County, IN,11.9,"$69,212"
"Acworth, GA", Cobb County, GA,9.1,"$69,212"
"Johns Creek, GA", Fulton County, GA,11.5,"$69,212"
"Bartow, FL", Polk County, FL,9.6,"$69,212"
"Saint Augustine, FL", St. Johns County, FL,6.6,"$69,212"
"Lawrence, KS", Douglas County, KS,11.7,"$69,212"
"Needham, MA", Norfolk County, MA,6.5,"$69,212"
"Fulton, MS", Los Angeles County, MS,14.2,"$69,212"
"Columbus, MS", Columbia County, MS,7.6,"$69,212"
"Columbia, MS", Union County, MS,19.8,"$69,212"
"Soperton, GA", Treutlen County, GA,26.3,"$69,212"
"Brunswick, GA", Glynn County, GA,16.6,"$69,212"
"Louisville, KY", Jefferson County, KY,8.1,"$69,212"
"Stone Mountain, GA", DeKalb County, GA,17.4,"$69,212"
"Eden Prairie, MN", Hennepin County, MN,10.3,"$69,212"
"Mize, MS", Smith County, MS,15.0,"$69,212"
"Raymond, MS", Hinds County, MS,19.4,"$69,212"
"West Point, MS", King William County, MS,7.3,"$69,212"
"Laval, PQ",,,,"$69,212"
"Hoover, AL", Adams County, AL,15.3,"$69,212"
"Falkner, MS", Tippah County, MS,16.9,"$69,212"
"Marietta, GA", Cobb County, GA,9.1,"$69,212"
"Moore, OK",,,,"$69,212"
"Atlanta, GA", Fulton County, GA,11.5,"$69,212"
"Chantilly, VA", Fairfax County, VA,6.1,"$69,212"
"Millbrook, AL", Elmore County, AL,12.9,"$69,212"
"Irmo, SC", Lexington County, SC,12.5,"$69,212"
"Vidalia, GA",,,,"$69,212"
"Aliceville, AL", Pickens County, AL,16.6,"$69,212"
"Montgomery, AL", Clearfield County, AL,15.4,"$69,212"
"Laurel, MS", Yellowstone County, MS,10.9,"$69,212"
"Benoit, MS", Bolivar County, MS,29.4,"$69,212"
"Oak Ridge, NC", Guilford County, NC,15.4,"$69,212"
"Hyattsville, MD", Prince George's County, MD,8.3,"$69,212"
"Marianna, AR", Lee County, AR,24.8,"$69,212"
"Dallas, TX", Dallas County, TX,14.2,"$69,212"
"Southlake, TX", Tarrant County, TX,12.1,"$69,212"
"Lucas, TX", Collin County, TX,6.4,"$69,212"
"Tuscaloosa, AL", Jefferson County, AL,8.1,"$69,212"
"Piscataway, NJ", Middlesex County, NJ,12.7,"$69,212"
"Randolph, MA", Norfolk County, MA,6.5,"$69,212"
"Clearwater, FL", Pinellas County, FL,11.7,"$69,212"
"Lancaster, CA", Los Angeles County, CA,14.2,"$69,212"
"Sydney, NSW       ", Stutsman County, NSW       ,11.4,"$69,212"
"Columbia, MD", Howard County, MD,20.6,"$69,212"
"Rochester, NY", Monroe County, NY,13.2,"$69,212"
"Riverside, CA", Riverside County, CA,12.7,"$69,212"
"Litchfield Park, AZ", Maricopa County, AZ,12.3,"$69,212"
"Seguin, TX", Guadalupe County, TX,8.5,"$69,212"
"Westerville, OH", Franklin County, OH,13.4,"$69,212"
"Fort Lauderdale, FL", Broward County, FL,12.6,"$69,212"
"Casper, WY", New Castle County, WY,11.6,"$69,212"
"Kapolei, HI", Honolulu County, HI,7.7,"$69,212"
"Maryville, TN", Blount County, TN,9.9,"$69,212"
"Stallings, NC", Union County, NC,19.8,"$69,212"
"Suffolk, VA",,,,"$69,212"
"Hamilton, OH", Butler County, OH,8.7,"$69,212"
"Storrs Mansfield, CT", Tolland County, CT,8.0,"$69,212"
"Holden, MA", Worcester County, MA,9.0,"$69,212"
"Englewood, CO", Arapahoe County, CO,8.1,"$69,212"
"Easton, PA", Northampton County, PA,18.8,"$69,212"
"Hermitage, PA", Mercer County, PA,22.7,"$69,212"
"Mount Pleasant, SC", Charleston County, SC,14.2,"$69,212"
"Decatur, GA",Decatur County, GA,18.2,"$69,212"
"Benicia, CA", Solano County, CA,7.9,"$69,212"
"Waterford, MI", Oakland County, MI,8.2,"$69,212"
"Elkton, MD", Cecil County, MD,8.3,"$69,212"
"Clover, SC", York County, SC,5.5,"$69,212"
"Swansea, SC", Lexington County, SC,12.5,"$69,212"
"Morse Bluff, NE", Saunders County, NE,7.8,"$69,212"
"Hartley, IA", O'Brien County, IA,9.1,"$69,212"
"Pompano Beach, FL", Broward County, FL,12.6,"$69,212"
"Brentwood, TN", Williamson County, TN,6.4,"$69,212"
"Sandersville, GA", Washington County, GA,4.5,"$69,212"
"Simi Valley, CA", Ventura County, CA,9.1,"$69,212"
"Myrtle Beach, SC", Horry County, SC,14.3,"$69,212"
"Franklin, NJ", Sussex County, NJ,22.9,"$69,212"
"Raeford, NC", Hoke County, NC,18.0,"$69,212"
"Lamar, MO", Barton County, MO,17.6,"$69,212"
"Brecksville, OH", Cuyahoga County, OH,17.9,"$69,212"
"Solon, OH", Cuyahoga County, OH,17.9,"$69,212"
"Piqua, OH", Miami County, OH,7.9,"$69,212"
"Massillon, OH", Stark County, OH,14.4,"$69,212"
"Sherman Oaks, CA", Los Angeles County, CA,14.2,"$69,212"
"Redlands, CA", San Bernardino County, CA,14.9,"$69,212"
"Maringouin, LA", Iberville Parish, LA,23.8,"$69,212"
"River Ridge, LA", Clark County, LA,11.9,"$69,212"
"West Monroe, LA", Ouachita Parish, LA,21.3,"$69,212"
"Jonesboro, LA", Clayton County, LA,9.4,"$69,212"
"Lake Wales, FL", Polk County, FL,9.6,"$69,212"
"Ruston, LA", Lincoln Parish, LA,25.8,"$69,212"
"Saint Francisville, LA", Lawrence County, LA,17.7,"$69,212"
"Grand Prairie, TX", Dallas County, TX,14.2,"$69,212"
"Kaysville, UT",,,,"$69,212"
"San Anselmo, CA", Marin County, CA,6.6,"$69,212"
"North East, PA", Erie County, PA,15.3,"$69,212"
"Lake Forest, IL", Lake County, IL,36.5,"$69,212"
"Joliet, IL", Will County, IL,6.4,"$69,212"
"Carlsbad, CA", San Diego County, CA,11.5,"$69,212"
"Grosse Pointe, MI", Wayne County, MI,20.9,"$69,212"
"Akron, OH", Summit County, OH,6.2,"$69,212"
"North Royalton, OH", Cuyahoga County, OH,17.9,"$69,212"
"Ruleville, MS", Sunflower County, MS,32.6,"$69,212"
"Bloomington, MN", Hennepin County, MN,10.3,"$69,212"
"Oviedo, FL", Seminole County, FL,18.6,"$69,212"
"Lewis Center, OH", Delaware County, OH,8.8,"$69,212"
"Palmdale, CA", Los Angeles County, CA,14.2,"$69,212"
"Olney, MD", Montgomery County, MD,24.1,"$69,212"
"Ankeny, IA", Polk County, IA,9.6,"$69,212"
"Mooresville, NC", Iredell County, NC,9.5,"$69,212"
"Bellingham, WA", Whatcom County, WA,14.9,"$69,212"
"Chatsworth, GA", Murray County, GA,14.9,"$69,212"
"Greer, SC", Greenville County, SC,11.1,"$69,212"
"Truth Or Consequences, NM", Sierra County, NM,25.7,"$69,212"
"Whitelaw, WI", Manitowoc County, WI,10.4,"$69,212"
"Warren, MI", Macomb County, MI,11.0,"$69,212"
"Miramar, FL", Broward County, FL,12.6,"$69,212"
"Belvidere, IL", Boone County, IL,22.5,"$69,212"
"Irvine, CA", Orange County, CA,9.4,"$69,212"
"Cedar Falls, IA",,,,"$69,212"
"Key West, FL", Monroe County, FL,13.2,"$69,212"
"Vancouver, WA", Clark County, WA,11.9,"$69,212"
"Greenville, SC", Greenville County, SC,11.1,"$69,212"
"Greenwood Village, CO", Arapahoe County, CO,8.1,"$69,212"
"Los Gatos, CA", Santa Clara County, CA,7.3,"$69,212"
"Florence, SC", Florence County, SC,11.9,"$69,212"
"Cordele, GA", Crisp County, GA,27.4,"$69,212"
"Leesburg, GA", Lee County, GA,24.8,"$69,212"
"Carterville, IL", Jasper County, IL,19.2,"$69,212"
"Rome, GA", Floyd County, GA,12.3,"$69,212"
"Montreal, PQ",,,,"$69,212"
"Biloxi, MS", Harrison County, MS,16.7,"$69,212"
"Roanoke, VA",,,,"$69,212"
"Oxford, MS", Oakland County, MS,8.2,"$69,212"
"Ocala, FL", Marion County, FL,16.6,"$69,212"
"Rolling Meadows, IL", Cook County, IL,9.6,"$69,212"
"Anaheim Hills, CA", Orange County, CA,9.4,"$69,212"
"Citra, FL", Marion County, FL,16.6,"$69,212"
"Hollywood, FL", Broward County, FL,12.6,"$69,212"
"Decatur, IL", Macon County, IL,18.1,"$69,212"
"Henderson, NV", Clark County, NV,11.9,"$69,212"
"Chandler, AZ", Maricopa County, AZ,12.3,"$69,212"
"Macon, GA", Bibb County, GA,24.7,"$69,212"
"Fremont, CA", Alameda County, CA,9.0,"$69,212"
"Savannah, GA", Chatham County, GA,9.3,"$69,212"
"Garden Grove, CA", Orange County, CA,9.4,"$69,212"
"Stockton, CA", San Joaquin County, CA,14.3,"$69,212"
"Morgan Hill, CA", Santa Clara County, CA,7.3,"$69,212"
"La Palma, CA", Orange County, CA,9.4,"$69,212"
"Fort Irwin, CA", San Bernardino County, CA,14.9,"$69,212"
"Miamisburg, OH", Montgomery County, OH,24.1,"$69,212"
"Chillicothe, OH", Ross County, OH,18.4,"$69,212"
"Palatine, IL", Cook County, IL,9.6,"$69,212"
"Morgan, UT",Morgan County, UT,10.8,"$69,212"
"Fort Scott, KS", Bourbon County, KS,16.5,"$69,212"
"San Bernardino, CA",San Bernardino County, CA,14.9,"$69,212"
"Henderson, TX",Henderson County, TX,19.4,"$69,212"
"Salem, OR", Marion County, OR,16.6,"$69,212"
"Laie, HI", Yancey County, HI,17.8,"$69,212"
"HAPPY VALLEY, OR", Clackamas County, OR,7.3,"$69,212"
"Harbor City, CA", Los Angeles County, CA,14.2,"$69,212"
"Auburn, WA", King County, WA,9.2,"$69,212"
"Snoqualmie, WA", King County, WA,9.2,"$69,212"
"Dallas, GA", Paulding County, GA,10.3,"$69,212"
"Carmel, IN", Hamilton County, IN,14.7,"$69,212"
"Santa Ana, CA", Orange County, CA,9.4,"$69,212"
"Warner Robins, GA", Houston County, GA,26.1,"$69,212"
"Glendale, AZ", Maricopa County, AZ,12.3,"$69,212"
"Aberdeen, WA", Grays Harbor County, WA,17.3,"$69,212"
"Kailua, HI", Honolulu County, HI,7.7,"$69,212"
"Waco, TX", McLennan County, TX,18.9,"$69,212"
"Chino, CA", San Bernardino County, CA,14.9,"$69,212"
"Reading, MA", Middlesex County, MA,12.7,"$69,212"
"Willimantic, CT", Aroostook County, CT,15.3,"$69,212"
"Fayetteville, NC", Cumberland County, NC,15.7,"$69,212"
"Deerfield Beach, FL", Broward County, FL,12.6,"$69,212"
"Lynn Haven, FL", Bay County, FL,15.6,"$69,212"
"Spanish Fort, AL", Baldwin County, AL,23.8,"$69,212"
"Homestead, FL", Miami-Dade County, FL,16.0,"$69,212"
"Irvington, AL", Limestone County, AL,22.2,"$69,212"
"Muscle Shoals, AL", Colbert County, AL,13.8,"$69,212"
"Troy, AL", San Francisco City and County, AL,,"$69,212"
"Violet, LA", Saint Bernard Parish, LA,,"$69,212"
"Denver, CO",Denver County, CO,11.7,"$69,212"
"Elk Grove, CA", Sacramento County, CA,14.3,"$69,212"
"Austell, GA", Cobb County, GA,9.1,"$69,212"
"Springfield, VA", Fairfax County, VA,6.1,"$69,212"
"Cedar Hill, TX", Dallas County, TX,14.2,"$69,212"
"Holtsville, NY", Suffolk County, NY,7.3,"$69,212"
"Buford, GA", Gwinnett County, GA,9.2,"$69,212"
"Virginia Beach, VA",,,,"$69,212"
"Gibsonia, PA", Allegheny County, PA,11.7,"$69,212"
"Centreville, VA", Fairfax County, VA,6.1,"$69,212"
"Moon Township, PA", Allegheny County, PA,11.7,"$69,212"
"Suwanee, GA", Gwinnett County, GA,9.2,"$69,212"
"Milton, GA", Fulton County, GA,11.5,"$69,212"
"Belle Glade, FL", Palm Beach County, FL,12.2,"$69,212"
"Sharpsburg, GA", Coweta County, GA,10.2,"$69,212"
"Cassatt, SC", Kershaw County, SC,14.5,"$69,212"
"Toccoa, GA", Stephens County, GA,19.4,"$69,212"
"Bolingbrook, IL", Will County, IL,6.4,"$69,212"
"Seminole, TX", Gaines County, TX,15.4,"$69,212"
"Lanham, MD", Prince George's County, MD,8.3,"$69,212"
"Stamford, CT", Nevada County, CT,10.3,"$69,212"
"Glencoe, IL", Cook County, IL,9.6,"$69,212"
"Upper Marlboro, MD", Prince George's County, MD,8.3,"$69,212"
"Newport News, VA",,,,"$69,212"
"Berryville, VA", Clarke County, VA,6.5,"$69,212"
"Tryon, NC", Polk County, NC,9.6,"$69,212"
"Gaston, SC", Lexington County, SC,12.5,"$69,212"
"Temple Hills, MD", Prince George's County, MD,8.3,"$69,212"
"Cumming, GA", Forsyth County, GA,16.4,"$69,212"
"Cartersville, GA", Bartow County, GA,12.2,"$69,212"
"Montgomery, TX",Montgomery County, TX,24.1,"$69,212"
"Del Valle, TX", Los Angeles County, TX,14.2,"$69,212"
"Landover, MD", Prince George's County, MD,8.3,"$69,212"
"West Hills, CA", Los Angeles County, CA,14.2,"$69,212"
"Monroe, LA",Monroe County, LA,13.2,"$69,212"
"Ashdown, AR", Little River County, AR,16.0,"$69,212"
"Heber City, UT", Wasatch County, UT,5.3,"$69,212"
"Cottonwood Heights, UT",,,,"$69,212"
"American Fork, UT", Utah County, UT,9.4,"$69,212"
"Essendon, VIC       ",,,,"$69,212"
"Spanish Fork, UT", Utah County, UT,9.4,"$69,212"
"Kearns, UT",,,,"$69,212"
"Fontana, CA", San Bernardino County, CA,14.9,"$69,212"
"Langhorne, PA", Bucks County, PA,5.7,"$69,212"
"Chevy Chase, MD", Montgomery County, MD,24.1,"$69,212"
"Willard, MO", Torrance County, MO,25.2,"$69,212"
"Manila, AR", Mississippi County, AR,26.8,"$69,212"
"San Mateo, CA",San Mateo County, CA,6.8,"$69,212"
"Daytona Beach, FL", Volusia County, FL,13.2,"$69,212"
"Troy, NY", Rensselaer County, NY,11.1,"$69,212"
"Glastonbury, CT", Fairfax County, CT,6.1,"$69,212"
"Syracuse, NY", Onondaga County, NY,13.7,"$69,212"
"Amherst, NY", Erie County, NY,15.3,"$69,212"
"Prince Frederick, MD", Calvert County, MD,5.4,"$69,212"
"Kettering, OH", Montgomery County, OH,24.1,"$69,212"
"Toledo, OH", Lucas County, OH,18.7,"$69,212"
"Balboa Island, CA", Orange County, CA,9.4,"$69,212"
"Paducah, KY", McCracken County, KY,14.7,"$69,212"
"Lansing, MI", Ingham County, MI,18.1,"$69,212"
"Thatcher, AZ", Graham County, AZ,18.9,"$69,212"
"Warren, OH",Warren County, OH,10.3,"$69,212"
"Kingfisher, OK",Kingfisher County, OK,9.9,"$69,212"
"Essex Fells, NJ", Essex County, NJ,13.7,"$69,212"
"Fort Washington, PA", Montgomery County, PA,24.1,"$69,212"
"Richmond, VA",,,,"$69,212"
"La Canada, CA", Orange County, CA,9.4,"$69,212"
"Vienna, GA", Dooly County, GA,29.1,"$69,212"
"Rockledge, FL", Brevard County, FL,11.0,"$69,212"
"Mechanicsville, VA", Hanover County, VA,5.2,"$69,212"
"Henrietta, TX", Clay County, TX,25.1,"$69,212"
"Lee's Summit, MO", Jackson County, MO,12.0,"$69,212"
"Holland, MI", Ottawa County, MI,20.6,"$69,212"
"Apopka, FL", Orange County, FL,9.4,"$69,212"
"Castle Rock, CO", Douglas County, CO,11.7,"$69,212"
"Flower Mound, TX", Denton County, TX,7.3,"$69,212"
"Midlothian, TX", Ellis County, TX,8.8,"$69,212"
"Silsbee, TX", Hardin County, TX,12.4,"$69,212"
"Crosby, TX",Crosby County, TX,23.7,"$69,212"
"Addison, TX", Dallas County, TX,14.2,"$69,212"
"Royse City, TX", Rockwall County, TX,5.1,"$69,212"
"North Fort Myers, FL", Lee County, FL,24.8,"$69,212"
"Winnetka, IL", Cook County, IL,9.6,"$69,212"
"Washington, IN",Washington County, IN,4.5,"$69,212"
"Laguna Hills, CA", Orange County, CA,9.4,"$69,212"
"Hudson, OH", Summit County, OH,6.2,"$69,212"
"Ridgely, MD", Caroline County, MD,9.7,"$69,212"
"Williamson, GA", Pike County, GA,10.3,"$69,212"
"Maria Stein, OH", Mercer County, OH,22.7,"$69,212"
"Charleston, SC", Charleston County, SC,14.2,"$69,212"
"Jackson, NJ", Ocean County, NJ,9.7,"$69,212"
"Moraga, CA", Contra Costa County, CA,7.8,"$69,212"
"South Lake Tahoe, CA", El Dorado County, CA,8.1,"$69,212"
"Granite Bay, CA", Placer County, CA,7.1,"$69,212"
"Sammamish, WA", King County, WA,9.2,"$69,212"
"Goleta, CA", Santa Barbara County, CA,12.6,"$69,212"
"Petaluma, CA", Sonoma County, CA,9.9,"$69,212"
"Orange, CA",Orange County, CA,9.4,"$69,212"
"Elgin, IL", Kane County, IL,10.5,"$69,212"
"Mesa, AZ", Maricopa County, AZ,12.3,"$69,212"
"Coto De Caza, CA", Orange County, CA,9.4,"$69,212"
"Stafford, VA",Stafford County, VA,5.4,"$69,212"
"Deer Park, IL", Lake County, IL,36.5,"$69,212"
"Grantsburg, WI", Burnett County, WI,10.7,"$69,212"
"Culver City, CA", Los Angeles County, CA,14.2,"$69,212"
"Loveland, OH", Hamilton County, OH,14.7,"$69,212"
"Franklin, TN", Williamson County, TN,6.4,"$69,212"
"Saline, MI", Washtenaw County, MI,15.0,"$69,212"
"Bloomfield Hills, MI", Oakland County, MI,8.2,"$69,212"
"Andalusia, AL", Covington County, AL,26.5,"$69,212"
"Manvel, TX", Brazoria County, TX,10.1,"$69,212"
"Toronto, ON", Vermillion County, ON,15.2,"$69,212"
"Boling, TX", Wharton County, TX,16.8,"$69,212"
"Plainfield, IL", Will County, IL,6.4,"$69,212"
"Hoffman Estates, IL", Cook County, IL,9.6,"$69,212"
"New Albany, IN", Floyd County, IN,12.3,"$69,212"
"Richburg, SC", Chester County, SC,15.9,"$69,212"
"Staten Island, NY", Richmond County, NY,15.9,"$69,212"
"East Orange, NJ", Essex County, NJ,13.7,"$69,212"
"Brooklyn, NY", Kings County, NY,18.9,"$69,212"
"Union City, NJ", Hudson County, NJ,14.3,"$69,212"
"Medford, NJ", Burlington County, NJ,6.2,"$69,212"
"Coatesville, PA", Chester County, PA,15.9,"$69,212"
"Closter, NJ", Bergen County, NJ,6.8,"$69,212"
"Flowood, MS", Rankin County, MS,9.6,"$69,212"
"Eufaula, AL", Jefferson County, AL,8.1,"$69,212"
"Vestavia Hills, AL", Jefferson County, AL,8.1,"$69,212"
"Lexington, TN", Henderson County, TN,19.4,"$69,212"
"Pearl, MS", Rankin County, MS,9.6,"$69,212"
"Hamden, CT", Bergen County, CT,6.8,"$69,212"
"Abilene, TX", Taylor County, TX,10.3,"$69,212"
"Skiatook, OK", Osage County, OK,15.1,"$69,212"
"Argyle, TX", Denton County, TX,7.3,"$69,212"
"New Braunfels, TX", Comal County, TX,7.1,"$69,212"
"Sunrise, FL", Broward County, FL,12.6,"$69,212"
"Auburn, AL", Jefferson County, AL,8.1,"$69,212"
"Nicholasville, KY", Jessamine County, KY,12.6,"$69,212"
"Hopkinsville, KY", Christian County, KY,8.6,"$69,212"
"Somerset, KY", Pulaski County, KY,14.6,"$69,212"
"Paintsville, KY", Johnson County, KY,10.3,"$69,212"
"Plymouth, MI", Wayne County, MI,20.9,"$69,212"
"Traverse City, MI", Grand Traverse County, MI,9.5,"$69,212"
"Walled Lake, MI", Oakland County, MI,8.2,"$69,212"
"Mountain View, CA", Santa Clara County, CA,7.3,"$69,212"
"Rochester, MI", Oakland County, MI,8.2,"$69,212"
"Pacific Palisades, CA", Los Angeles County, CA,14.2,"$69,212"
"Eureka, MO", Saint Louis County, MO,,"$69,212"
"Essexville, MI", Bay County, MI,15.6,"$69,212"
"Naples, FL", Collier County, FL,10.6,"$69,212"
"Desoto, TX", Dallas County, TX,14.2,"$69,212"
"Kansas City, MO", Jackson County, MO,12.0,"$69,212"
"Mount Vernon, NY", Westchester County, NY,8.3,"$69,212"
"Forestville, MD", Prince George's County, MD,8.3,"$69,212"
"Ellicott City, MD", Howard County, MD,20.6,"$69,212"
"Towson, MD", Baltimore County, MD,9.9,"$69,212"
"Vineland, NJ", Cumberland County, NJ,15.7,"$69,212"
"Richmond Hill, GA", Bryan County, GA,16.6,"$69,212"
"Hillsborough, NJ", Somerset County, NJ,12.0,"$69,212"
"Alexandria, VA", Riverside County, VA,12.7,"$69,212"
"Fort Stewart, GA", Liberty County, GA,15.1,"$69,212"
"Mountain Brook, AL", Jefferson County, AL,8.1,"$69,212"
"Conway, SC", Horry County, SC,14.3,"$69,212"
"Waldorf, MD", Charles County, MD,6.6,"$69,212"
"Seffner, FL", Hillsborough County, FL,7.4,"$69,212"
"Slidell, LA", St. Tammany Parish, LA,11.8,"$69,212"
"Greenwood, AR", Sebastian County, AR,15.6,"$69,212"
"Trussville, AL", Jefferson County, AL,8.1,"$69,212"
"Decatur, AL", Clearfield County, AL,15.4,"$69,212"
"Pembroke Pines, FL", Broward County, FL,12.6,"$69,212"
"Columbus, GA", Muscogee County, GA,20.1,"$69,212"
"Tucker, GA", DeKalb County, GA,17.4,"$69,212"
"Bradenton, FL", Manatee County, FL,10.4,"$69,212"
"Lawrenceville, GA", Gwinnett County, GA,9.2,"$69,212"
"Cottondale, AL", Tuscaloosa County, AL,16.8,"$69,212"
"Hinsdale, IL",Hinsdale County, IL,8.6,"$69,212"
"Sarasota, FL", Sarasota County, FL,10.3,"$69,212"
"San Juan Capistrano, CA", Orange County, CA,9.4,"$69,212"
"Commerce Township, MI", Oakland County, MI,8.2,"$69,212"
"Waukesha, WI", Waukesha County, WI,5.0,"$69,212"
"Westwood, NJ", Bergen County, NJ,6.8,"$69,212"
"Fairfax, VA",,,,"$69,212"
"Leesburg, VA", Loudoun County, VA,3.6,"$69,212"
"Westfield, NJ", Union County, NJ,19.8,"$69,212"
"Sicklerville, NJ", Camden County, NJ,8.3,"$69,212"
"Long Beach, MS", Nassau County, MS,5.8,"$69,212"
"Chula Vista, CA", San Diego County, CA,11.5,"$69,212"
"Bronx, NY", Bronx County, NY,27.3,"$69,212"
"Phenix City, AL", Russell County, AL,21.5,"$69,212"
"Raynham, MA",,,,"$69,212"
"Mohnton, PA", Berks County, PA,11.4,"$69,212"
"Shelbyville, TN", Bedford County, TN,10.4,"$69,212"
"Enterprise, AL", Washington County, AL,4.5,"$69,212"
"Bowling Green, KY", Warren County, KY,10.3,"$69,212"
"Naperville, IL", DuPage County, IL,6.6,"$69,212"
"San Marcos, CA", San Diego County, CA,11.5,"$69,212"
"Lebanon, TN", Wilson County, TN,10.9,"$69,212"
"Mckeesport, PA", Allegheny County, PA,11.7,"$69,212"
"Ellenwood, GA", Clayton County, GA,9.4,"$69,212"
"Lake Saint Louis, MO", Saint Charles County, MO,,"$69,212"
"Yazoo City, MS", Yazoo County, MS,37.1,"$69,212"
"Coppell, TX", Dallas County, TX,14.2,"$69,212"
"Camas, WA", Clark County, WA,11.9,"$69,212"
"Kissimmee, FL", Osceola County, FL,17.6,"$69,212"
"Seneca, SC", Oconee County, SC,14.4,"$69,212"
"Sterling, VA", Loudoun County, VA,3.6,"$69,212"
"Highland Springs, VA", Henrico County, VA,9.0,"$69,212"
"Shelby, OH",Shelby County, OH,20.6,"$69,212"
"Wake Forest, NC", Wake County, NC,8.4,"$69,212"
"Roswell, GA", Fulton County, GA,11.5,"$69,212"
"New Port Richey, FL", Pasco County, FL,12.6,"$69,212"
"Brownsville, TN", Haywood County, TN,20.5,"$69,212"
"Homerville, GA", Clinch County, GA,25.8,"$69,212"
"Gallatin, TN", Sumner County, TN,8.9,"$69,212"
"Moultrie, GA", Colquitt County, GA,23.9,"$69,212"
"Lexington, SC",Lexington County, SC,12.5,"$69,212"
"Cordova, TN", Shelby County, TN,20.6,"$69,212"
"Manchester, TN", Coffee County, TN,15.9,"$69,212"
"Sparta, NJ", Sussex County, NJ,22.9,"$69,212"
"Glendale, CA", Los Angeles County, CA,14.2,"$69,212"
"Hayward, CA", Alameda County, CA,9.0,"$69,212"
"Oxnard, CA", Ventura County, CA,9.1,"$69,212"
"Ontario, CA", San Bernardino County, CA,14.9,"$69,212"
"Medford, OR", Jackson County, OR,12.0,"$69,212"
"San Lorenzo, CA", Alameda County, CA,9.0,"$69,212"
"Appomattox, VA", Appomattox County, VA,13.5,"$69,212"
"North Highlands, CA", Sacramento County, CA,14.3,"$69,212"
"Medford, NY", Suffolk County, NY,7.3,"$69,212"
"Jonesborough, TN", Washington County, TN,4.5,"$69,212"
"Davie, FL", Broward County, FL,12.6,"$69,212"
"Brentwood, CA", Contra Costa County, CA,7.8,"$69,212"
"Woodstock, GA", Cherokee County, GA,17.4,"$69,212"
"Leesburg, AL", Cherokee County, AL,17.4,"$69,212"
"Winamac, IN", Pulaski County, IN,14.6,"$69,212"
"Jena, LA", La Salle Parish, LA,19.5,"$69,212"
"Forney, TX", Kaufman County, TX,11.5,"$69,212"
"Richmond, TX", Fort Bend County, TX,7.9,"$69,212"
"Tallulah, LA", Madison Parish, LA,41.7,"$69,212"
"Hollandale, MS", Washington County, MS,4.5,"$69,212"
"Greenwood, MS", Johnson County, MS,10.3,"$69,212"
"Sydney, NS", Hillsborough County, NS,7.4,"$69,212"
"Copperas Cove, TX", Coryell County, TX,15.0,"$69,212"
"Clanton, AL", Chilton County, AL,17.3,"$69,212"
"Vallejo, CA", Solano County, CA,7.9,"$69,212"
"Clayton, NJ", Gloucester County, NJ,9.1,"$69,212"
"Pearl City, HI", Honolulu County, HI,7.7,"$69,212"
"Dahlonega, GA", Lumpkin County, GA,14.9,"$69,212"
"Charleston, WV", Kanawha County, WV,17.1,"$69,212"
"Maumee, OH", Lucas County, OH,18.7,"$69,212"
"Bowling Green, OH", Wood County, OH,10.1,"$69,212"
"Dearborn, MI", Wayne County, MI,20.9,"$69,212"
"Hillside, IL", Cook County, IL,9.6,"$69,212"
"Sugar Hill, GA", Gwinnett County, GA,9.2,"$69,212"
"Thompsons Station, TN", Williamson County, TN,6.4,"$69,212"
"Mount Olive, MS", Morris County, MS,20.2,"$69,212"
"Alabaster, AL", Shelby County, AL,20.6,"$69,212"
"Dacula, GA", Gwinnett County, GA,9.2,"$69,212"
"Marianna, FL", Jackson County, FL,12.0,"$69,212"
"Hattiesburg, MS", Forrest County, MS,24.0,"$69,212"
"Florence, KY", Boone County, KY,22.5,"$69,212"
"Zachary, LA", East Baton Rouge Parish, LA,16.7,"$69,212"
"Brownsboro, TX", Henderson County, TX,19.4,"$69,212"
"Plaquemine, LA", Iberville Parish, LA,23.8,"$69,212"
"York, NE",York County, NE,5.5,"$69,212"
"Grand Bay, AL", Mobile County, AL,20.8,"$69,212"
"Napoleonville, LA", Assumption Parish, LA,20.7,"$69,212"
"Kinder, LA", Allen Parish, LA,19.6,"$69,212"
"Raleigh, MS", Smith County, MS,15.0,"$69,212"
"Owensboro, KY", Daviess County, KY,14.9,"$69,212"
"Hogansville, GA", Troup County, GA,20.2,"$69,212"
"Elizabethtown, KY", Hardin County, KY,12.4,"$69,212"
"Chattanooga, TN", Hamilton County, TN,14.7,"$69,212"
"Cedar Park, TX", Williamson County, TX,6.4,"$69,212"
"Leander, TX", Williamson County, TX,6.4,"$69,212"
"Clarksdale, MS", Coahoma County, MS,35.9,"$69,212"
"Tupelo, MS", Lee County, MS,24.8,"$69,212"
"Buena Park, CA", Orange County, CA,9.4,"$69,212"
"Alcoa, TN", Blount County, TN,9.9,"$69,212"
"Wimberley, TX", Hays County, TX,13.2,"$69,212"
"Abingdon, MD", Harford County, MD,7.0,"$69,212"
"Ponce De Leon, FL", Holmes County, FL,9.4,"$69,212"
"Scottsboro, AL", Jackson County, AL,12.0,"$69,212"
"Brookhaven, MS", Lincoln County, MS,7.9,"$69,212"
