Geographic Location,county,state,poverty_pct,med_income
"Salt Lake City, UT", Salt Lake County, UT,9.0,"$69,212"
"Rockwall, TX",Rockwall County, TX,5.1,"$69,212"
"Baton Rouge, LA", East Baton Rouge Parish, LA,16.7,"$69,212"
"Greenville, NC", Pitt County, NC,23.2,"$69,212"
"Waterloo, IA",,,,"$69,212"
"Paris, TX", Lamar County, TX,14.4,"$69,212"
"Zurich, ", Rooks County, ,11.2,"$69,212"
"Boca Raton, FL", Palm Beach County, FL,12.2,"$69,212"
"Columbia, SC", Richland County, SC,14.3,"$69,212"
"Breaux Bridge, LA", St. Martin Parish, LA,19.3,"$69,212"
"Casa Grande, AZ", Pinal County, AZ,12.9,"$69,212"
"Huntsville, AL", Jefferson County, AL,8.1,"$69,212"
"Wichita, KS", Sedgwick County, KS,13.4,"$69,212"
"Omaha, NE", Douglas County, NE,11.7,"$69,212"
"Council Bluffs, IA", Pottawattamie County, IA,11.8,"$69,212"
"Stanford, CA", Santa Clara County, CA,7.3,"$69,212"
"Wahiawa, HI", Honolulu County, HI,7.7,"$69,212"
"Bryan, TX", Brazos County, TX,23.2,"$69,212"
"Las Cruces, NM", Doña Ana County, NM,,"$69,212"
"Fruitland, NM", San Juan County, NM,10.2,"$69,212"
"Buckeye, AZ", Maricopa County, AZ,12.3,"$69,212"
"Dublin, CA", Alameda County, CA,9.0,"$69,212"
"Peoria, AZ", Maricopa County, AZ,12.3,"$69,212"
"Washington, DC",,,,"$69,212"
"Grapevine, TX", Tarrant County, TX,12.1,"$69,212"
"Gilbert, AZ", Maricopa County, AZ,12.3,"$69,212"
"Racine, WI",,,,"$69,212"
"Newark, NJ", Essex County, NJ,13.7,"$69,212"
"Manhattan Beach, CA", Los Angeles County, CA,14.2,"$69,212"
"Stuttgart, ", Arkansas County, ,17.9,"$69,212"
"Oceanside, CA", San Diego County, CA,11.5,"$69,212"
"Santa Rosa, CA", Sonoma County, CA,9.9,"$69,212"
"Beaver, OH", Pike County, OH,10.3,"$69,212"
"Paramus, NJ", Bergen County, NJ,6.8,"$69,212"
"Albuquerque, NM", Bernalillo County, NM,16.5,"$69,212"
"Bentonville, AR", Benton County, AR,9.8,"$69,212"
"Bakersfield, CA", Kern County, CA,20.5,"$69,212"
"Buffalo, NY", Erie County, NY,15.3,"$69,212"
"Sterling Heights, MI", Macomb County, MI,11.0,"$69,212"
"Detroit, MI", Wayne County, MI,20.9,"$69,212"
"Canoga Park, CA", Los Angeles County, CA,14.2,"$69,212"
"Castroville, CA", Monterey County, CA,13.3,"$69,212"
"Plantation, FL", Broward County, FL,12.6,"$69,212"
"Phoenix, AZ", Maricopa County, AZ,12.3,"$69,212"
"Centerville, OH", Montgomery County, OH,24.1,"$69,212"
"Saint Peters, MO", Saint Charles County, MO,,"$69,212"
"Concord, NC", Cabarrus County, NC,9.0,"$69,212"
"Jacksonville, FL", Duval County, FL,25.5,"$69,212"
"West Chester, OH", Butler County, OH,8.7,"$69,212"
"Port Orchard, WA", Kitsap County, WA,9.1,"$69,212"
"Thomaston, GA", Upson County, GA,21.6,"$69,212"
"Lone Tree, CO", Douglas County, CO,11.7,"$69,212"
"Johnsburg, IL", McHenry County, IL,11.9,"$69,212"
"Athens, TX", Henderson County, TX,19.4,"$69,212"
"Port Matilda, PA", Centre County, PA,18.1,"$69,212"
"Ventura, CA",Ventura County, CA,9.1,"$69,212"
"Lakewood, OH", Cuyahoga County, OH,17.9,"$69,212"
"Fort Wayne, IN", Allen County, IN,14.4,"$69,212"
"Vacaville, CA", Solano County, CA,7.9,"$69,212"
"Gardena, CA", Los Angeles County, CA,14.2,"$69,212"
"Cedar Hill, MS", Madison County, MS,10.1,"$69,212"
"Temple Terrace, FL", Hillsborough County, FL,7.4,"$69,212"
"Humble, TX", Harris County, TX,16.5,"$69,212"
"Upland, CA", San Bernardino County, CA,14.9,"$69,212"
"Hugoton, KS", Stevens County, KS,13.5,"$69,212"
"Southfield, MI", Oakland County, MI,8.2,"$69,212"
"Winter Garden, FL", Orange County, FL,9.4,"$69,212"
"Delray Beach, FL", Palm Beach County, FL,12.2,"$69,212"
"Vero Beach, FL", Indian River County, FL,10.7,"$69,212"
"Fort Pierce, FL", St. Lucie County, FL,12.1,"$69,212"
"Metairie, LA", Jefferson Parish, LA,15.6,"$69,212"
"Rock Hill, SC", York County, SC,5.5,"$69,212"
"Pleasanton, CA", Alameda County, CA,9.0,"$69,212"
"Tarpon Springs, FL", Pinellas County, FL,11.7,"$69,212"
"Fort Worth, TX", Tarrant County, TX,12.1,"$69,212"
"Douglasville, GA", Douglas County, GA,11.7,"$69,212"
"San Antonio, TX", Bexar County, TX,17.2,"$69,212"
"Mount Pleasant, TX", Titus County, TX,18.6,"$69,212"
"Uvalde, TX",Uvalde County, TX,22.9,"$69,212"
"Oyster Bay, NY", Nassau County, NY,5.8,"$69,212"
"Keller, TX", Tarrant County, TX,12.1,"$69,212"
"Tyler, TX", Smith County, TX,15.0,"$69,212"
"Salado, TX", Bell County, TX,13.0,"$69,212"
"New Ellenton, SC", Aiken County, SC,15.0,"$69,212"
"East Stroudsburg, PA", Monroe County, PA,13.2,"$69,212"
"Clarksville, TN", Montgomery County, TN,24.1,"$69,212"
"Morganfield, KY", Union County, KY,19.8,"$69,212"
"Lexington, KY", Fayette County, KY,22.5,"$69,212"
"North Miami, FL", Miami-Dade County, FL,16.0,"$69,212"
"Knoxville, TN", Knox County, TN,20.4,"$69,212"
"Lebanon, PA",Lebanon County, PA,10.0,"$69,212"
"Batesville, MS", Independence County, MS,14.5,"$69,212"
"Flora, MS", Madison County, MS,10.1,"$69,212"
"Inverness, MS", Citrus County, MS,15.2,"$69,212"
"Tunica, MS", Tunica County, MS,26.5,"$69,212"
"Purvis, MS", Lamar County, MS,14.4,"$69,212"
