year,player,pos,college,weight,height_inches,forty,vertical,bench,broad,threecone,shuttle
2019,David Long,CB,Michigan,196,71,4.45,39.5,15,120,6.45,3.97
2019,David Montgomery,RB,Iowa St.,222,70,4.63,28.5,15,121,NA,NA
2019,David Sills,WR,West Virginia,211,75,4.57,37.5,14,117,6.97,4.28
2019,Dawson Knox,TE,Mississippi,254,76,NA,34.5,16,NA,7.12,4.27
2019,Dax Raymond,TE,Utah St.,255,77,4.73,32,15,109,7.15,4.39
2019,Daylon Mack,DL,Texas A&M,336,73,5.1,27,30,102,8.02,4.95
2019,Deandre Baker,CB,Georgia,193,71,4.52,NA,14,118,NA,NA
2019,Deebo Samuel,WR,South Carolina,214,71,4.48,39,15,122,7.03,4.14
2019,Deion Calhoun,OT,Mississippi St.,310,74,5.07,28.5,26,105,7.46,4.62
2019,Deionte Thompson,S,Alabama,195,73,NA,NA,NA,NA,NA,NA
2019,Demarcus Christmas,DL,Florida St.,294,75,5.08,25.5,22,101,8.13,5.07
2019,Derrek Thomas,CB,Baylor,189,75,4.44,39.5,8,131,NA,NA
2019,Derrick Baity,CB,Kentucky,197,74,NA,38.5,10,127,7.06,4.31
2019,Derwin Gray,OT,Maryland,320,76,5.26,NA,26,90,NA,NA
2019,Deshaun Davis,OLB,Auburn,234,71,NA,31,25,111,NA,4.38
2019,Devin Bush,OLB,Michigan,234,71,4.43,40.5,21,124,6.93,4.23
2019,Devin Singletary,RB,Florida Atlantic,203,67,4.66,35,15,117,7.32,4.4
2019,Devin White,OLB,LSU,237,72,4.42,39.5,22,118,7.07,4.17
2019,Devon Johnson,OT,Ferris St.,338,79,5.16,27.5,26,89,8.34,5.28
2019,Dexter Lawrence,DL,Clemson,342,76,5.05,NA,36,NA,NA,NA
2019,Dexter Williams,RB,Notre Dame,212,71,4.57,36,17,130,7,4.16
2019,Dillon Mitchell,WR,Oregon,197,73,4.46,36.5,12,122,NA,4.29
2019,Diontae Johnson,WR,Toledo,183,70,4.53,33.5,15,123,7.09,4.45
2019,Donnell Greene,OT,Minnesota,335,77,NA,NA,NA,NA,NA,NA
2019,Donovan Wilson,S,Texas A&M,199,72,NA,36,18,127,NA,NA
2019,Dontavius Russell,DL,Auburn,319,75,5.15,NA,24,NA,7.81,4.77
2019,Dre Greenlaw,OLB,Arkansas,237,71,NA,33,24,117,NA,NA
2019,Dre'Mont Jones,DL,Ohio St.,281,75,5.12,31.5,NA,110,7.71,4.53
