College,Geographic Location,county,state,poverty_pct,med_income
Lane (TN),"Lane, TN", Dyer County, TN,18.4,"$48,010"
Liberty,"Lynchburg, VA",,,,"$48,010"
Louisiana,"Lafayette, LA", Lafayette Parish, LA,15.3,"$48,010"
Louisiana St,"Baton Rouge, LA", East Baton Rouge Parish, LA,16.7,"$48,010"
Louisiana State,"Baton Rouge, LA", East Baton Rouge Parish, LA,16.7,"$48,010"
Louisiana Tech,"Ruston, LA", Lincoln Parish, LA,25.8,"$48,010"
Louisiana-Lafayette,"Lafayette, LA", Lafayette Parish, LA,15.3,"$48,010"
Louisiana-Monroe,"Monroe, LA",Monroe County, LA,13.2,"$48,010"
Louisville,"Louisville, KY", Jefferson County, KY,8.1,"$48,010"
LSU,"Baton Rouge, LA", East Baton Rouge Parish, LA,16.7,"$48,010"
Mars Hill,"Mars Hill, NC", Madison County, NC,10.1,"$48,010"
Marshall,"Huntington, WV", Cabell County, WV,19.3,"$48,010"
Maryland,"College Park, MD", Prince George's County, MD,8.3,"$48,010"
Massachusetts,"Amherst, MA", Hampshire County, MA,20.0,"$48,010"
McNeese State,"Lake Charles, LA", Calcasieu Parish, LA,14.9,"$48,010"
Memphis,"Memphis, TN", Shelby County, TN,20.6,"$48,010"
Miami,"Miami, FL", Miami-Dade County, FL,16.0,"$48,010"
Miami (FL),"Miami, FL", Miami-Dade County, FL,16.0,"$48,010"
Miami (OH),"Miami, OH",Miami County, OH,7.9,"$48,010"
Michigan,"Ann Arbor, MI", Washtenaw County, MI,15.0,"$48,010"
Michigan St.,"East Lansing, MI", Ingham County, MI,18.1,"$48,010"
Michigan State,"East Lansing, MI", Ingham County, MI,18.1,"$48,010"
Middle Tennessee St.,"Murfreesboro, TN", Rutherford County, TN,10.4,"$48,010"
Middle Tennessee State,"Murfreesboro, TN", Rutherford County, TN,10.4,"$48,010"
Minnesota,"Minneapolis, MN", Hennepin County, MN,10.3,"$48,010"
Minnesota-Morris,"Morris, MN", Stevens County, MN,13.5,"$48,010"
Mississippi,"Oxford, MS", Oakland County, MS,8.2,"$48,010"
Mississippi St.,"Starkville, MS", Oktibbeha County, MS,27.3,"$48,010"
Mississippi State,"Starkville, MS", Oktibbeha County, MS,27.3,"$48,010"
Missouri,"Columbia, MO", Boone County, MO,22.5,"$48,010"
Missouri Southern,"Joplin, MO", Jasper County, MO,19.2,"$48,010"
Missouri Western,"St. Joseph, MO", Buchanan County, MO,27.6,"$48,010"
Montana,"Missoula, MT", Missoula County, MT,12.7,"$48,010"
Montana St,"Bozeman, MT", Gallatin County, MT,9.0,"$48,010"
Montana State,"Bozeman, MT", Gallatin County, MT,9.0,"$48,010"
Morgan State,"Baltimore, MD",,,,"$48,010"
Navy,"Annapolis, MD", Anne Arundel County, MD,7.0,"$48,010"
Nebraska,"Lincoln, NE", Lancaster County, NE,12.3,"$48,010"
Nevada,"Reno, NV", Washoe County, NV,10.4,"$48,010"
New Mexico,"Albuquerque, NM", Bernalillo County, NM,16.5,"$48,010"
New Mexico St.,"Las Cruces, NM", Doña Ana County, NM,,"$48,010"
New Mexico State,"Las Cruces, NM", Doña Ana County, NM,,"$48,010"
Nicholls State,"Thibodaux, LA", Lafourche Parish, LA,16.6,"$48,010"
Norfolk State,"Norfolk, VA",,,,"$48,010"
North Alabama,"Florence, AL", Bexar County, AL,17.2,"$48,010"
North Carolina,"Chapel Hill, NC", Orange County, NC,9.4,"$48,010"
North Carolina A&T,"Greensboro, NC", Guilford County, NC,15.4,"$48,010"
North Carolina Central,"Durham, NC", Durham County, NC,13.5,"$48,010"
North Carolina St.,"Raleigh, NC", Wake County, NC,8.4,"$48,010"
North Carolina State,"Raleigh, NC", Wake County, NC,8.4,"$48,010"
North Dakota St,"Fargo, ND", Cass County, ND,20.4,"$48,010"
North Dakota State,"Fargo, ND", Cass County, ND,20.4,"$48,010"
North Texas,"Denton, TX",Denton County, TX,7.3,"$48,010"
Northern Arizona,"Flagstaff, AZ", Coconino County, AZ,15.9,"$48,010"
Northern Colorado,"Greeley, CO",Greeley County, CO,12.8,"$48,010"
Northern Illinois,"DeKalb, IL",DeKalb County, IL,17.4,"$48,010"
Northern Iowa,"Cedar Falls, IA",,,,"$48,010"
Northwestern,"Evanston, IL", Cook County, IL,9.6,"$48,010"
Northwestern St. (LA),"Natchitoches, LA", Natchitoches Parish, LA,32.8,"$48,010"
Northwestern State,"Natchitoches, LA", Natchitoches Parish, LA,32.8,"$48,010"
Notre Dame,"Notre Dame, IN", Saint Joseph County, IN,,"$48,010"
Ohio,"Athens, OH",Athens County, OH,30.7,"$48,010"
Ohio St.,"Columbus, OH", Franklin County, OH,13.4,"$48,010"
Ohio State,"Columbus, OH", Franklin County, OH,13.4,"$48,010"
Oklahoma,"Norman, OK",,,,"$48,010"
Oklahoma St.,"Stillwater, OK",,,,"$48,010"
Oklahoma State,"Stillwater, OK",,,,"$48,010"
Old Dominion,"Norfolk, VA",,,,"$48,010"
Oregon,"Eugene, OR", Lane County, OR,18.1,"$48,010"
Oregon St.,"Corvallis, OR", Benton County, OR,9.8,"$48,010"
Oregon State,"Corvallis, OR", Benton County, OR,9.8,"$48,010"
Penn St.,"State College, PA", Centre County, PA,18.1,"$48,010"
Penn State,"University Park, PA", Lafayette County, PA,11.3,"$48,010"
Pittsburgh,"Pittsburgh, PA", Allegheny County, PA,11.7,"$48,010"
Portland State,"Portland, OR", Multnomah County, OR,12.0,"$48,010"
Purdue,"West Lafayette, IN", Tippecanoe County, IN,18.1,"$48,010"
Rice,"Houston, TX", Harris County, TX,16.5,"$48,010"
Richmond,"Richmond, VA",,,,"$48,010"
Rutgers,"Piscataway, NJ", Middlesex County, NJ,12.7,"$48,010"
Sam Houston State,"Huntsville, TX", Walker County, TX,26.1,"$48,010"
Samford,"Homewood, AL", Jefferson County, AL,8.1,"$48,010"
San Diego,"San Diego, CA", San Diego County, CA,11.5,"$48,010"
San Diego St.,"San Diego, CA", San Diego County, CA,11.5,"$48,010"
San Diego State,"San Diego, CA", San Diego County, CA,11.5,"$48,010"
San Jose St,"San Jose, CA", Santa Clara County, CA,7.3,"$48,010"
