Name,Team,Position,OVR
Tom Brady,Patriots,QB,99
Aaron Rodgers,Packers,QB,98
Peyton Manning,Colts,QB,98
Drew Brees,Saints,QB,96
Philip Rivers,Chargers,QB,96
Ben Roethlisberger,Steelers,QB,94
Michael Vick,Eagles,QB,93
Matt Ryan,Falcons,QB,90
Tony Romo,Cowboys,QB,88
Matt Schaub,Texans,QB,88
Joe Flacco,Ravens,QB,88
Eli Manning,Giants,QB,88
Josh Freeman,Buccaneers,QB,87
Matt Cassel,Chiefs,QB,86
Jay Cutler,Bears,QB,85
Sam Bradford,Rams,QB,85
Matt Hasselbeck,Titans,QB,84
Kevin Kolb,Cardinals,QB,84
Mark Sanchez,Jets,QB,83
Donovan McNabb,Vikings,QB,82
Kyle Orton,Broncos,QB,82
Jason Campbell,Raiders,QB,81
Ryan Fitzpatrick,Bills,QB,81
Matthew Stafford,Lions,QB,80
Kerry Collins,Colts,QB,77
Alex Smith,49ers,QB,77
Chad Henne,Dolphins,QB,77
Cam Newton,Panthers,QB,77
Colt McCoy,Browns,QB,77
Vince Young,Eagles,QB,77
Jon Kitna,Cowboys,QB,76
Shaun Hill,Lions,QB,76
Matt Flynn,Packers,QB,76
Tim Tebow,Broncos,QB,75
Blaine Gabbert,Jaguars,QB,75
Bruce Gradkowski,Bengals,QB,75
Charlie Batch,Steelers,QB,74
Jake Locker,Titans,QB,74
Rex Grossman,Redskins,QB,74
Mark Brunell,Jets,QB,73
Christian Ponder,Vikings,QB,73
Charlie Whitehurst,Seahawks,QB,73
Seneca Wallace,Browns,QB,73
John Beck,Redskins,QB,73
Matt Moore,Dolphins,QB,73
Matt Leinart,Texans,QB,72
Caleb Hanie,Bears,QB,72
Luke McCown,Jaguars,QB,72
Tarvaris Jackson,Seahawks,QB,72
Brady Quinn,Broncos,QB,72
Luke McCown,Jaguars,QB,72
Ryan Mallett,Patriots,QB,71
Byron Leftwich,Steelers,QB,71
Mike Kafka,Eagles,QB,71
Andy Dalton,Bengals,QB,71
Colin Kaepernick,49ers,QB,70
Dennis Dixon,Steelers,QB,70
Derek Anderson,Panthers,QB,70
Jimmy Clausen,Panthers,QB,70
Sage Rosenfels,Giants,QB,70
Tyler Thigpen,Bills,QB,69
John Skelton,Cardinals,QB,69
Billy Volek,Chargers,QB,69
Ricky Stanzi,Chiefs,QB,68
Drew Stanton,Lions,QB,68
A.J. Feeley,Rams,QB,68
Chase Daniel,Saints,QB,67
Stephen McGee,Cowboys,QB,67
Josh Johnson,Buccaneers,QB,67
Hunter Cantwell,Ravens,QB,67
Curtis Painter,Colts,QB,67
Kyle Boller,Raiders,QB,66
Joe Webb,Vikings,QB,66
T.J. Yates,Texans,QB,66
Graham Harrell,Packers,QB,66
Brian Hoyer,Patriots,QB,66
David Carr,Giants,QB,65
Kevin O'Connell,Jets,QB,65
Terrelle Pryor,Raiders,QB,65
Nathan Enderle,Bears,QB,64
Brad Smith,Bills,QB,64
Levi Brown,Bills,QB,63
Dan LeFevour,Bengals,QB,63
Jonathan Crompton,Redskins,QB,63
Tyler Palko,Chiefs,QB,62
Tyrod Taylor,Ravens,QB,62
Richard Bartel,Cardinals,QB,62
Pat Devlin,Dolphins,QB,61
Rusty Smith,Titans,QB,60
Josh Portis,Seahawks,QB,56
Thaddeus Lewis,Browns,QB,56
Antonio Gates,Chargers,TE,99
Andre Johnson,Texans,WR,97
Dallas Clark,Colts,TE,96
Jason Witten,Cowboys,TE,96
Roddy White,Falcons,WR,96
Larry Fitzgerald,Cardinals,WR,96
Reggie Wayne,Colts,WR,95
Calvin Johnson Jr.,Lions,WR,93
Greg Jennings,Packers,WR,93
Tony Gonzalez,Falcons,TE,92
Brandon Marshall,Dolphins,WR,92
DeSean Jackson,Eagles,WR,91
Dwayne Bowe,Chiefs,WR,91
Vernon Davis,49ers,TE,91
Marcedes Lewis,Jaguars,TE,90
Wes Welker,Patriots,WR,90
Jermichael Finley,Packers,TE,90
Zach Miller,Seahawks,TE,89
Miles Austin,Cowboys,WR,89
Hakeem Nicks,Giants,WR,89
Kellen Winslow,Buccaneers,TE,89
Steve Smith,Panthers,WR,89
Brandon Lloyd,Broncos,WR,88
Marques Colston,Saints,WR,88
Anquan Boldin,Ravens,WR,87
Vincent Jackson,Chargers,WR,87
Santonio Holmes,Jets,WR,87
Mike Wallace,Steelers,WR,87
Chris Cooley,Redskins,TE,87
Hines Ward,Steelers,WR,86
Steve Johnson,Bills,WR,86
Kenny Britt,Titans,WR,86
Jeremy Maclin,Eagles,WR,86
Owen Daniels,Texans,TE,86
Derrick Mason,Jets,WR,86
Greg Olsen,Panthers,TE,86
Sidney Rice,Seahawks,WR,85
Dustin Keller,Jets,TE,85
Heath Miller,Steelers,TE,85
