Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Excess Transfers Back,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,Facilities and Equipment,Coaches Compensation,Support and Admin Compensation w/Severance,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Ticket Sales,Institutional/Government Support,Student Fees,Total Institutional/Government Support and Student Fees,Total Football Spending,Total Football Coaching Salaries
Alabama A & M University,100654,2005,Football Championship Subdivision,,"$5,370,853 ",$0 ,"$158,019 ","$61,448 ","$12,290 ","$34,630 ","$700,874 ","$379,221 ","$1,303,871 ","$452,677 ","$2,267,823 ","$2,068,462 ","$39,573 ","$151,071 ","$14,748 ","$172,129 ","$419,002 ","$367,557 ",$0 ,"$904,383 ","$904,383 ","$1,781,536 ","$514,094 "
Alabama A & M University,100654,2006,Football Championship Subdivision,,"$9,299,994 ",$0 ,"$670,079 ","$416,230 ","$44,459 ","$24,387 ","$948,602 ","$2,279,856 ","$1,765,694 ","$692,385 ","$2,458,302 ","$11,588,385 ","$508,654 ",$0 ,"$32,621 ","$380,928 ","$307,800 ","$553,227 ","$8,956,831 ","$848,322 ","$9,805,153 ","$2,020,751 ","$743,039 "
Alabama A & M University,100654,2007,Football Championship Subdivision,,"$6,199,436 ",$0 ,"$208,346 ","$385,750 ","$45,144 ","$39,733 ","$588,712 ","$102,271 ","$2,078,129 ","$533,119 ","$2,218,232 ","$7,926,019 ","$124,987 ","$66,159 ","$11,575 ","$433,531 ","$484,068 ","$594,116 ","$6,044,654 ","$166,929 ","$6,211,583 ","$2,037,326 ","$866,419 "
Alabama A & M University,100654,2008,Football Championship Subdivision,,"$7,099,002 ",$0 ,"$323,766 ","$236,403 ","$31,436 ","$68,813 ","$1,895,433 ","$256,447 ","$1,876,988 ","$487,143 ","$1,922,573 ","$8,086,755 ","$116,879 ","$89,492 ","$25,305 ","$951,195 ","$464,729 ","$79,219 ","$6,119,909 ","$240,028 ","$6,359,937 ","$2,424,904 ","$867,828 "
Alabama A & M University,100654,2009,Football Championship Subdivision,,"$7,429,767 ",$0 ,"$575,429 ","$253,302 ","$48,664 ","$47,679 ","$997,317 ","$574,773 ","$1,883,685 ","$488,881 ","$2,560,035 ","$9,746,256 ","$119,956 ","$115,752 ","$78,341 ","$773,439 ","$410,058 ","$587,526 ","$7,063,116 ","$598,069 ","$7,661,184 ","$2,341,015 ","$870,925 "
Alabama A & M University,100654,2010,Football Championship Subdivision,,"$7,220,625 ",$0 ,"$404,022 ","$204,489 ","$25,368 ","$63,493 ","$858,762 ","$195,950 ","$1,627,149 ","$966,756 ","$2,874,635 ","$7,248,560 ","$325,178 ","$1,004 ",$0 ,"$888,005 ","$469,178 ","$683,465 ","$4,273,331 ","$608,399 ","$4,881,729 ","$2,298,880 ","$765,946 "
Alabama A & M University,100654,2011,Football Championship Subdivision,,"$7,448,191 ",$0 ,"$211,796 ","$189,049 ",$0 ,"$61,550 ","$933,200 ","$223,186 ","$1,516,303 ","$1,049,886 ","$3,263,222 ","$6,405,306 ","$182,538 ","$1,035 ",$0 ,"$471,400 ","$608,823 ","$325,851 ","$4,141,113 ","$674,546 ","$4,815,659 ","$2,215,273 ","$588,442 "
Alabama A & M University,100654,2012,Football Championship Subdivision,,"$6,903,937 ",$0 ,"$124,996 ","$159,376 ",$0 ,"$57,855 ","$1,247,364 ","$231,664 ","$1,356,796 ","$579,757 ","$3,146,129 ","$5,766,643 ","$254,644 ","$18,806 ",$0 ,"$678,519 ","$412,945 ","$489,891 ","$3,591,248 ","$320,589 ","$3,911,838 ","$2,520,335 ","$671,128 "
Alabama A & M University,100654,2013,Football Championship Subdivision,,"$7,572,084 ",$0 ,"$418,750 ","$201,713 ",$0 ,"$73,635 ","$1,343,287 ","$265,094 ","$1,463,275 ","$1,139,794 ","$2,666,536 ","$7,572,084 ","$201,358 ","$19,171 ",$0 ,"$967,065 ","$417,874 ","$407,150 ","$5,132,937 ","$426,529 ","$5,559,466 ","$2,327,408 ","$699,654 "
Alabama A & M University,100654,2014,Football Championship Subdivision,,"$7,340,959 ",$0 ,"$399,082 ","$179,211 ",$0 ,"$143,184 ","$912,156 ","$140,487 ","$1,765,487 ","$504,369 ","$3,296,983 ","$9,700,681 ","$321,163 ","$12,085 ","$570,505 ","$645,801 ","$326,925 ","$380,077 ","$7,024,405 ","$419,720 ","$7,444,125 ","$2,691,835 ","$864,379 "
Alabama A & M University,100654,2015,Football Championship Subdivision,,"$10,141,456 ",$0 ,"$447,322 ","$286,570 ","$3,038 ","$111,033 ","$1,512,948 ","$965,130 ","$1,787,272 ","$1,505,883 ","$3,522,259 ","$10,359,682 ","$276,404 ","$22,591 ","$503,719 ","$908,316 ","$259,116 ","$387,433 ","$7,700,518 ","$301,584 ","$8,002,102 ","$2,890,636 ","$841,006 "
Alabama A & M University,100654,2016,Football Championship Subdivision,,"$9,372,315 ",$0 ,"$384,970 ","$302,837 ","$51,500 ","$74,858 ","$1,460,189 ","$248,645 ","$1,960,281 ","$1,144,888 ","$3,744,147 ","$2,592,863 ","$366,028 ","$22,816 ","$33,500 ","$1,027,104 ","$509,673 ","$270,029 ","$38,826 ","$324,887 ","$363,713 ","$3,003,670 ","$873,220 "
Alabama A & M University,100654,2017,Football Championship Subdivision,,"$9,466,448 ",$0 ,"$348,965 ","$570,000 ","$1,000 ","$41,131 ","$1,298,908 ","$547,596 ","$2,027,633 ","$1,196,074 ","$3,435,141 ","$3,293,950 ","$248,536 ",$81 ,"$34,100 ","$1,589,250 ","$794,021 ","$285,239 ",$0 ,"$342,723 ","$342,723 ","$2,896,772 ","$863,761 "
Alabama A & M University,100654,2018,Football Championship Subdivision,,"$10,084,138 ",$0 ,"$425,847 ","$600,000 ",$0 ,"$41,131 ","$1,298,908 ","$945,510 ","$2,027,633 ","$1,196,074 ","$3,549,035 ","$10,084,138 ","$259,792 ","$53,600 ","$35,438 ","$1,348,000 ","$1,033,217 ","$289,735 ","$6,718,206 ","$346,150 ","$7,064,356 ","$2,808,121 ","$863,761 "
Alabama State University,100724,2005,Football Championship Subdivision,,"$6,909,864 ",$0 ,"$320,334 ","$191,719 ","$7,374 ","$175,690 ","$601,436 ","$1,054,705 ","$1,783,149 ","$691,957 ","$2,083,501 ","$7,145,864 ","$11,675 ","$12,290 ","$500,477 ","$143,789 ","$144,404 ","$1,273,487 ","$5,059,741 ",$0 ,"$5,059,741 ","$2,219,855 ","$728,960 "
Alabama State University,100724,2006,Football Championship Subdivision,,"$6,137,843 ",$0 ,"$249,346 ","$223,717 ","$4,167 ","$111,469 ","$375,758 ","$1,100,543 ","$1,514,729 ","$625,161 ","$1,932,953 ","$6,742,678 ","$6,377 ","$60,480 ","$182,220 ","$178,584 ",$0 ,"$966,861 ","$5,348,156 ",$0 ,"$5,348,156 ","$1,921,307 ","$642,793 "
Alabama State University,100724,2007,Football Championship Subdivision,,"$7,001,005 ",$0 ,"$281,829 ","$243,518 ",$0 ,"$215,373 ","$646,939 ","$1,102,824 ","$1,694,429 ","$794,340 ","$2,021,754 ","$7,001,005 ","$33,609 ","$28,939 ",$0 ,"$205,313 ",$0 ,"$1,163,025 ","$5,570,120 ",$0 ,"$5,570,120 ","$2,088,096 ","$668,269 "
Alabama State University,100724,2008,Football Championship Subdivision,,"$8,019,720 ",$0 ,"$836,906 ","$206,550 ","$10,924 ","$179,791 ","$878,146 ","$991,059 ","$1,775,702 ","$869,158 ","$2,271,483 ","$8,019,720 ","$45,077 ","$13,614 ","$88,074 ","$466,560 ","$527,313 ","$904,133 ","$5,974,949 ",$0 ,"$5,974,949 ","$2,461,416 ","$690,381 "
Alabama State University,100724,2009,Football Championship Subdivision,,"$9,459,889 ",$0 ,"$1,236,475 ","$234,466 ","$33,226 ","$164,774 ","$761,506 ","$596,557 ","$1,762,715 ","$1,531,784 ","$3,138,387 ","$9,459,889 ","$33,383 ","$281,918 ","$50,915 ","$436,878 ","$889,325 ","$769,722 ","$6,997,749 ",$0 ,"$6,997,749 ","$2,906,857 ","$692,486 "
Alabama State University,100724,2010,Football Championship Subdivision,,"$9,957,616 ",$0 ,"$865,564 ","$187,726 ","$8,805 ","$148,815 ","$947,547 ","$559,649 ","$1,730,694 ","$1,662,623 ","$3,846,194 ","$9,957,616 ","$44,098 ","$245,401 ","$120,530 ","$370,204 ","$723,688 ","$837,329 ","$7,616,365 ",$0 ,"$7,616,365 ","$2,733,523 ","$740,230 "
Alabama State University,100724,2011,Football Championship Subdivision,,"$11,325,086 ",$0 ,"$959,838 ","$246,471 ","$12,270 ","$174,378 ","$1,235,770 ","$732,030 ","$2,494,779 ","$1,350,584 ","$4,118,967 ","$11,325,086 ","$73,149 ","$109,900 ","$97,793 ","$729,144 ","$910,224 ","$778,389 ","$8,626,487 ",$0 ,"$8,626,487 ","$2,915,399 ","$910,860 "
Alabama State University,100724,2012,Football Championship Subdivision,,"$12,249,835 ",$0 ,"$1,009,383 ","$425,418 ","$10,567 ","$162,992 ","$1,197,649 ","$863,758 ","$2,770,823 ","$1,689,810 ","$4,119,434 ","$12,249,835 ","$117,740 ","$125,443 ","$88,226 ","$485,645 ","$907,147 ","$744,083 ","$9,781,552 ",$0 ,"$9,781,552 ","$2,943,543 ","$918,190 "
Alabama State University,100724,2013,Football Championship Subdivision,,"$14,573,461 ",$0 ,"$1,638,548 ","$320,833 ","$143,209 ","$210,280 ","$1,503,934 ","$910,345 ","$2,977,914 ","$1,421,306 ","$5,447,091 ","$14,573,461 ","$52,188 ","$24,092 ","$86,952 ","$264,100 ","$781,559 ","$821,453 ","$12,543,117 ",$0 ,"$12,543,117 ","$3,413,563 ","$1,062,277 "
Alabama State University,100724,2014,Football Championship Subdivision,,"$14,264,719 ",$0 ,"$1,621,232 ","$393,946 ","$148,524 ","$289,941 ","$1,676,025 ","$1,118,171 ","$2,883,310 ","$1,599,426 ","$4,534,144 ","$14,264,719 ","$169,408 ","$187,303 ","$150,030 ","$636,910 ","$801,078 ","$1,421,098 ","$10,898,893 ",$0 ,"$10,898,893 ","$3,111,510 ","$867,096 "
Alabama State University,100724,2015,Football Championship Subdivision,,"$14,781,721 ",$0 ,"$782,066 ","$399,800 ","$81,516 ","$314,186 ","$1,964,633 ","$1,363,296 ","$3,351,223 ","$1,666,683 ","$4,858,319 ","$14,781,721 ","$62,449 ","$149,108 ","$355,165 ","$247,719 ","$929,998 ","$1,022,390 ","$12,014,893 ",$0 ,"$12,014,893 ","$3,974,696 ","$1,191,206 "
Alabama State University,100724,2016,Football Championship Subdivision,,"$15,105,343 ",$0 ,"$1,875,725 ","$553,035 ","$76,000 ","$271,638 ","$1,618,834 ","$973,174 ","$3,446,449 ","$1,335,222 ","$4,955,266 ","$15,255,219 ","$62,592 ","$155,740 ","$97,691 ","$163,800 ","$1,172,196 ","$1,052,831 ","$12,550,369 ",$0 ,"$12,550,369 ","$3,539,427 ","$1,201,507 "
Alabama State University,100724,2017,Football Championship Subdivision,,"$14,374,967 ",$0 ,"$1,299,959 ","$149,690 ","$79,500 ","$180,180 ","$1,445,023 ","$597,829 ","$3,331,236 ","$1,681,590 ","$5,609,960 ","$14,374,967 ","$59,695 ","$188,900 ","$311,716 ","$1,028,243 ","$770,783 ","$1,551,690 ","$10,463,940 ",$0 ,"$10,463,940 ","$3,994,582 ","$1,227,992 "
Alabama State University,100724,2018,Football Championship Subdivision,,"$13,828,387 ",$0 ,"$1,142,884 ","$195,833 ","$174,500 ","$201,656 ","$1,237,200 ","$845,013 ","$3,646,509 ","$1,316,271 ","$5,068,521 ","$13,551,412 ","$192,074 ","$248,420 ","$278,621 ","$786,000 ","$1,088,518 ","$1,350,292 ","$9,607,487 ",$0 ,"$9,607,487 ","$3,717,312 ","$1,453,134 "
Alcorn State University,175342,2005,Football Championship Subdivision,,,,,,,,,,,,,,,,,,,,,,,,
Alcorn State University,175342,2006,Football Championship Subdivision,,"$4,892,451 ",$0 ,"$63,505 ","$119,123 ","$1,667 ","$45,125 ","$671,266 ","$1,141,413 ","$531,702 ","$124,877 ","$2,193,774 ","$5,420,549 ","$45,651 ","$4,982 ","$48,156 ","$209,235 ","$167,206 ","$317,540 ","$3,351,979 ","$1,275,799 ","$4,627,778 ","$1,485,189 ","$180,358 "
Alcorn State University,175342,2007,Football Championship Subdivision,,"$4,720,425 ",$0 ,"$130,279 ","$3,050 ","$2,315 ","$52,093 ","$608,785 ","$1,282,032 ","$670,652 ","$127,975 ","$1,843,244 ","$5,233,867 ","$66,061 ",$0 ,"$28,939 ","$225,551 ","$395,677 ","$720,080 ","$2,375,973 ","$1,421,587 ","$3,797,559 ","$1,169,693 ","$259,710 "
Alcorn State University,175342,2008,Football Championship Subdivision,,"$2,858,153 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$310,239 ",$0 ,"$2,547,915 ","$3,530,335 ","$135,556 ",$0 ,$0 ,"$335,970 ",$0 ,"$149,726 ","$1,449,167 ","$1,459,916 ","$2,909,083 ","$922,145 ","$98,018 "
Alcorn State University,175342,2009,Football Championship Subdivision,,"$5,528,768 ",$0 ,"$237,825 ","$21,540 ",$0 ,"$53,494 ","$594,125 ","$776,214 ","$1,220,166 ","$363,783 ","$2,261,622 ","$5,529,486 ","$234,631 ",$0 ,"$27,968 ","$809,622 ","$496,262 ","$474,396 ","$2,002,053 ","$1,484,555 ","$3,486,608 ","$1,686,124 ","$562,645 "
Alcorn State University,175342,2010,Football Championship Subdivision,,"$6,075,829 ",$0 ,"$35,611 ","$20,922 ",$0 ,"$83,983 ","$649,439 ","$931,450 ","$1,400,358 ","$579,875 ","$2,374,191 ","$6,256,448 ","$27,507 ",$0 ,"$33,020 ","$1,185,852 ","$620,660 ","$232,085 ","$2,630,302 ","$1,527,021 ","$4,157,323 ","$1,827,629 ","$655,719 "
Alcorn State University,175342,2011,Football Championship Subdivision,,"$5,950,513 ",$0 ,"$101,909 ","$177,141 ",$0 ,"$50,954 ","$651,243 ","$755,365 ","$1,445,669 ","$549,738 ","$2,218,493 ","$6,397,380 ","$68,661 ",$0 ,"$32,010 ","$1,168,933 ","$384,687 ","$303,730 ","$2,660,813 ","$1,778,547 ","$4,439,359 ","$1,504,132 ","$593,218 "
Alcorn State University,175342,2012,Football Championship Subdivision,,"$6,614,199 ",$0 ,"$178,249 ","$47,848 ",$0 ,"$62,774 ","$1,215,891 ","$755,997 ","$1,279,910 ","$324,126 ","$2,749,405 ","$6,650,375 ","$1,033,825 ",$0 ,$0 ,"$520,165 ","$191,619 ","$95,335 ","$2,804,406 ","$2,005,026 ","$4,809,432 ","$1,763,622 ","$565,537 "
Alcorn State University,175342,2013,Football Championship Subdivision,,"$6,225,582 ",$0 ,"$17,527 ","$7,210 ","$51,513 ","$61,867 ","$616,211 ","$98,693 ","$1,486,997 ","$415,171 ","$3,470,393 ","$9,196,174 ","$63,550 ",$0 ,$0 ,"$1,299,677 ",$0 ,"$104,531 ","$5,752,337 ","$1,976,079 ","$7,728,416 ","$2,143,388 ","$611,041 "
Alcorn State University,175342,2014,Football Championship Subdivision,,"$6,692,637 ",$0 ,"$149,235 ","$28,633 ",$0 ,"$53,228 ","$1,031,585 ","$559,010 ","$1,139,346 ","$413,033 ","$3,318,567 ","$6,427,725 ","$131,413 ",$0 ,$0 ,"$622,129 ","$67,926 ","$202,917 ","$4,152,725 ","$1,250,615 ","$5,403,341 ","$2,309,196 ","$517,047 "
Alcorn State University,175342,2015,Football Championship Subdivision,,"$7,461,648 ",$0 ,"$19,190 ","$27,457 ","$42,530 ","$67,355 ","$1,418,999 ","$789,080 ","$1,222,919 ","$329,971 ","$3,544,147 ","$7,351,046 ","$223,921 ",$0 ,$0 ,"$771,107 ","$67,845 ","$837,323 ","$4,350,328 ","$1,100,522 ","$5,450,850 ","$2,297,292 ","$511,371 "
Alcorn State University,175342,2016,Football Championship Subdivision,,"$6,751,529 ",$0 ,"$105,435 ","$34,019 ","$32,500 ","$102,581 ","$1,054,672 ","$883,196 ","$1,310,825 ","$490,000 ","$2,738,301 ","$5,441,889 ","$125,949 ",$0 ,$0 ,"$707,940 ","$820,994 ","$571,416 ","$2,188,905 ","$1,026,685 ","$3,215,590 ","$2,451,142 ","$655,000 "
Alcorn State University,175342,2017,Football Championship Subdivision,,"$6,280,710 ",$0 ,"$66,165 ","$32,242 ","$2,825 ","$103,102 ","$1,035,488 ","$715,358 ","$1,202,304 ","$322,000 ","$2,801,226 ","$6,321,380 ","$241,711 ",$0 ,$0 ,"$1,283,300 ","$207,805 ","$724,455 ","$2,713,905 ","$1,150,204 ","$3,864,109 ","$2,398,016 ","$655,000 "
Alcorn State University,175342,2018,Football Championship Subdivision,,"$6,784,422 ",$0 ,"$70,933 ","$29,500 ","$71,650 ","$82,203 ","$1,023,494 ","$678,584 ","$1,461,340 ","$358,000 ","$3,008,718 ","$5,740,720 ","$217,907 ",$0 ,"$708,044 ","$698,600 ",$0 ,"$686,487 ","$2,145,280 ","$1,284,402 ","$3,429,682 ","$2,224,163 ","$705,000 "
Appalachian State University,197869,2005,Football Championship Subdivision,,"$9,846,406 ",$0 ,"$851,868 ","$229,635 ","$70,973 ","$325,413 ","$908,989 ","$963,466 ","$2,290,288 ","$1,448,282 ","$2,757,492 ","$9,382,224 ","$502,200 ","$429,656 ","$1,039,247 ","$427,189 ","$448,550 ","$563,211 ","$612,892 ","$5,359,278 ","$5,972,170 ","$2,362,471 ","$648,891 "
Appalachian State University,197869,2006,Football Championship Subdivision,,"$10,765,457 ",$0 ,"$652,142 ","$243,319 ","$43,455 ","$282,950 ","$955,382 ","$1,588,731 ","$2,538,974 ","$1,600,096 ","$2,860,408 ","$10,846,085 ","$584,942 ","$639,911 ","$1,218,486 ","$1,149,396 ","$524,950 ","$774,725 ","$525,266 ","$5,428,409 ","$5,953,675 ","$2,563,549 ","$695,032 "
Appalachian State University,197869,2007,Football Championship Subdivision,,"$12,169,414 ",$0 ,"$1,569,487 ","$280,544 ","$45,144 ","$273,506 ","$1,151,471 ","$1,454,996 ","$2,651,010 ","$1,910,496 ","$2,832,761 ","$12,137,539 ","$613,096 ","$740,657 ","$1,122,005 ","$438,418 ","$719,298 ","$1,152,405 ","$928,720 ","$6,422,940 ","$7,351,660 ","$2,546,550 ","$814,289 "
Appalachian State University,197869,2008,Football Championship Subdivision,,"$15,257,710 ",$0 ,"$1,917,604 ","$480,132 ","$274,435 ","$434,947 ","$1,391,319 ","$2,119,993 ","$3,305,789 ","$2,236,892 ","$3,096,598 ","$14,723,814 ","$936,448 ","$962,323 ","$1,266,365 ","$627,601 ","$835,156 ","$1,401,475 ","$1,740,912 ","$6,953,533 ","$8,694,446 ","$4,120,545 ","$1,063,402 "
Appalachian State University,197869,2009,Football Championship Subdivision,,"$17,659,410 ",$0 ,"$3,729,257 ","$433,216 ","$173,990 ","$330,994 ","$1,695,567 ","$1,836,866 ","$3,698,111 ","$2,414,077 ","$3,347,332 ","$17,045,449 ","$820,794 ","$796,370 ","$847,947 ","$1,017,612 ","$806,131 ","$2,757,959 ","$1,665,703 ","$8,332,935 ","$9,998,638 ","$3,999,355 ","$1,097,417 "
Appalachian State University,197869,2010,Football Championship Subdivision,,"$17,814,687 ",$0 ,"$3,366,068 ","$323,018 ","$235,605 ","$337,844 ","$1,323,175 ","$1,821,073 ","$3,554,081 ","$2,774,981 ","$4,078,841 ","$17,462,906 ","$620,298 ","$793,046 ","$1,830,432 ","$590,694 ","$1,010,985 ","$3,002,998 ","$710,304 ","$8,904,148 ","$9,614,452 ","$4,262,951 ","$1,074,754 "
Appalachian State University,197869,2011,Football Championship Subdivision,,"$16,489,398 ",$0 ,"$1,609,778 ","$315,709 ","$218,778 ","$351,714 ","$1,821,276 ","$2,015,620 ","$3,548,744 ","$2,685,677 ","$3,922,102 ","$18,937,531 ","$1,515,620 ","$494,879 ","$3,078,808 ","$855,577 ","$1,013,199 ","$2,497,400 ","$495,726 ","$8,986,320 ","$9,482,047 ","$4,263,502 ","$1,050,432 "
Appalachian State University,197869,2012,Football Championship Subdivision,,"$18,020,435 ",$0 ,"$1,799,869 ","$346,065 ","$221,372 ","$383,146 ","$2,043,623 ","$2,456,663 ","$3,500,636 ","$3,125,417 ","$4,143,644 ","$19,490,234 ","$1,350,309 ","$776,715 ","$2,316,701 ","$781,352 ","$1,073,609 ","$2,482,559 ","$619,449 ","$10,089,539 ","$10,708,989 ","$4,317,559 ","$1,096,288 "
Appalachian State University,197869,2013,Football Championship Subdivision,,"$22,043,182 ",$0 ,"$1,769,266 ","$371,690 ","$238,127 ","$520,942 ","$2,025,058 ","$5,155,579 ","$4,296,329 ","$3,314,638 ","$4,351,552 ","$20,374,209 ","$697,088 ","$997,160 ","$3,743,098 ","$725,653 ","$1,141,111 ","$2,405,287 ","$505,230 ","$10,159,583 ","$10,664,813 ","$5,180,975 ","$1,544,791 "
Appalachian State University,197869,2014,Football Championship Subdivision,,"$19,587,233 ",$0 ,"$1,964,891 ","$414,224 ","$431,027 ","$511,218 ","$2,038,022 ","$2,088,641 ","$4,065,979 ","$3,283,885 ","$4,789,345 ","$19,683,009 ","$655,780 ","$1,020,331 ","$3,569,323 ","$818,423 ","$1,214,473 ","$1,978,597 ","$1,037,247 ","$9,388,834 ","$10,426,082 ","$5,091,053 ","$1,297,198 "
Appalachian State University,197869,2015,Football Bowl Subdivision,Sun Belt Conference,"$31,035,452 ",$0 ,"$3,881,606 ","$126,192 ","$369,943 ","$378,476 ","$3,590,202 ","$9,567,484 ","$4,462,684 ","$3,490,747 ","$5,168,118 ","$30,069,643 ","$571,599 ","$1,036,476 ","$3,840,163 ","$1,476,075 ","$1,824,283 ","$1,624,579 ","$8,553,766 ","$11,142,701 ","$19,696,468 ","$6,018,863 ","$1,639,288 "
Appalachian State University,197869,2016,Football Bowl Subdivision,Sun Belt Conference,"$31,523,281 ",$0 ,"$2,123,792 ","$129,963 ","$215,283 ","$496,723 ","$3,945,972 ","$10,386,002 ","$4,768,157 ","$4,030,672 ","$5,426,717 ","$31,712,155 ","$939,503 ","$1,021,924 ","$3,861,260 ","$1,188,700 ","$2,825,893 ","$1,573,482 ","$9,068,079 ","$11,233,314 ","$20,301,393 ","$7,466,848 ","$1,917,795 "
Appalachian State University,197869,2017,Football Bowl Subdivision,Sun Belt Conference,"$35,065,566 ",$0 ,"$1,697,430 ","$466,264 ","$22,296 ","$589,564 ","$4,409,568 ","$11,390,882 ","$5,921,036 ","$4,301,246 ","$6,267,280 ","$35,058,621 ","$896,728 ","$1,133,383 ","$2,918,412 ","$1,893,750 ","$4,470,878 ","$2,488,012 ","$9,448,727 ","$11,808,731 ","$21,257,458 ","$8,505,084 ","$2,423,144 "
Appalachian State University,197869,2018,Football Bowl Subdivision,Sun Belt Conference,"$36,853,981 ",$0 ,"$1,917,508 ","$334,825 ","$475,221 ","$503,266 ","$3,901,844 ","$12,516,788 ","$6,218,159 ","$4,451,498 ","$6,534,872 ","$36,940,867 ","$846,867 ","$1,279,413 ","$4,602,783 ","$1,646,250 ","$2,854,289 ","$3,148,113 ","$10,045,008 ","$12,518,144 ","$22,563,152 ","$9,257,326 ","$2,723,107 "
Arizona State University,104151,2005,Football Bowl Subdivision,Pacific-12 Conference,"$48,850,263 ",$0 ,"$7,423,053 ","$1,270,339 ","$2,439,325 ","$903,986 ","$5,214,065 ","$6,657,967 ","$8,783,224 ","$7,419,581 ","$8,738,723 ","$50,798,309 ","$2,836,487 ","$4,182,207 ","$10,545,501 ","$1,800,894 ","$10,080,001 ","$8,823,300 ","$12,529,919 ",$0 ,"$12,529,919 ","$13,008,302 ","$2,984,352 "
Arizona State University,104151,2006,Football Bowl Subdivision,Pacific-12 Conference,"$58,215,577 ",$0 ,"$10,224,136 ","$1,258,073 ","$2,993,313 ","$1,148,676 ","$5,485,141 ","$9,180,106 ","$9,386,692 ","$9,181,805 ","$9,357,635 ","$59,847,786 ","$4,072,353 ","$4,595,689 ","$14,038,068 ","$1,386,136 ","$9,807,871 ","$12,208,612 ","$13,739,057 ",$0 ,"$13,739,057 ","$17,419,325 ","$3,239,950 "
Arizona State University,104151,2007,Football Bowl Subdivision,Pacific-12 Conference,"$63,470,715 ",$0 ,"$10,222,886 ","$1,216,461 ","$2,513,924 ","$869,624 ","$7,238,637 ","$8,928,185 ","$10,509,675 ","$11,487,200 ","$10,484,123 ","$63,358,460 ","$3,277,046 ","$4,727,936 ","$13,685,929 ","$2,098,297 ","$9,862,542 ","$10,199,559 ","$19,507,151 ",$0 ,"$19,507,151 ","$21,648,730 ","$3,853,875 "
Arizona State University,104151,2008,Football Bowl Subdivision,Pacific-12 Conference,"$60,526,143 ",$0 ,"$8,748,972 ","$1,431,660 ","$3,626,645 ","$845,139 ","$7,347,576 ","$7,964,774 ","$11,385,927 ","$8,796,503 ","$10,378,946 ","$61,124,973 ","$3,519,226 ","$4,539,861 ","$13,540,581 ","$993,034 ","$10,640,869 ","$14,872,581 ","$13,018,822 ",$0 ,"$13,018,822 ","$20,640,368 ","$4,348,351 "
Arizona State University,104151,2009,Football Bowl Subdivision,Pacific-12 Conference,"$59,328,208 ",$0 ,"$9,267,460 ","$1,428,531 ","$2,754,751 ","$756,763 ","$6,608,229 ","$8,926,458 ","$11,335,682 ","$7,849,984 ","$10,400,349 ","$58,052,728 ","$3,577,463 ","$5,175,809 ","$12,293,915 ","$1,882,330 ","$10,695,838 ","$15,011,181 ","$9,416,191 ",$0 ,"$9,416,191 ","$19,329,525 ","$4,057,487 "
Arizona State University,104151,2010,Football Bowl Subdivision,Pacific-12 Conference,"$63,734,902 ",$0 ,"$8,072,832 ","$1,278,352 ","$3,928,068 ","$876,980 ","$6,184,252 ","$11,338,857 ","$11,713,228 ","$9,460,952 ","$10,881,382 ","$62,193,545 ","$3,334,506 ","$11,499,429 ","$11,111,536 ","$1,402,892 ","$10,202,606 ","$13,251,150 ","$11,391,425 ",$0 ,"$11,391,425 ","$19,905,287 ","$4,143,950 "
Arizona State University,104151,2011,Football Bowl Subdivision,Pacific-12 Conference,"$60,904,561 ",$0 ,"$7,463,518 ","$1,126,986 ","$2,190,428 ","$771,550 ","$6,403,105 ","$12,084,846 ","$11,416,456 ","$8,391,461 ","$11,056,211 ","$58,998,100 ","$3,299,324 ","$11,541,367 ","$12,785,549 ","$1,842,684 ","$9,507,543 ","$8,646,534 ","$11,375,097 ",$0 ,"$11,375,097 ","$17,721,063 ","$3,848,751 "
Arizona State University,104151,2012,Football Bowl Subdivision,Pacific-12 Conference,"$68,562,647 ",$0 ,"$7,813,555 ","$1,172,252 ","$2,657,610 ","$938,287 ","$7,574,545 ","$11,825,118 ","$12,249,113 ","$12,657,470 ","$11,674,698 ","$62,570,259 ","$4,325,055 ","$11,673,835 ","$11,776,690 ","$1,027,219 ","$13,484,526 ","$9,469,947 ","$10,812,987 ",$0 ,"$10,812,987 ","$25,654,646 ","$4,737,538 "
Arizona State University,104151,2013,Football Bowl Subdivision,Pacific-12 Conference,"$67,585,474 ",$0 ,"$9,183,204 ","$1,514,959 ","$1,564,593 ","$1,207,563 ","$7,998,191 ","$10,629,388 ","$14,020,459 ","$8,963,749 ","$12,503,370 ","$67,661,475 ","$3,765,930 ","$9,302,151 ","$13,123,014 ","$309,079 ","$20,854,396 ","$9,880,218 ","$10,426,687 ",$0 ,"$10,426,687 ","$24,295,676 ","$6,094,579 "
