pick,team,year,player,pos,college,weight,height_inches
300,NA,2016,Stephane Nembot,OT,Colorado,322,79
300,NA,2016,Stephen Anderson,TE,California,230,74
227,MIN,2016,Stephen Weatherly,OLB,Vanderbilt,267,76
300,NA,2016,Sterling Bailey,DE,Georgia,285,76
40,NYG,2016,Sterling Shepard,WR,Oklahoma,194,70
300,NA,2016,Steve Longa,ILB,Rutgers,241,73
232,WAS,2016,Steven Daniels,ILB,Boston College,243,71
53,WAS,2016,Su'A Cravens,OLB,Southern California,226,73
57,IND,2016,T.J. Green,S,Clemson,209,74
140,TEN,2016,Tajae Sharpe,WR,Massachusetts,194,74
300,NA,2016,Taveze Calhoun,CB,Mississippi State,192,72
104,BAL,2016,Tavon Young,CB,Temple,183,69
16,DET,2016,Taylor Decker,OT,Ohio State,310,79
300,NA,2016,Terrance Smith,ILB,Florida State,235,75
300,NA,2016,Tevin Carter,S,Utah,218,73
231,MIA,2016,Thomas Duarte,TE,UCLA,231,74
300,NA,2016,Tra Carson,RB,Texas A&M,227,71
220,PIT,2016,Travis Feeney,OLB,Washington,230,76
300,NA,2016,Tre Madden,RB,Southern California,223,72
300,NA,2016,Trevone Boykin,QB,Texas Christian,212,72
163,GNB,2016,Trevor Davis,WR,California,188,73
55,CIN,2016,Tyler Boyd,WR,Pittsburgh,197,73
119,HOU,2016,Tyler Ervin,RB,San Jose State,192,70
110,LAR,2016,Tyler Higbee,TE,Western Kentucky,249,78
300,NA,2016,Tyler Johnstone,OT,Oregon,301,77
246,PIT,2016,Tyler Matakevich,OLB,Temple,238,72
300,NA,2016,Tyvis Powell,S,Ohio State,211,75
300,NA,2016,Ufomba Kamalu,DE,Miami (FL),295,77
300,NA,2016,Vernon Adams,QB,Oregon,200,71
30,CAR,2016,Vernon Butler,DT,Louisiana Tech,323,76
11,TAM,2016,Vernon Hargreaves III,CB,Florida,204,70
96,NWE,2016,Vincent Valentine,DT,Nebraska,329,76
61,NOR,2016,Vonn Bell,S,Ohio State,199,71
153,PHI,2016,Wendell Smallwood,RB,West Virginia,208,70
21,HOU,2016,Will Fuller,WR,Notre Dame,186,72
68,SFO,2016,Will Redmond,CB,Mississippi State,182,71
24,CIN,2016,William Jackson III,CB,Houston,189,72
121,MIN,2016,Willie Beavers,OT,Western Michigan,321,77
132,BAL,2016,Willie Henry,DT,Michigan,303,75
38,MIA,2016,Xavien Howard,CB,Baylor,201,72
69,JAX,2016,Yannick Ngakoue,DE,Maryland,252,74
141,CAR,2016,Zack Sanchez,CB,Oklahoma,185,71
67,JAX,2015,A.J. Cann,OG,South Carolina,313,75
300,NA,2015,Aaron Davis,OLB,Colorado State,225,72
142,CHI,2015,Adrian Amos,S,Penn State,218,72
202,NWE,2015,AJ Derby,TE,Arkansas,255,76
300,NA,2015,Al Bond,OG,Memphis,303,76
300,NA,2015,Alani Fua,OLB,BYU,238,77
80,DET,2015,Alex Carter,CB,Stanford,196,72
22,PIT,2015,Alvin Dupree,DE,Kentucky,269,76
4,OAK,2015,Amari Cooper,WR,Alabama,211,73
207,IND,2015,Amarlo Herrera,ILB,Georgia,244,73
54,DET,2015,Ameer Abdullah,RB,Nebraska,205,69
13,NOR,2015,Andrus Peat,OT,Stanford,313,79
300,NA,2015,Angelo Blackson,DT,Auburn,318,76
300,NA,2015,Anthony Boone,QB,Duke,231,72
212,PIT,2015,Anthony Chickillo,DE,Miami (FL),267,75
300,NA,2015,Anthony Harris,S,Virginia,183,73
300,NA,2015,Anthony Jefferson,S,UCLA,198,73
300,NA,2015,Antwan Goodley,WR,Baylor,209,70
17,SFO,2015,Arik Armstead,DE,Oregon,292,79
300,NA,2015,B.J. Catalon,RB,TCU,186,67
193,MIN,2015,B.J. Dubose,DE,Louisville,284,76
300,NA,2015,B.J. Finney,C,Kansas State,318,76
140,OAK,2015,Ben Heeney,ILB,Kansas,231,72
229,JAX,2015,Ben Koyack,TE,Notre Dame,255,77
43,HOU,2015,Benardrick McKinney,ILB,Mississippi State,246,76
117,SFO,2015,Blake Bell,TE,Oklahoma,252,78
300,NA,2015,Blake Sims,QB,Alabama,218,71
145,MIA,2015,Bobby McCain,CB,Memphis,195,69
300,NA,2015,Bobby Richardson,DT,Indiana,283,75
300,NA,2015,Brandon Bridge,QB,South Alabama,229,76
5,WAS,2015,Brandon Scherff,OT,Iowa,319,77
300,NA,2015,Braylon Heard,RB,Kentucky,198,70
26,BAL,2015,Breshad Perriman,WR,Central Florida,212,74
300,NA,2015,Brett Boyko,OG,UNLV,301,79
147,GNB,2015,Brett Hundley,QB,UCLA,226,75
300,NA,2015,Bryan Bennett,QB,Southeastern Louisiana,211,74
224,STL,2015,Bryce Hager,ILB,Baylor,234,73
103,NYJ,2015,Bryce Petty,QB,Baylor,230,75
27,DAL,2015,Byron Jones,CB,Connecticut,199,73
300,NA,2015,Cam Worthy,WR,East Carolina,211,74
174,CAR,2015,Cameron Artis-Payne,RB,Auburn,212,70
300,NA,2015,Cameron Clear,OT,Texas A&M,277,77
19,CLE,2015,Cameron Erving,C,Florida State,313,77
90,BAL,2015,Carl Davis,DT,Iowa,320,77
300,NA,2015,Cedric Reed,DE,Texas,269,77
189,CLE,2015,Charles Gaines,CB,Louisville,180,70
91,DAL,2015,Chaz Green,OT,Florida,314,77
76,KAN,2015,Chris Conley,WR,Georgia,213,74
300,NA,2015,Chris Hackett,S,TCU,195,72
216,HOU,2015,Christian Covington,DT,Rice,289,74
109,IND,2015,Clayton Geathers,S,Central Florida,218,74
68,OAK,2015,Clive Walford,TE,Miami (FL),251,76
300,NA,2015,Cody Fajardo,QB,Nevada,223,73
300,NA,2015,Cody Prewitt,S,Mississippi,208,74
300,NA,2015,Connor Halliday,QB,Washington State,204,75
300,NA,2015,Corey Crawford,DE,Clemson,299,77
240,DET,2015,Corey Robinson,OT,South Carolina,324,79
83,SDG,2015,Craig Mager,CB,Texas State,201,71
24,ARI,2015,D.J. Humphries,OT,Florida,307,77
65,IND,2015,D'Joun Smith,CB,Florida Atlantic,187,70
300,NA,2015,Da'Ron Brown,WR,Northern Illinois,205,72
300,NA,2015,Damarious Randall,S,Arizona State,196,71
167,NOR,2015,Damian Swann,CB,Georgia,189,72
127,DAL,2015,Damien Wilson,ILB,Minnesota,245,72
88,MIN,2015,Danielle Hunter,DE,LSU,252,77
12,CLE,2015,Danny Shelton,DT,Washington,339,74
192,SDG,2015,Darius Philon,DT,Arkansas,298,73
204,BAL,2015,Darren Waller,WR,Georgia Tech,238,78
300,NA,2015,Darrian Miller,OT,Kentucky,307,77
300,NA,2015,DaVaris Daniels,WR,Notre Dame,201,73
138,TEN,2015,David Cobb,RB,Minnesota,229,71
241,PIT,2015,David Johnson,RB,Northern Iowa,224,73
300,NA,2015,David Parry,DT,Stanford,308,73
300,NA,2015,DeAndre Smelter,WR,Georgia Tech,226,74
300,NA,2015,DeAndrew White,WR,Alabama,193,71
300,NA,2015,Dee Hart,RB,Colorado State,199,67
48,SDG,2015,Denzel Perryman,ILB,Miami (FL),236,71
300,NA,2015,Deon Long,WR,Maryland,192,72
300,NA,2015,Derrick Lott,DT,Chattanooga,314,76
197,CIN,2015,Derron Smith,S,Fresno State,200,70
300,NA,2015,Detrick Bonner,S,Virginia Tech,207,72
300,NA,2015,Devante Davis,WR,UNLV,220,75
14,MIA,2015,DeVante Parker,WR,Louisville,209,75
41,CAR,2015,Devin Funchess,WR,Michigan,232,76
37,NYJ,2015,Devin Smith,WR,Ohio State,196,72
300,NA,2015,Dominique Brown,RB,Louisville,234,74
300,NA,2015,Donald Celiscar,CB,Western Michigan,194,71
121,PIT,2015,Doran Grant,CB,Ohio State,200,70
40,TEN,2015,Dorial Green-Beckham,WR,Oklahoma,237,77
300,NA,2015,Dres Anderson,WR,Utah,187,73
77,CLE,2015,Duke Johnson,RB,Miami (FL),207,69
300,NA,2015,Durell Eskridge,S,Syracuse,208,75
300,NA,2015,E.J. Bibbs,TE,Iowa State,258,74
39,CHI,2015,Eddie Goldman,DT,Florida State,336,76
79,SFO,2015,Eli Harold,OLB,Virginia,247,75
300,NA,2015,Ellis McCarthy,DT,UCLA,338,77
9,NYG,2015,Ereck Flowers,OT,Miami (FL),329,78
45,MIN,2015,Eric Kendricks,ILB,UCLA,232,72
47,PHI,2015,Eric Rowe,CB,Utah,205,73
300,NA,2015,Eric Tomlinson,TE,Texas-El Paso,263,78
300,NA,2015,Ezell Ruffin,WR,San Diego State,218,72
63,SEA,2015,Frank Clark,DE,Michigan,271,75
113,DET,2015,Gabe Wright,DT,Auburn,300,75
75,NOR,2015,Garrett Grayson,QB,Colorado State,213,74
300,NA,2015,Garry Peters,CB,Clemson,191,72
97,NWE,2015,Geneo Grissom,OLB,Oklahoma,262,75
256,ARI,2015,Gerald Christian,TE,Louisville,244,75
186,NYG,2015,Geremy Davis,WR,Connecticut,216,74
239,PIT,2015,Gerod Holliman,S,Louisville,218,72
137,ATL,2015,Grady Jarrett,DT,Clemson,304,73
300,NA,2015,Greg Mancz,C,Toledo,301,76
44,NOR,2015,Hau'oli Kikaha,OLB,Washington,253,74
219,CLE,2015,Hayes Pullard,ILB,Southern California,240,72
93,IND,2015,Henry Anderson,DE,Stanford,294,78
71,CHI,2015,Hroniss Grasu,C,Virginia Tech,297,75
115,CLE,2015,Ibraheim Campbell,S,Northwestern,208,71
241,CLE,2015,Ifo Ekpre-Olomu,CB,Oregon,192,69
300,NA,2015,J.R. Tavai,OLB,Southern California,249,74
300,NA,2015,J.T. Surratt,DT,South Carolina,304,73
300,NA,2015,Jacoby Glenn,CB,Central Florida,179,72
191,PHI,2015,JaCorey Shepherd,CB,Kansas,199,71
70,HOU,2015,Jaelen Strong,WR,Arizona State,217,74
300,NA,2015,Jahwan Edwards,RB,Ball State,220,69
129,GNB,2015,Jake Ryan,OLB,Michigan,240,74
42,ATL,2015,Jalen Collins,CB,LSU,203,73
108,TEN,2015,Jalston Fowler,FB,Alabama,254,71
1,TAM,2015,Jameis Winston,QB,Florida State,231,76
104,JAX,2015,James Sample,S,Louisville,209,74
114,MIA,2015,Jamil Douglas,OG,Arizona State,304,76
105,WAS,2015,Jamison Crowder,WR,Duke,185,68
72,STL,2015,Jamon Brown,OT,Louisville,323,76
125,BAL,2015,Javorius Allen,RB,Southern California,221,72
149,MIA,2015,Jay Ajayi,RB,Boise State,221,72
300,NA,2015,Jean Sifrin,TE,Massachusetts,245,77
92,DEN,2015,Jeff Heuerman,TE,Ohio State,254,77
106,CHI,2015,Jeremy Langford,RB,Michigan State,208,72
300,NA,2015,Jermaine Whitehead,S,Auburn,197,71
160,PIT,2015,Jesse James,TE,Penn State,261,79
166,NWE,2015,Joe Cardona,LS,Navy,242,74
231,TAM,2015,Joey Iosefa,FB,Hawaii,247,72
300,NA,2015,Joey Mbu,DT,Houston,313,75
84,PHI,2015,Jordan Hicks,OLB,Texas,236,73
52,MIA,2015,Jordan Phillips,DT,Oklahoma,329,77
64,NWE,2015,Jordan Richards,S,Stanford,211,71
300,NA,2015,Josh Harper,WR,Fresno State,191,73
205,IND,2015,Josh Robinson,RB,Mississippi State,217,68
120,CIN,2015,Josh Shaw,CB,Southern California,201,72
300,NA,2015,Julian Wilson,CB,Oklahoma,205,74
300,NA,2015,Justin Coleman,CB,Tennessee,185,71
300,NA,2015,Justin Cox,CB,Mississippi State,191,73
107,ATL,2015,Justin Hardy,WR,East Carolina,192,70
184,TAM,2015,Kaelin Clay,WR,Utah,195,70
155,BUF,2015,Karlos Williams,RB,Florida State,230,73
300,NA,2015,Keith Mumphery,WR,Michigan State,215,72
162,TAM,2015,Kenny Bell,WR,Nebraska,197,73
235,HOU,2015,Kenny Hilliard,RB,LSU,226,72
16,HOU,2015,Kevin Johnson,CB,Wake Forest,188,72
300,NA,2015,Kevin White,CB,TCU,183,69
7,CHI,2015,Kevin White,WR,West Virginia,215,75
300,NA,2015,Kurtis Drummond,S,Michigan State,208,73
124,TAM,2015,Kwon Alexander,OLB,LSU,227,73
181,WAS,2015,Kyshoen Jarrett,S,Virginia Tech,200,70
300,NA,2015,La'el Collins,OT,LSU,305,76
300,NA,2015,Ladarius Gunter,S,Miami (FL),202,73
33,NYG,2015,Landon Collins,S,Alabama,228,72
300,NA,2015,Leon Orr,DT,Florida,323,77
6,NYJ,2015,Leonard Williams,DT,Southern California,302,77
199,PIT,2015,Leterrius Walton,DT,Central Michigan,319,77
164,DEN,2015,Lorenzo Doss,CB,Tulane,182,70
82,NYJ,2015,Lorenzo Mauldin,OLB,Louisville,259,76
300,NA,2015,Louis Trinca-Pasat,DT,Iowa,290,73
300,NA,2015,Malcolm Brown,RB,Texas,224,71
300,NA,2015,Malcom Brown,DT,Texas,319,74
135,CIN,2015,Marcus Hardison,DT,Arizona State,307,75
2,TEN,2015,Marcus Mariota,QB,Oregon,222,76
230,NOR,2015,Marcus Murphy,RB,Missouri,198,69
18,KAN,2015,Marcus Peters,CB,Washington,197,72
238,CIN,2015,Mario Alford,WR,West Virginia,180,68
35,OAK,2015,"Mario Edwards, Jr.",DE,Florida State,279,75
134,SEA,2015,Mark Glowinski,OG,West Virginia,307,76
236,DAL,2015,Mark Nzeocha,OLB,Wyoming,232,74
58,ARI,2015,Markus Golden,OLB,Missouri,260,74
227,STL,2015,Martin Ifedi,DE,Memphis,275,75
141,WAS,2015,Martrell Spaight,ILB,Arkansas,236,72
95,WAS,2015,Matt Jones,RB,Florida,231,74
179,OAK,2015,Max Valles,OLB,Virginia,251,77
55,BAL,2015,Maxx Williams,TE,Minnesota,249,76
15,SDG,2015,Melvin Gordon,RB,Wisconsin,215,73
168,DET,2015,Michael Burton,FB,Rutgers,242,71
300,NA,2015,Michael Dyer,RB,Louisville,218,68
180,JAX,2015,Mike Bennett,DT,Ohio State,293,74
126,SFO,2015,Mike Davis,RB,South Carolina,217,69
300,NA,2015,Mike Hull,OLB,Penn State,237,72
51,CLE,2015,Nate Orchard,DE,Utah,250,75
161,OAK,2015,Neiron Ball,OLB,Florida,236,74
20,PHI,2015,Nelson Agholor,WR,Southern California,198,72
300,NA,2015,Nick Marshall,CB,Auburn,207,73
194,BUF,2015,Nick O'Leary,TE,Florida State,252,75
209,SEA,2015,Obum Gwacham,DE,Oregon State,246,77
74,NYG,2015,Owamagbe Odighizuwa,DE,UCLA,267,75
78,NOR,2015,P.J. Williams,CB,Florida State,194,72
99,CIN,2015,Paul Dawson,ILB,TCU,235,72
29,IND,2015,Phillip Dorsett,WR,Miami (FL),185,70
38,WAS,2015,Preston Smith,DE,Mississippi State,271,77
200,DET,2015,Quandre Diggs,CB,Texas,196,69
62,GNB,2015,Quinten Rollins,CB,Miami (OH),195,71
217,KAN,2015,Rakeem Nunez-Roches,DT,Nebraska,307,74
118,KAN,2015,Ramik Wilson,ILB,Georgia,237,74
198,CLE,2015,Randall Telfer,TE,Southern California,250,76
60,DAL,2015,Randy Gregory,DE,Nebraska,235,77
300,NA,2015,Rannell Hall,WR,Central Florida,198,72
139,JAX,2015,Rashad Greene,WR,Florida State,182,71
300,NA,2015,Reese Dismukes,C,Auburn,296,75
300,NA,2015,Rob Crisp,OT,North Carolina State,301,79
57,STL,2015,Rob Havenstein,OT,Wisconsin,321,79
50,BUF,2015,Ronald Darby,CB,Florida State,193,71
254,SFO,2015,Rory Anderson,TE,South Carolina,244,77
300,NA,2015,Ryan Delaire,DE,Towson,254,76
163,DAL,2015,Ryan Russell,DE,Purdue,269,76
87,PIT,2015,Sammie Coates,WR,Auburn,212,73
300,NA,2015,Sean Hickey,OT,Syracuse,309,77
89,STL,2015,Sean Mannion,QB,Oregon State,229,78
56,PIT,2015,Senquez Golson,CB,Mississippi,176,69
300,NA,2015,Shane Carden,QB,East Carolina,218,74
23,DEN,2015,Shane Ray,DE,Missouri,245,75
25,CAR,2015,Shaq Thompson,OLB,Washington,228,72
146,MIN,2015,Stefon Diggs,WR,Maryland,195,72
31,NOR,2015,Stephone Anthony,ILB,Clemson,243,75
98,KAN,2015,Steven Nelson,CB,Oregon State,197,70
110,MIN,2015,T.J. Clemmings,OT,Pittsburgh,309,77
36,JAX,2015,T.J. Yeldon,RB,Alabama,226,73
300,NA,2015,Taiwan Jones,ILB,Michigan State,245,75
300,NA,2015,Tavaris Barnes,DE,Clemson,282,76
183,CHI,2015,Tayo Fabuluje,OG,TCU,353,78
300,NA,2015,Terrence Magee,RB,LSU,213,68
73,ATL,2015,Tevin Coleman,RB,Indiana,206,71
300,NA,2015,Tevin McDonald,S,Eastern Washington,195,71
300,NA,2015,Thomas Rawls,RB,Central Michigan,215,69
300,NA,2015,Titus Davis,WR,Central Michigan,196,73
10,STL,2015,Todd Gurley,RB,Georgia,222,73
156,MIA,2015,Tony Lippett,WR,Michigan State,192,74
300,NA,2015,Tony Washington,OLB,Oregon,247,76
11,MIN,2015,Trae Waynes,CB,Michigan State,186,72
111,NWE,2015,Tre Jackson,OG,Florida State,330,76
244,SFO,2015,Trenton Brown,OG,Florida,355,80
300,NA,2015,Trey DePriest,ILB,Alabama,254,72
101,NWE,2015,Trey Flowers,DE,Arkansas,266,74
300,NA,2015,Trey Williams,RB,Texas A&M,195,67
300,NA,2015,Troy Hill,CB,Oregon,180,70
94,GNB,2015,Ty Montgomery,WR,Stanford,221,72
59,DEN,2015,Ty Sambrailo,OT,Colorado State,311,78
154,NOR,2015,Tyeler Davison,DT,Fresno State,316,74
85,CIN,2015,Tyler Kroft,TE,Rutgers,246,77
69,SEA,2015,Tyler Lockett,WR,Kansas State,182,70
185,MIN,2015,Tyrus Thompson,OT,Oklahoma,324,77
8,ATL,2015,Vic Beasley,OLB,Clemson,246,75
123,CLE,2015,Vince Mayle,WR,Washington State,224,74
300,NA,2015,Wes Saxton,TE,South Alabama,248,75
96,CLE,2015,Xavier Cooper,DT,Washington State,293,75
253,NWE,2015,Xzavier Dickson,OLB,Alabama,260,75
300,NA,2015,Yannick Cudjoe-Virgil,OLB,Maryland,248,74
122,BAL,2015,Za'Darius Smith,DE,Kentucky,274,76
300,NA,2014,A.C. Leonard,TE,Tennessee State,252,74
164,CIN,2014,A.J. McCarron,QB,Alabama,220,75
114,JAX,2014,Aaron Colvin,CB,Oklahoma,177,71
13,STL,2014,Aaron Donald,DT,Pittsburgh,285,73
150,SFO,2014,Aaron Lynch,DE,South Florida,249,77
163,KAN,2014,Aaron Murray,QB,Georgia,207,72
300,NA,2014,Adam Muema,RB,San Diego State,202,70
300,NA,2014,Adrian Hubbard,OLB,Alabama,257,78
248,DAL,2014,Ahmad Dixon,S,Baylor,212,72
300,NA,2014,Albert Wilson,WR,Georgia State,202,69
181,HOU,2014,Alfred Blue,RB,LSU,223,74
300,NA,2014,Allen Hurns,WR,Miami (FL),198,73
61,JAX,2014,Allen Robinson,WR,Penn State,220,75
216,HOU,2014,Andre Hal,CB,Vanderbilt,188,70
113,NYG,2014,Andre Williams,RB,Boston College,230,71
203,IND,2014,Andrew Jackson,ILB,Western Kentucky,254,73
9,MIN,2014,Anthony Barr,OLB,UCLA,255,77
119,DAL,2014,Anthony Hitchens,OLB,Iowa,240,72
300,NA,2014,Anthony Johnson,DT,LSU,308,74
300,NA,2014,Anthony Steen,OG,Alabama,314,75
182,MIN,2014,Antone Exum,CB,Virginia Tech,213,72
300,NA,2014,Antonio Andrews,RB,Western Kentucky,225,70
155,MIA,2014,Arthur Lynch,TE,Georgia,258,77
300,NA,2014,Austin Franklin,WR,New Mexico State,189,71
38,TAM,2014,Austin Seferian-Jenkins,TE,Washington,262,77
151,TEN,2014,Avery Williamson,ILB,Kentucky,246,73
102,WAS,2014,Bashaud Breeland,CB,Clemson,197,71
148,CAR,2014,Bene' Benwikere,CB,San Jose State,195,71
187,NYG,2014,Bennett Jackson,CB,Notre Dame,195,72
300,NA,2014,Bennie Fowler,WR,Michigan State,217,73
300,NA,2014,Billy Turner,OT,North Dakota State,315,77
54,TEN,2014,Bishop Sankey,RB,Washington,209,69
3,JAX,2014,Blake Bortles,QB,Central Florida,232,77
300,NA,2014,Boseko Lokombo,OLB,Oregon,225,74
31,DEN,2014,Bradley Roby,CB,Ohio State,194,71
20,NOR,2014,Brandin Cooks,WR,Oregon State,189,70
300,NA,2014,Brandon Coleman,WR,Rutgers,225,78
93,JAX,2014,Brandon Linder,OG,Miami (FL),311,78
100,SFO,2014,Brandon Thomas,OG,Clemson,317,75
134,BAL,2014,Brent Urban,DE,Virginia,295,79
131,CHI,2014,Brock Vereen,S,Minnesota,199,72
106,SFO,2014,Bruce Ellington,WR,South Carolina,197,69
105,NWE,2014,Bryan Stork,C,Florida State,315,76
300,NA,2014,Bryn Renner,QB,North Carolina,228,75
65,HOU,2014,C.J. Fiedorowicz,TE,Iowa,265,77
17,BAL,2014,C.J. Mosley,ILB,Alabama,234,74
18,NYJ,2014,Calvin Pryor,S,Louisville,207,71
140,NWE,2014,Cameron Fleming,OT,Stanford,323,77
121,GNB,2014,Carl Bradford,OLB,Arizona State,250,73
57,SFO,2014,Carlos Hyde,RB,Ohio State,230,72
108,SEA,2014,Cassius Marsh,DE,UCLA,252,76
246,CHI,2014,Charles Leno,OG,North Carolina State,303,76
77,SFO,2014,Chris Borland,ILB,Wisconsin,248,71
300,NA,2014,Chris Boyd,WR,Vanderbilt,206,76
300,NA,2014,Chris Davis,CB,Auburn,202,70
159,JAX,2014,Chris Smith,OLB,Arkansas,266,73
89,SDG,2014,Chris Watt,OG,Notre Dame,310,75
300,NA,2014,Chris Whaley,DT,Texas,269,75
300,NA,2014,Christian Jones,OLB,Florida State,240,75
71,CLE,2014,Christian Kirksey,OLB,Iowa,233,74
300,NA,2014,Cody Hoffman,WR,BYU,223,76
56,DEN,2014,Cody Latimer,WR,Indiana,215,74
300,NA,2014,Colt Lyerla,TE,Oregon,242,76
300,NA,2014,Connor Shaw,QB,South Carolina,206,72
300,NA,2014,Conor Boffeli,OG,Iowa,298,76
300,NA,2014,Corey Brown,WR,Ohio State,178,71
300,NA,2014,Cornelius Lucas,OT,Kansas State,316,80
300,NA,2014,Craig Loston,S,LSU,217,73
99,BAL,2014,Crockett Gillmore,TE,Colorado State,260,78
300,NA,2014,D.J. Tialavea,TE,Utah State,267,75
300,NA,2014,Damian Copeland,WR,Louisville,184,71
300,NA,2014,Damien Williams,RB,Oklahoma,222,71
215,PIT,2014,Daniel McCullers,DT,Tennessee,352,79
300,NA,2014,Daniel Sorensen,S,BYU,205,73
112,TEN,2014,DaQuan Jones,DT,Penn State,322,76
24,CIN,2014,Darqueze Dennard,CB,Michigan State,199,71
53,GNB,2014,Davante Adams,WR,Fresno State,212,73
183,CHI,2014,David Fales,QB,San Jose State,212,74
300,NA,2014,David Fluellen,RB,Toledo,224,71
124,KAN,2014,De'Anthony Thomas,RB,Nebraska,174,69
300,NA,2014,Deandre Coleman,DT,California,314,77
23,KAN,2014,Dee Ford,DE,Auburn,252,74
300,NA,2014,Deion Belue,CB,Alabama,182,71
34,DAL,2014,Demarcus Lawrence,DE,Boise State,251,75
197,GNB,2014,Demetri Goodson,CB,Baylor,194,71
300,NA,2014,Deone Bucannon,S,Washington State,211,73
36,OAK,2014,Derek Carr,QB,Fresno State,214,74
146,DAL,2014,Devin Street,WR,Pittsburgh,198,75
174,NYG,2014,Devon Kennard,OLB,Southern California,249,75
103,ATL,2014,Devonta Freeman,RB,Florida State,206,68
80,NYJ,2014,Dexter McDougle,CB,Maryland,196,70
68,ATL,2014,Dezmen Southward,S,Wisconsin,211,72
300,NA,2014,Dion Bailey,S,Southern California,201,72
29,NWE,2014,Dominique Easley,DT,Florida,288,74
129,SFO,2014,Dontae Johnson,CB,North Carolina State,200,74
90,IND,2014,Donte Moncrief,WR,Mississippi,221,74
97,PIT,2014,Dri Archer,WR,Kent State,173,68
188,STL,2014,E.J. Gaines,CB,Missouri,190,70
300,NA,2014,Eathyn Manumaleuna,DT,BYU,296,74
162,PHI,2014,Ed Reynolds,S,Stanford,207,73
160,ARI,2014,Ed Stinson,DE,Alabama,287,75
51,CHI,2014,Ego Ferguson,DT,LSU,315,75
10,DET,2014,Eric Ebron,TE,North Carolina,250,76
300,NA,2014,Gabe Ikard,C,Oklahoma,304,76
81,OAK,2014,Gabe Jackson,OG,Mississippi State,336,75
300,NA,2014,George Uko,DT,Southern California,284,75
2,STL,2014,Greg Robinson,OT,Auburn,332,77
21,GNB,2014,Ha Ha Clinton-Dix,S,Alabama,208,73
300,NA,2014,Henry Josey,RB,Missouri,194,68
210,NYJ,2014,I.K. Enemkpali,DE,Louisiana Tech,261,73
300,NA,2014,Isaiah Burse,WR,Fresno State,188,70
300,NA,2014,Isaiah Crowell,RB,Alabama State,224,71
300,NA,2014,Isaiah Lewis,S,Michigan State,211,70
300,NA,2014,J.C. Copeland,FB,LSU,271,71
19,MIA,2014,Ja'Wuan James,OT,Oklahoma,311,78
225,MIN,2014,Jabari Price,CB,North Carolina,200,71
49,NYJ,2014,Jace Amaro,TE,Texas Tech,265,77
300,NA,2014,Jackson Jeffcoat,DE,Texas,247,75
300,NA,2014,Jacob Pedersen,TE,Wisconsin,238,75
1,HOU,2014,Jadeveon Clowney,DE,South Carolina,266,77
300,NA,2014,Jake Murphy,TE,Utah,249,76
104,NYJ,2014,Jalen Saunders,WR,Oklahoma,165,69
300,NA,2014,James Gayle,DE,Virginia Tech,259,76
300,NA,2014,James Morris,ILB,Iowa,241,73
300,NA,2014,James Stone,C,Tennessee,306,76
130,NWE,2014,James White,RB,Wisconsin,204,69
300,NA,2014,"James Wilder, Jr.",RB,Florida State,232,75
176,GNB,2014,Jared Abbrederis,WR,Wisconsin,195,73
63,MIA,2014,Jarvis Landry,WR,LSU,205,71
25,SDG,2014,Jason Verrett,CB,TCU,189,69
74,NYG,2014,Jay Bromley,DT,Syracuse,306,75
101,PHI,2014,Jaylen Watkins,CB,Florida,194,71
300,NA,2014,Jemea Thomas,CB,Georgia Tech,192,69
177,HOU,2014,Jeoffrey Pagan,DE,Alabama,310,75
50,SDG,2014,Jeremiah Attaochu,OLB,Georgia Tech,252,75
154,NYJ,2014,Jeremiah George,ILB,Iowa State,234,71
244,NWE,2014,Jeremy Gallon,WR,Michigan,185,67
55,CIN,2014,Jeremy Hill,RB,LSU,233,73
300,NA,2014,Jerome Smith,RB,Syracuse,220,71
30,SFO,2014,Jimmie Ward,S,Northern Illinois,193,71
35,CLE,2014,Joel Bitonio,OG,Nevada,302,76
22,CLE,2014,Johnny Manziel,QB,Texas A&M,207,72
300,NA,2014,Jonathan Brown,OLB,Illinois,238,72
247,OAK,2014,Jonathan Dowling,S,Western Kentucky,190,75
166,IND,2014,Jonathan Newsome,OLB,Ball State,247,75
300,NA,2014,Jonotthan Harrison,C,Florida,304,75
300,NA,2014,Jordan Lynch,QB,Northern Illinois,217,72
42,PHI,2014,Jordan Matthews,WR,Vanderbilt,212,75
300,NA,2014,Jordan Najvar,TE,Baylor,256,78
192,PIT,2014,Jordan Zumwalt,OLB,UCLA,235,76
86,PHI,2014,Josh Huff,WR,Oregon,206,71
300,NA,2014,Josh Mauro,DE,Stanford,271,78
300,NA,2014,Josh Stewart,WR,Oklahoma State,178,70
64,SEA,2014,Justin Britt,OT,Missouri,325,78
107,OAK,2014,Justin Ellis,DT,Louisiana Tech,334,73
8,CLE,2014,Justin Gilbert,CB,Oklahoma State,202,72
117,CHI,2014,Ka'Deem Carey,RB,North Carolina State,207,69
300,NA,2014,Kain Colter,WR,Northwestern,198,70
300,NA,2014,Kaleb Ramsey,DT,Boston College,293,75
300,NA,2014,Kapri Bibbs,RB,Colorado State,212,69
84,ARI,2014,Kareem Martin,DE,North Carolina,272,78
300,NA,2014,Kasim Edebali,OLB,Boston College,253,74
116,OAK,2014,Keith McGill,CB,Utah,211,75
170,SFO,2014,Keith Reaser,CB,Florida Atlantic,189,71
