pick,team,year,player,pos,college,weight,height_inches
NA,NA,2019,Drue Tranquill,OLB,Notre Dame,234,74
NA,NA,2019,Dwayne Haskins,QB,Ohio St.,231,75
NA,NA,2019,Ed Oliver,DL,Houston,287,74
NA,NA,2019,Elgton Jenkins,OT,Mississippi St.,310,76
NA,NA,2019,Elijah Holyfield,RB,Georgia,217,70
NA,NA,2019,Emanuel Hall,WR,Missouri,201,74
NA,NA,2019,Emeke Egbule,OLB,Houston,245,74
NA,NA,2019,Emmanuel Butler,WR,Northern Arizona,217,75
NA,NA,2019,Evan Worthington,S,Colorado,212,74
NA,NA,2019,Felton Davis,WR,Michigan St.,211,75
NA,NA,2019,Foster Moreau,TE,LSU,253,76
NA,NA,2019,Gardner Minshew,QB,Washington St.,225,73
NA,NA,2019,Garrett Bradbury,OT,North Carolina St.,306,75
NA,NA,2019,Gary Jennings,WR,West Virginia,214,73
NA,NA,2019,Gary Johnson,OLB,Texas,226,72
NA,NA,2019,Gerald Willis,DL,Miami,302,74
NA,NA,2019,Germaine Pratt,OLB,North Carolina St.,240,74
NA,NA,2019,Gerri Green,DE,Mississippi St.,252,76
NA,NA,2019,Greedy Williams,CB,LSU,185,74
NA,NA,2019,Greg Dortch,WR,Wake Forest,173,67
NA,NA,2019,Greg Gaines,DL,Washington,312,73
NA,NA,2019,Hakeem Butler,WR,Iowa St.,227,77
NA,NA,2019,Hamp Cheevers,CB,Boston College,169,69
NA,NA,2019,Hjalte Froholdt,OT,Arkansas,306,77
NA,NA,2019,Hunter Renfrow,WR,Clemson,184,70
NA,NA,2019,Iman Lewis-Marshall,CB,USC,207,73
NA,NA,2019,Irv Smith,TE,Alabama,242,74
NA,NA,2019,Isaac Nauta,TE,Georgia,244,75
NA,NA,2019,Isaiah Buggs,DL,Alabama,306,75
NA,NA,2019,Isaiah Johnson,CB,Houston,208,74
NA,NA,2019,Isaiah Prince,OT,Ohio St.,305,78
NA,NA,2019,J.J. Arcega-Whiteside,WR,Stanford,225,74
NA,NA,2019,Jace Sternberger,TE,Texas A&M,251,76
NA,NA,2019,Jachai Polite,DE,Florida,258,75
NA,NA,2019,Jackson Barton,OT,Utah,310,79
NA,NA,2019,Jahlani Tavai,OLB,Hawaii,250,74
NA,NA,2019,Jake Browning,QB,Washington,211,74
NA,NA,2019,Jakobi Meyers,WR,North Carolina St.,203,74
NA,NA,2019,Jalen Hurd,WR,Baylor,226,77
NA,NA,2019,Jalen Jelks,DE,Oregon,256,77
NA,NA,2019,Jalin Moore,RB,Appalachian St.,212,70
NA,NA,2019,Jamal Custis,WR,Syracuse,214,76
NA,NA,2019,Jamal Davis,DE,Akron,243,75
NA,NA,2019,Jamal Peters,CB,Mississippi St.,218,74
NA,NA,2019,Jamarius Way,WR,South Alabama,215,75
NA,NA,2019,Jamel Dean,CB,Auburn,206,73
NA,NA,2019,James Williams,RB,Washington St.,197,69
NA,NA,2019,Jaquan Johnson,S,Miami,191,70
NA,NA,2019,Jarrett Stidham,QB,Auburn,218,74
