,Geographic Location,county,state,poverty_pct,med_income
911,"Dearborn, MI", Wayne County, MI,20.9,"$69,212"
912,"Hillside, IL", Cook County, IL,9.6,"$69,212"
913,"Sugar Hill, GA", Gwinnett County, GA,9.2,"$69,212"
914,"Thompsons Station, TN", Williamson County, TN,6.4,"$69,212"
915,"Mount Olive, MS", Morris County, MS,20.2,"$69,212"
916,"Alabaster, AL", Shelby County, AL,20.6,"$69,212"
917,"Dacula, GA", Gwinnett County, GA,9.2,"$69,212"
918,"Marianna, FL", Jackson County, FL,12.0,"$69,212"
919,"Hattiesburg, MS", Forrest County, MS,24.0,"$69,212"
920,"Florence, KY", Boone County, KY,22.5,"$69,212"
921,"Zachary, LA", East Baton Rouge Parish, LA,16.7,"$69,212"
922,"Brownsboro, TX", Henderson County, TX,19.4,"$69,212"
923,"Plaquemine, LA", Iberville Parish, LA,23.8,"$69,212"
924,"York, NE",York County, NE,5.5,"$69,212"
925,"Grand Bay, AL", Mobile County, AL,20.8,"$69,212"
926,"Napoleonville, LA", Assumption Parish, LA,20.7,"$69,212"
927,"Kinder, LA", Allen Parish, LA,19.6,"$69,212"
928,"Raleigh, MS", Smith County, MS,15.0,"$69,212"
929,"Owensboro, KY", Daviess County, KY,14.9,"$69,212"
930,"Hogansville, GA", Troup County, GA,20.2,"$69,212"
931,"Elizabethtown, KY", Hardin County, KY,12.4,"$69,212"
932,"Chattanooga, TN", Hamilton County, TN,14.7,"$69,212"
933,"Cedar Park, TX", Williamson County, TX,6.4,"$69,212"
934,"Leander, TX", Williamson County, TX,6.4,"$69,212"
935,"Clarksdale, MS", Coahoma County, MS,35.9,"$69,212"
936,"Tupelo, MS", Lee County, MS,24.8,"$69,212"
937,"Buena Park, CA", Orange County, CA,9.4,"$69,212"
938,"Alcoa, TN", Blount County, TN,9.9,"$69,212"
939,"Wimberley, TX", Hays County, TX,13.2,"$69,212"
940,"Abingdon, MD", Harford County, MD,7.0,"$69,212"
941,"Ponce De Leon, FL", Holmes County, FL,9.4,"$69,212"
942,"Scottsboro, AL", Jackson County, AL,12.0,"$69,212"
943,"Brookhaven, MS", Lincoln County, MS,7.9,"$69,212"
944,"Ville Platte, LA", Evangeline Parish, LA,27.3,"$69,212"
945,"Waynesboro, MS", Wayne County, MS,20.9,"$69,212"
946,"Ocean Springs, MS", Jackson County, MS,12.0,"$69,212"
947,"Charleston, MS", Coles County, MS,20.0,"$69,212"
948,"Ardmore, OK", Carter County, OK,19.1,"$69,212"
949,"Owasso, OK", Tulsa County, OK,14.1,"$69,212"
950,"Elk River, MN", Sherburne County, MN,6.5,"$69,212"
951,"Innsbruck, ", Olmsted County, ,7.1,"$69,212"
952,"Earle, AR", Crittenden County, AR,17.8,"$69,212"
953,"Ridgeland, MS", Madison County, MS,10.1,"$69,212"
954,"Brandon, MS",,,,"$69,212"
955,"Hurley, MS", George County, MS,16.1,"$69,212"
956,"Maplesville, AL", Chilton County, AL,17.3,"$69,212"
957,"Sachse, TX", Dallas County, TX,14.2,"$69,212"
958,"Saint James, LA",St. James Parish, LA,16.8,"$69,212"
959,"Rockwood, MI", Wayne County, MI,20.9,"$69,212"
960,"Natchez, MS", Adams County, MS,15.3,"$69,212"
961,"Ellisville, MS", Jones County, MS,22.0,"$69,212"
962,"Pontotoc, MS", Pontotoc County, MS,15.3,"$69,212"
963,"Baxley, GA",,,,"$69,212"
964,"Greenwood, SC",Greenwood County, SC,18.3,"$69,212"
965,"Summerville, SC", Dorchester County, SC,11.0,"$69,212"
966,"North Charleston, SC", Charleston County, SC,14.2,"$69,212"
967,"Waycross, GA", Ware County, GA,23.6,"$69,212"
968,"Vance, SC", Orangeburg County, SC,25.9,"$69,212"
969,"Studio City, CA", Los Angeles County, CA,14.2,"$69,212"
970,"Florissant, MO", Saint Louis County, MO,,"$69,212"
971,"Blue Springs, MO", Jackson County, MO,12.0,"$69,212"
972,"Springfield, MO", Greene County, MO,8.1,"$69,212"
973,"Forsyth, GA",Forsyth County, GA,16.4,"$69,212"
974,"Raytown, MO", Jackson County, MO,12.0,"$69,212"
975,"Buhl, AL", Tuscaloosa County, AL,16.8,"$69,212"
976,"Madison, AL", Lane County, AL,18.1,"$69,212"
977,"Bessemer, AL", Jefferson County, AL,8.1,"$69,212"
978,"Slocomb, AL", Geneva County, AL,21.3,"$69,212"
979,"Butler, GA",,,,"$69,212"
980,"Lake Butler, FL", Union County, FL,19.8,"$69,212"
981,"Colorado Springs, CO", El Paso County, CO,20.5,"$69,212"
982,"New Roads, LA", Pointe Coupee Parish, LA,20.3,"$69,212"
983,"Longview, TX", Gregg County, TX,15.1,"$69,212"
984,"Garland, TX", Dallas County, TX,14.2,"$69,212"
985,"Overland Park, KS", Johnson County, KS,10.3,"$69,212"
986,"Yoakum, TX",Yoakum County, TX,12.1,"$69,212"
987,"Stephenville, TX", Erath County, TX,18.1,"$69,212"
988,"Wichita Falls, TX", Wichita County, TX,17.8,"$69,212"
989,"Allentown, PA", Lehigh County, PA,12.0,"$69,212"
990,"Berwick, LA", Columbia County, LA,7.6,"$69,212"
991,"Boston, MA", Suffolk County, MA,7.3,"$69,212"
992,"Canton, MS", Cook County, MS,9.6,"$69,212"
993,"Marshall, TX", Harrison County, TX,16.7,"$69,212"
994,"Bastrop, LA",Bastrop County, LA,12.6,"$69,212"
995,"Gurley, AL", Madison County, AL,10.1,"$69,212"
996,"Lehigh Acres, FL", Lee County, FL,24.8,"$69,212"
997,"Harvey, LA",Harvey County, LA,10.4,"$69,212"
998,"Wetumpka, AL", Elmore County, AL,12.9,"$69,212"
999,"Anderson, SC", Anderson County, SC,19.8,"$69,212"
1000,"Perth, ", Towner County, ,9.3,"$69,212"
1001,"Pinson, AL", Jefferson County, AL,8.1,"$69,212"
1002,"Muskegon, MI", Muskegon County, MI,15.7,"$69,212"
1003,"Flint, MI", Genesee County, MI,9.9,"$69,212"
1004,"Mount Clemens, MI", Macomb County, MI,11.0,"$69,212"
1005,"Steinbrunn, ",,,,"$69,212"
1006,"Petoskey, MI", Emmet County, MI,8.3,"$69,212"
1007,"Americus, GA", Sumter County, GA,18.7,"$69,212"
1008,"Oak Park, IL", Cook County, IL,9.6,"$69,212"
1009,"Matawan, NJ", Monmouth County, NJ,6.7,"$69,212"
1010,"Estill, SC", Hampton County, SC,25.8,"$69,212"
1011,"Celebration, FL", Osceola County, FL,17.6,"$69,212"
1012,"Clermont, FL", Lake County, FL,36.5,"$69,212"
1013,"Opa Locka, FL", Miami-Dade County, FL,16.0,"$69,212"
1014,"Pasadena, TX", Harris County, TX,16.5,"$69,212"
1015,"Coconut Creek, FL", Broward County, FL,12.6,"$69,212"
1016,"Florida City, FL", Miami-Dade County, FL,16.0,"$69,212"
1017,"Leimert Park, CA", Los Angeles County, CA,14.2,"$69,212"
1018,"Coral Gables, FL", Miami-Dade County, FL,16.0,"$69,212"
1019,"Orange City, FL", Volusia County, FL,13.2,"$69,212"
1020,"Lake Tapps, WA", Pierce County, WA,8.5,"$69,212"
1021,"Logansport, LA", Cass County, LA,20.4,"$69,212"
1022,"Spring Branch, TX", Comal County, TX,7.1,"$69,212"
1023,"Manor, TX", Travis County, TX,12.0,"$69,212"
1024,"Texarkana, TX", Bowie County, TX,19.1,"$69,212"
1025,"Euless, TX", Tarrant County, TX,12.1,"$69,212"
1026,"Jersey City, NJ", Hudson County, NJ,14.3,"$69,212"
1027,"Glens Falls, NY", Warren County, NY,10.3,"$69,212"
1028,"East Norwich, NY", Nassau County, NY,5.8,"$69,212"
1029,"Glenn Dale, MD", Prince George's County, MD,8.3,"$69,212"
1030,"Goshen, NY", Orange County, NY,9.4,"$69,212"
1031,"Pine Brook, NJ", Monmouth County, NJ,6.7,"$69,212"
1032,"Rockford, IL", Winnebago County, IL,10.4,"$69,212"
1033,"Decatur, MS", Morgan County, MS,10.8,"$69,212"
1034,"Hallettsville, TX", Lavaca County, TX,13.5,"$69,212"
1035,"Walters, OK", Cotton County, OK,16.2,"$69,212"
1036,"Boerne, TX", Kendall County, TX,7.5,"$69,212"
1037,"Franklin Square, NY", Nassau County, NY,5.8,"$69,212"
1038,"Bealeton, VA", Fauquier County, VA,6.1,"$69,212"
1039,"Frostproof, FL", Polk County, FL,9.6,"$69,212"
1040,"Pahokee, FL", Palm Beach County, FL,12.2,"$69,212"
1041,"Olathe, KS", Johnson County, KS,10.3,"$69,212"
1042,"Bethel Park, PA", Windsor County, PA,9.6,"$69,212"
1043,"Ashland, NE", Saunders County, NE,7.8,"$69,212"
1044,"Richfield, OH", Summit County, OH,6.2,"$69,212"
1045,"Springfield, OH", Clark County, OH,11.9,"$69,212"
1046,"Barberton, OH", Summit County, OH,6.2,"$69,212"
1047,"Thornville, OH", Perry County, OH,17.6,"$69,212"
1048,"Norristown, PA", Montgomery County, PA,24.1,"$69,212"
1049,"Pickerington, OH", Fairfield County, OH,23.7,"$69,212"
1050,"Mcarthur, OH", Vinton County, OH,19.0,"$69,212"
1051,"Indian Land, SC", Lancaster County, SC,12.3,"$69,212"
1052,"Ottawa, OH",Ottawa County, OH,20.6,"$69,212"
1053,"Powell, OH", Delaware County, OH,8.8,"$69,212"
1054,"Monroe, OH",Monroe County, OH,13.2,"$69,212"
1055,"Sidney, OH", Shelby County, OH,20.6,"$69,212"
1056,"Bedford Heights, OH", Cuyahoga County, OH,17.9,"$69,212"
1057,"Sunnyvale, CA", Santa Clara County, CA,7.3,"$69,212"
1058,"Wheeling, WV", Ohio County, WV,12.5,"$69,212"
1059,"Saint Francis, WI",,,,"$69,212"
1060,"Oswego, IL", Kendall County, IL,7.5,"$69,212"
1061,"Aurora, IL", Kane County, IL,10.5,"$69,212"
1062,"Chelsea, MI", Washtenaw County, MI,15.0,"$69,212"
1063,"Grandville, MI", Kent County, MI,13.3,"$69,212"
1064,"Skokie, IL", Cook County, IL,9.6,"$69,212"
1065,"London, ON", Shelby County, ON,20.6,"$69,212"
1066,"Lake Villa, IL", Lake County, IL,36.5,"$69,212"
1067,"Mundelein, IL", Lake County, IL,36.5,"$69,212"
1068,"Leesburg, FL", Lake County, FL,36.5,"$69,212"
1069,"Olympia Fields, IL", Cook County, IL,9.6,"$69,212"
1070,"Maryland Heights, MO", Saint Louis County, MO,,"$69,212"
1071,"Belleville, MI", Wayne County, MI,20.9,"$69,212"
1072,"Fairmont, WV", Marion County, WV,16.6,"$69,212"
1073,"Ystad, ",,,,"$69,212"
1074,"Aliquippa, PA", Beaver County, PA,9.4,"$69,212"
1075,"Collierville, TN", Shelby County, TN,20.6,"$69,212"
1076,"Mcmurray, PA", Washington County, PA,4.5,"$69,212"
1077,"Canton, OH", Stark County, OH,14.4,"$69,212"
1078,"The Woodlands, TX", Montgomery County, TX,24.1,"$69,212"
1079,"Sherman, TX",Sherman County, TX,12.1,"$69,212"
1080,"Georgetown, TX", Williamson County, TX,6.4,"$69,212"
1081,"Irving, TX", Dallas County, TX,14.2,"$69,212"
1082,"Montoursville, PA", Lycoming County, PA,13.0,"$69,212"
1083,"New Haven, CT", Prince George's County, CT,8.3,"$69,212"
1084,"Edmonton, AB", Metcalfe County, AB,23.3,"$69,212"
1085,"Elmira, NY", Chemung County, NY,13.5,"$69,212"
1086,"Hartford, CT", Cumberland County, CT,15.7,"$69,212"
1087,"Hamilton, NJ", Monmouth County, NJ,6.7,"$69,212"
1088,"Bellport, NY", Suffolk County, NY,7.3,"$69,212"
1089,"Moore Township, PA", Northampton County, PA,18.8,"$69,212"
1090,"East Hartford, CT", Hartford County, CT,11.2,"$69,212"
1091,"Havre De Grace, MD", Harford County, MD,7.0,"$69,212"
1092,"Hockessin, DE", New Castle County, DE,11.6,"$69,212"
1093,"West Allis, WI",,,,"$69,212"
1094,"Chesterton, IN", Porter County, IN,8.9,"$69,212"
1095,"Los Altos, CA", Santa Clara County, CA,7.3,"$69,212"
1096,"Conroe, TX", Montgomery County, TX,24.1,"$69,212"
1097,"Arp, TX", Smith County, TX,15.0,"$69,212"
1098,"Carthage, TX", Panola County, TX,15.7,"$69,212"
1099,"Angleton, TX", Brazoria County, TX,10.1,"$69,212"
1100,"Oak Hills, CA", San Bernardino County, CA,14.9,"$69,212"
1101,"El Paso, TX", El Paso County, TX,20.5,"$69,212"
1102,"Wylie, TX", Collin County, TX,6.4,"$69,212"
1103,"Castroville, TX", Medina County, TX,12.3,"$69,212"
1104,"Townsville, QLD       ",,,,"$69,212"
1105,"Carson, CA", Los Angeles County, CA,14.2,"$69,212"
1106,"Fort Washington, MD", Prince George's County, MD,8.3,"$69,212"
1107,"Orange Park, FL", Clay County, FL,25.1,"$69,212"
1108,"Manchester, CT",,,,"$69,212"
1109,"Stockbridge, GA", Henry County, GA,20.0,"$69,212"
1110,"Howell, MI", Livingston County, MI,12.5,"$69,212"
1111,"Big Stone Gap, VA", Wise County, VA,25.4,"$69,212"
1112,"Chesapeake, VA",,,,"$69,212"
1113,"Abington, PA", Montgomery County, PA,24.1,"$69,212"
1114,"Shelby, NC", Cleveland County, NC,11.9,"$69,212"
1115,"East Mims, FL", Brevard County, FL,11.0,"$69,212"
1116,"Baldwinsville, NY", Onondaga County, NY,13.7,"$69,212"
1117,"Beverly, NJ", Burlington County, NJ,6.2,"$69,212"
1118,"Frackville, PA", Schuylkill County, PA,13.0,"$69,212"
1119,"Yonkers, NY", Westchester County, NY,8.3,"$69,212"
1120,"Valley Stream, NY", Nassau County, NY,5.8,"$69,212"
1121,"Lagrange, GA", Troup County, GA,20.2,"$69,212"
1122,"Macclenny, FL", Baker County, FL,15.4,"$69,212"
1123,"North Augusta, SC", Aiken County, SC,15.0,"$69,212"
1124,"North Myrtle Beach, SC", Horry County, SC,14.3,"$69,212"
1125,"Thomson, GA", McDuffie County, GA,19.9,"$69,212"
1126,"Stillwater, OK",,,,"$69,212"
1127,"Collinsville, OK", Tulsa County, OK,14.1,"$69,212"
1128,"Heath, TX", Rockwall County, TX,5.1,"$69,212"
1129,"San Ramon, CA", Contra Costa County, CA,7.8,"$69,212"
1130,"Saint Rose, LA", Clinton County, LA,12.3,"$69,212"
1131,"Donaldsonville, LA", Ascension Parish, LA,10.8,"$69,212"
1132,"Port Arthur, TX", Jefferson County, TX,8.1,"$69,212"
1133,"Alexandria, LA",,,,"$69,212"
1134,"Milledgeville, GA", Baldwin County, GA,23.8,"$69,212"
1135,"Brookhaven, GA", DeKalb County, GA,17.4,"$69,212"
1136,"Augusta, GA", Richmond County, GA,15.9,"$69,212"
1137,"Fort Valley, GA", Peach County, GA,24.0,"$69,212"
1138,"Pewaukee, WI", Waukesha County, WI,5.0,"$69,212"
1139,"Long Grove, IA", Scott County, IA,18.5,"$69,212"
1140,"Avon, CT", Brazoria County, CT,10.1,"$69,212"
1141,"Belmont, MA", Middlesex County, MA,12.7,"$69,212"
1142,"Hallandale, FL", Broward County, FL,12.6,"$69,212"
1143,"Kingston, NY", Ulster County, NY,14.3,"$69,212"
1144,"East Longmeadow, MA", Hampden County, MA,16.7,"$69,212"
1145,"West Jordan, UT", Salt Lake County, UT,9.0,"$69,212"
1146,"Aurora, CO",Aurora County, CO,10.2,"$69,212"
1147,"Hershey, NE", Lincoln County, NE,7.9,"$69,212"
1148,"Kerman, CA", Fresno County, CA,21.3,"$69,212"
1149,"Modesto, CA", Stanislaus County, CA,15.6,"$69,212"
1150,"Roxboro, NC", Person County, NC,14.8,"$69,212"
1151,"Clayton, NC", Johnston County, NC,19.5,"$69,212"
1152,"Lexington, NC", Davidson County, NC,15.4,"$69,212"
1153,"Harrison, OH",Harrison County, OH,16.7,"$69,212"
1154,"Minneapolis, MN", Hennepin County, MN,10.3,"$69,212"
1155,"Macedonia, OH", Summit County, OH,6.2,"$69,212"
1156,"La Grande, OR", Union County, OR,19.8,"$69,212"
1157,"Jenks, OK", Tulsa County, OK,14.1,"$69,212"
1158,"Queens, NY", Queens County, NY,11.6,"$69,212"
1159,"Gloucester, VA",Gloucester County, VA,9.1,"$69,212"
1160,"Surry, VA",Surry County, VA,12.9,"$69,212"
1161,"Lauderhill, FL", Broward County, FL,12.6,"$69,212"
1162,"Manson, NC", Warren County, NC,10.3,"$69,212"
1163,"Jefferson, SC", Chesterfield County, SC,7.6,"$69,212"
1164,"Lynchburg, VA",,,,"$69,212"
1165,"Hampton, VA",,,,"$69,212"
1166,"Wallace, NC", Duplin County, NC,20.4,"$69,212"
1167,"Norton, KS",Norton County, KS,14.6,"$69,212"
1168,"Cheyenne, WY", Union County, WY,19.8,"$69,212"
1169,"Kailua Kona, HI", Hawaiʻi County, HI,,"$69,212"
1170,"Prince Georges Metro C, MD",,,,"$69,212"
1171,"Inkster, MI", Wayne County, MI,20.9,"$69,212"
1172,"Loganville, GA",,,,"$69,212"
1173,"Pickton, TX", Hopkins County, TX,14.6,"$69,212"
1174,"Tustin, CA", Orange County, CA,9.4,"$69,212"
1175,"Prosper, TX", Collin County, TX,6.4,"$69,212"
1176,"Old Bridge, NJ", Middlesex County, NJ,12.7,"$69,212"
1177,"New York, NY",,,,"$69,212"
1178,"Mount Laurel, NJ", Burlington County, NJ,6.2,"$69,212"
1179,"Rio Rancho, NM", Sandoval County, NM,12.6,"$69,212"
1180,"Lancaster, TX", Dallas County, TX,14.2,"$69,212"
1181,"Klein, TX", Harris County, TX,16.5,"$69,212"
1182,"Killeen, TX", Bell County, TX,13.0,"$69,212"
1183,"Muskogee, OK",Muskogee County, OK,15.6,"$69,212"
1184,"Ossining, NY", Westchester County, NY,8.3,"$69,212"
1185,"Palm Coast, FL", Flagler County, FL,10.3,"$69,212"
1186,"Wheatland, CA", Yuba County, CA,17.2,"$69,212"
1187,"Lompoc, CA", Santa Barbara County, CA,12.6,"$69,212"
1188,"Clackamas, OR", Clackamas County, OR,7.3,"$69,212"
1189,"Woodbridge, VA", Prince William County, VA,6.4,"$69,212"
1190,"Monmouth Junction, NJ", Middlesex County, NJ,12.7,"$69,212"
1191,"Harrisburg, PA", Dauphin County, PA,13.2,"$69,212"
1192,"Howell, NJ", Monmouth County, NJ,6.7,"$69,212"
1193,"Owings Mills, MD", Baltimore County, MD,9.9,"$69,212"
1194,"Ottawa, ON", Lake County, ON,36.5,"$69,212"
1195,"Camp Hill, PA",,,,"$69,212"
1196,"Spring, TX", Harris County, TX,16.5,"$69,212"
1197,"Merrimac, MA", Essex County, MA,13.7,"$69,212"
1198,"Nazareth, PA", Northampton County, PA,18.8,"$69,212"
1199,"Midland, TX",Midland County, TX,10.1,"$69,212"
1200,"Sylvania, GA", Screven County, GA,25.9,"$69,212"
1201,"Smyrna, GA", Cobb County, GA,9.1,"$69,212"
1202,"Evans, GA", Galveston County, GA,12.1,"$69,212"
1203,"Senatobia, MS", Tate County, MS,17.6,"$69,212"
1204,"Manchester, GA", Meriwether County, GA,24.4,"$69,212"
1205,"Boiling Springs, SC", Spartanburg County, SC,13.6,"$69,212"
1206,"Franklin, GA", Nassau County, GA,5.8,"$69,212"
1207,"Lindenhurst, NY", Suffolk County, NY,7.3,"$69,212"
1208,"Pocatello, ID", Bannock County, ID,13.8,"$69,212"
1209,"Louisville, OH", Stark County, OH,14.4,"$69,212"
1210,"Ramsey, NJ", Bergen County, NJ,6.8,"$69,212"
1211,"Nashport, OH", Muskingum County, OH,16.6,"$69,212"
1212,"Dinwiddie, VA",Dinwiddie County, VA,12.5,"$69,212"
1213,"Stow, OH", Summit County, OH,6.2,"$69,212"
1214,"Murfreesboro, TN", Rutherford County, TN,10.4,"$69,212"
1215,"New Castle, PA", Lawrence County, PA,17.7,"$69,212"
1216,"Courtland, AL", Blair County, AL,14.4,"$69,212"
1217,"Jensen Beach, FL", Martin County, FL,13.6,"$69,212"
1218,"Sanford, NC", Lee County, NC,24.8,"$69,212"
1219,"Lathrup Village, MI", Oakland County, MI,8.2,"$69,212"
1220,"Newtown, PA", Schuylkill County, PA,13.0,"$69,212"
1221,"Gurnee, IL", Lake County, IL,36.5,"$69,212"
1222,"Harborcreek, PA", Erie County, PA,15.3,"$69,212"
1223,"Lexington, MS", Davidson County, MS,15.4,"$69,212"
1224,"Hamburg, ", Fremont County, ,15.7,"$69,212"
1225,"Fort Morgan, CO", Morgan County, CO,10.8,"$69,212"
1226,"Fort Collins, CO", Larimer County, CO,10.5,"$69,212"
1227,"Calabasas, CA", Los Angeles County, CA,14.2,"$69,212"
1228,"Pueblo, CO",Pueblo County, CO,17.2,"$69,212"
1229,"Claremont, CA", Los Angeles County, CA,14.2,"$69,212"
1230,"Collins, MS", Essex County, MS,13.7,"$69,212"
1231,"Fairburn, GA", Fulton County, GA,11.5,"$69,212"
1232,"Powder Springs, GA", Cobb County, GA,9.1,"$69,212"
1233,"Peoria, IL", Peoria County, IL,16.6,"$69,212"
1234,"Mokena, IL", Will County, IL,6.4,"$69,212"
1235,"Warren, AR", Bradley County, AR,14.7,"$69,212"
1236,"Draper, UT",,,,"$69,212"
1237,"Provo, UT", Utah County, UT,9.4,"$69,212"
1238,"Highland, UT", Utah County, UT,9.4,"$69,212"
1239,"Hernando, MS", DeSoto County, MS,9.0,"$69,212"
1240,"Roland, AR", Pulaski County, AR,14.6,"$69,212"
1241,"Hiram, GA", Paulding County, GA,10.3,"$69,212"
1242,"Gaithersburg, MD", Montgomery County, MD,24.1,"$69,212"
1243,"Lake City, FL", Columbia County, FL,7.6,"$69,212"
1244,"Malcolm, NE", Lancaster County, NE,12.3,"$69,212"
1245,"Norfolk, NE", Madison County, NE,10.1,"$69,212"
1246,"Clarkson, NE", Colfax County, NE,19.8,"$69,212"
1247,"Spokane Valley, WA", Spokane County, WA,13.0,"$69,212"
1248,"Arvada, CO", Jefferson County, CO,8.1,"$69,212"
1249,"Mckinleyville, CA", Humboldt County, CA,11.9,"$69,212"
1250,"Mukilteo, WA", Snohomish County, WA,7.5,"$69,212"
1251,"Coeur d'Alene, ID", Kootenai County, ID,10.3,"$69,212"
1252,"Midlothian, VA", Chesterfield County, VA,7.6,"$69,212"
1253,"Port Saint Lucie, FL", St. Lucie County, FL,12.1,"$69,212"
1254,"Titusville, FL", Brevard County, FL,11.0,"$69,212"
1255,"Lauderdale Lakes, FL", Broward County, FL,12.6,"$69,212"
1256,"Conyers, GA", Rockdale County, GA,13.2,"$69,212"
1257,"Tempe, AZ", Maricopa County, AZ,12.3,"$69,212"
1258,"Spartanburg, SC", Spartanburg County, SC,13.6,"$69,212"
1259,"Kinston, NC", Lenoir County, NC,22.1,"$69,212"
1260,"Malden, MA", Middlesex County, MA,12.7,"$69,212"
1261,"Springfield, MA", Hampden County, MA,16.7,"$69,212"
1262,"Downingtown, PA", Chester County, PA,15.9,"$69,212"
1263,"Surfside Beach, SC", Brazoria County, SC,10.1,"$69,212"
1264,"Venice, FL", Sarasota County, FL,10.3,"$69,212"
1265,"Logandale, NV", Clark County, NV,11.9,"$69,212"
1266,"Hauula, HI", Honolulu County, HI,7.7,"$69,212"
1267,"San Clemente, CA", Orange County, CA,9.4,"$69,212"
1268,"Rosenberg, TX", Fort Bend County, TX,7.9,"$69,212"
1269,"Covington, LA",Covington County, LA,26.5,"$69,212"
1270,"Springfield, PA", Bucks County, PA,5.7,"$69,212"
1271,"Orebro, ",,,,"$69,212"
1272,"Landisville, PA", Lancaster County, PA,12.3,"$69,212"
1273,"Severn, MD", Anne Arundel County, MD,7.0,"$69,212"
1274,"Shoreview, MN", Ramsey County, MN,12.3,"$69,212"
1275,"South Holland, IL", Cook County, IL,9.6,"$69,212"
1276,"Marysville, OH", Union County, OH,19.8,"$69,212"
1277,"Plymouth, MN", Hennepin County, MN,10.3,"$69,212"
1278,"Oakdale, MN", Washington County, MN,4.5,"$69,212"
1279,"Tifton, GA", Tift County, GA,19.6,"$69,212"
1280,"Norseland, MN", Nicollet County, MN,8.7,"$69,212"
1281,"Gautier, MS", Jackson County, MS,12.0,"$69,212"
1282,"Broken Arrow, OK", Tulsa County, OK,14.1,"$69,212"
1283,"Sugar Land, TX", Fort Bend County, TX,7.9,"$69,212"
1284,"North Richland Hills, TX", Tarrant County, TX,12.1,"$69,212"
1285,"Lantana, TX", Denton County, TX,7.3,"$69,212"
1286,"Ennis, TX", Ellis County, TX,8.8,"$69,212"
1287,"Anna, TX", Collin County, TX,6.4,"$69,212"
1288,"Napa, CA", Napa County, CA,8.8,"$69,212"
1289,"Milwaukee, WI",,,,"$69,212"
1290,"Waianae, HI", Honolulu County, HI,7.7,"$69,212"
1291,"Millington, TN", Shelby County, TN,20.6,"$69,212"
1292,"Renton, WA", King County, WA,9.2,"$69,212"
1293,"Jackson, TN", Madison County, TN,10.1,"$69,212"
1294,"Capitol Heights, MD", Prince George's County, MD,8.3,"$69,212"
1295,"Dalton, GA", Whitfield County, GA,14.2,"$69,212"
1296,"Carrollton, GA", Carroll County, GA,15.7,"$69,212"
1297,"Riverdale, GA", Clayton County, GA,9.4,"$69,212"
1298,"Eden, NC", Rockingham County, NC,8.7,"$69,212"
1299,"Ho Ho Kus, NJ", Bergen County, NJ,6.8,"$69,212"
1300,"Jacksonville, NC", Onslow County, NC,15.1,"$69,212"
1301,"Asheville, NC", Buncombe County, NC,11.5,"$69,212"
1302,"Clemmons, NC", Forsyth County, NC,16.4,"$69,212"
1303,"Brevard, NC", Transylvania County, NC,12.8,"$69,212"
1304,"Cleveland, TN", Bradley County, TN,14.7,"$69,212"
1305,"Lineville, AL", Clay County, AL,25.1,"$69,212"
1306,"Lynden, WA", Whatcom County, WA,14.9,"$69,212"
1307,"Neah Bay, WA", Clallam County, WA,13.3,"$69,212"
1308,"Del Mar, CA", San Diego County, CA,11.5,"$69,212"
1309,"Newport Coast, CA", Orange County, CA,9.4,"$69,212"
1310,"Pasadena, CA", Los Angeles County, CA,14.2,"$69,212"
1311,"Weddington, NC", Union County, NC,19.8,"$69,212"
1312,"Melrose, MA", Middlesex County, MA,12.7,"$69,212"
1313,"Sandy, UT",,,,"$69,212"
1314,"Troy, OH", Miami County, OH,7.9,"$69,212"
1315,"Crete, NE", Saline County, NE,12.4,"$69,212"
1316,"Greenwood, IN", Johnson County, IN,10.3,"$69,212"
1317,"Cordell, OK", Washita County, OK,17.8,"$69,212"
1318,"Keizer, OR", Marion County, OR,16.6,"$69,212"
1319,"Maple Heights, OH", Cuyahoga County, OH,17.9,"$69,212"
1320,"Poway, CA", San Diego County, CA,11.5,"$69,212"
1321,"Sudlersville, MD", Queen Anne's County, MD,6.5,"$69,212"
1322,"Newton, KS", Harvey County, KS,10.4,"$69,212"
1323,"Oakley, CA", Contra Costa County, CA,7.8,"$69,212"
1324,"Springfield, OR", Lane County, OR,18.1,"$69,212"
1325,"Camarillo, CA", Ventura County, CA,9.1,"$69,212"
1326,"Silverton, OR", Marion County, OR,16.6,"$69,212"
1327,"Norco, CA", Riverside County, CA,12.7,"$69,212"
1328,"Redding, CA", Shasta County, CA,15.2,"$69,212"
1329,"Friendswood, TX", Galveston County, TX,12.1,"$69,212"
1330,"Evergreen, CO", Jefferson County, CO,8.1,"$69,212"
1331,"Tarzana, CA", Los Angeles County, CA,14.2,"$69,212"
1332,"Atwater, CA", Merced County, CA,21.2,"$69,212"
1333,"Highlands Ranch, CO", Douglas County, CO,11.7,"$69,212"
1334,"Fresno, TX", Fort Bend County, TX,7.9,"$69,212"
1335,"Douala, ",,,,"$69,212"
1336,"Magnolia, MS", Harford County, MS,7.0,"$69,212"
1337,"Mill Creek, WA", Snohomish County, WA,7.5,"$69,212"
1338,"Angie, LA", Washington Parish, LA,24.6,"$69,212"
1339,"Burtonsville, MD", Montgomery County, MD,24.1,"$69,212"
1340,"Havertown, PA", Delaware County, PA,8.8,"$69,212"
1341,"Fort White, FL", Columbia County, FL,7.6,"$69,212"
1342,"Melbourne, FL", Brevard County, FL,11.0,"$69,212"
