,Geographic Location,county,state,poverty_pct,med_income
100,"Ibadan, ",,,,"$69,212"
101,"Blue Ridge, GA", Fannin County, GA,13.8,"$69,212"
102,"Jamesville, NY", Onondaga County, NY,13.7,"$69,212"
103,"Cornelius, NC", Mecklenburg County, NC,18.7,"$69,212"
104,"Opelika, AL", Lee County, AL,24.8,"$69,212"
105,"Oneonta, AL", Los Angeles County, AL,14.2,"$69,212"
106,"Salt Lake City, UT", Salt Lake County, UT,9.0,"$69,212"
107,"Rockwall, TX",Rockwall County, TX,5.1,"$69,212"
108,"Baton Rouge, LA", East Baton Rouge Parish, LA,16.7,"$69,212"
109,"Greenville, NC", Pitt County, NC,23.2,"$69,212"
110,"Waterloo, IA",,,,"$69,212"
111,"Paris, TX", Lamar County, TX,14.4,"$69,212"
112,"Zurich, ", Rooks County, ,11.2,"$69,212"
113,"Boca Raton, FL", Palm Beach County, FL,12.2,"$69,212"
114,"Columbia, SC", Richland County, SC,14.3,"$69,212"
115,"Breaux Bridge, LA", St. Martin Parish, LA,19.3,"$69,212"
116,"Casa Grande, AZ", Pinal County, AZ,12.9,"$69,212"
117,"Huntsville, AL", Jefferson County, AL,8.1,"$69,212"
118,"Wichita, KS", Sedgwick County, KS,13.4,"$69,212"
119,"Omaha, NE", Douglas County, NE,11.7,"$69,212"
120,"Council Bluffs, IA", Pottawattamie County, IA,11.8,"$69,212"
121,"Stanford, CA", Santa Clara County, CA,7.3,"$69,212"
122,"Wahiawa, HI", Honolulu County, HI,7.7,"$69,212"
123,"Bryan, TX", Brazos County, TX,23.2,"$69,212"
124,"Las Cruces, NM", Doña Ana County, NM,,"$69,212"
125,"Fruitland, NM", San Juan County, NM,10.2,"$69,212"
126,"Buckeye, AZ", Maricopa County, AZ,12.3,"$69,212"
127,"Dublin, CA", Alameda County, CA,9.0,"$69,212"
128,"Peoria, AZ", Maricopa County, AZ,12.3,"$69,212"
129,"Washington, DC",,,,"$69,212"
130,"Grapevine, TX", Tarrant County, TX,12.1,"$69,212"
131,"Gilbert, AZ", Maricopa County, AZ,12.3,"$69,212"
132,"Racine, WI",,,,"$69,212"
133,"Newark, NJ", Essex County, NJ,13.7,"$69,212"
134,"Manhattan Beach, CA", Los Angeles County, CA,14.2,"$69,212"
135,"Stuttgart, ", Arkansas County, ,17.9,"$69,212"
136,"Oceanside, CA", San Diego County, CA,11.5,"$69,212"
137,"Santa Rosa, CA", Sonoma County, CA,9.9,"$69,212"
138,"Beaver, OH", Pike County, OH,10.3,"$69,212"
139,"Paramus, NJ", Bergen County, NJ,6.8,"$69,212"
140,"Albuquerque, NM", Bernalillo County, NM,16.5,"$69,212"
141,"Bentonville, AR", Benton County, AR,9.8,"$69,212"
142,"Bakersfield, CA", Kern County, CA,20.5,"$69,212"
143,"Buffalo, NY", Erie County, NY,15.3,"$69,212"
144,"Sterling Heights, MI", Macomb County, MI,11.0,"$69,212"
145,"Detroit, MI", Wayne County, MI,20.9,"$69,212"
146,"Canoga Park, CA", Los Angeles County, CA,14.2,"$69,212"
147,"Castroville, CA", Monterey County, CA,13.3,"$69,212"
148,"Plantation, FL", Broward County, FL,12.6,"$69,212"
149,"Phoenix, AZ", Maricopa County, AZ,12.3,"$69,212"
150,"Centerville, OH", Montgomery County, OH,24.1,"$69,212"
151,"Saint Peters, MO", Saint Charles County, MO,,"$69,212"
152,"Concord, NC", Cabarrus County, NC,9.0,"$69,212"
153,"Jacksonville, FL", Duval County, FL,25.5,"$69,212"
154,"West Chester, OH", Butler County, OH,8.7,"$69,212"
155,"Port Orchard, WA", Kitsap County, WA,9.1,"$69,212"
156,"Thomaston, GA", Upson County, GA,21.6,"$69,212"
157,"Lone Tree, CO", Douglas County, CO,11.7,"$69,212"
158,"Johnsburg, IL", McHenry County, IL,11.9,"$69,212"
159,"Athens, TX", Henderson County, TX,19.4,"$69,212"
160,"Port Matilda, PA", Centre County, PA,18.1,"$69,212"
161,"Ventura, CA",Ventura County, CA,9.1,"$69,212"
162,"Lakewood, OH", Cuyahoga County, OH,17.9,"$69,212"
163,"Fort Wayne, IN", Allen County, IN,14.4,"$69,212"
164,"Vacaville, CA", Solano County, CA,7.9,"$69,212"
165,"Gardena, CA", Los Angeles County, CA,14.2,"$69,212"
166,"Cedar Hill, MS", Madison County, MS,10.1,"$69,212"
167,"Temple Terrace, FL", Hillsborough County, FL,7.4,"$69,212"
168,"Humble, TX", Harris County, TX,16.5,"$69,212"
169,"Upland, CA", San Bernardino County, CA,14.9,"$69,212"
170,"Hugoton, KS", Stevens County, KS,13.5,"$69,212"
171,"Southfield, MI", Oakland County, MI,8.2,"$69,212"
172,"Winter Garden, FL", Orange County, FL,9.4,"$69,212"
173,"Delray Beach, FL", Palm Beach County, FL,12.2,"$69,212"
174,"Vero Beach, FL", Indian River County, FL,10.7,"$69,212"
175,"Fort Pierce, FL", St. Lucie County, FL,12.1,"$69,212"
176,"Metairie, LA", Jefferson Parish, LA,15.6,"$69,212"
177,"Rock Hill, SC", York County, SC,5.5,"$69,212"
178,"Pleasanton, CA", Alameda County, CA,9.0,"$69,212"
179,"Tarpon Springs, FL", Pinellas County, FL,11.7,"$69,212"
180,"Fort Worth, TX", Tarrant County, TX,12.1,"$69,212"
181,"Douglasville, GA", Douglas County, GA,11.7,"$69,212"
182,"San Antonio, TX", Bexar County, TX,17.2,"$69,212"
183,"Mount Pleasant, TX", Titus County, TX,18.6,"$69,212"
184,"Uvalde, TX",Uvalde County, TX,22.9,"$69,212"
185,"Oyster Bay, NY", Nassau County, NY,5.8,"$69,212"
186,"Keller, TX", Tarrant County, TX,12.1,"$69,212"
187,"Tyler, TX", Smith County, TX,15.0,"$69,212"
188,"Salado, TX", Bell County, TX,13.0,"$69,212"
189,"New Ellenton, SC", Aiken County, SC,15.0,"$69,212"
190,"East Stroudsburg, PA", Monroe County, PA,13.2,"$69,212"
191,"Clarksville, TN", Montgomery County, TN,24.1,"$69,212"
192,"Morganfield, KY", Union County, KY,19.8,"$69,212"
193,"Lexington, KY", Fayette County, KY,22.5,"$69,212"
194,"North Miami, FL", Miami-Dade County, FL,16.0,"$69,212"
195,"Knoxville, TN", Knox County, TN,20.4,"$69,212"
196,"Lebanon, PA",Lebanon County, PA,10.0,"$69,212"
197,"Batesville, MS", Independence County, MS,14.5,"$69,212"
198,"Flora, MS", Madison County, MS,10.1,"$69,212"
199,"Inverness, MS", Citrus County, MS,15.2,"$69,212"
200,"Tunica, MS", Tunica County, MS,26.5,"$69,212"
201,"Purvis, MS", Lamar County, MS,14.4,"$69,212"
202,"Petal, MS", Forrest County, MS,24.0,"$69,212"
203,"Mobile, AL", Dearborn County, AL,9.4,"$69,212"
204,"Gulfport, MS", Harrison County, MS,16.7,"$69,212"
205,"Pell City, AL", St. Clair County, AL,18.2,"$69,212"
206,"Madison, MS",,,,"$69,212"
207,"Wiggins, MS", Stone County, MS,13.4,"$69,212"
208,"Griffin, GA", Summit County, GA,6.2,"$69,212"
209,"Caledonia, MS", Lowndes County, MS,23.1,"$69,212"
210,"Marshall, WI", Dane County, WI,10.8,"$69,212"
211,"Smyrna, TN", Rutherford County, TN,10.4,"$69,212"
212,"Los Angeles, CA", Los Angeles County, CA,14.2,"$69,212"
213,"Chicago, IL", Cook County, IL,9.6,"$69,212"
214,"Oakland, CA", Alameda County, CA,9.0,"$69,212"
215,"Tacoma, WA", Pierce County, WA,8.5,"$69,212"
216,"Berkeley, CA", Alameda County, CA,9.0,"$69,212"
217,"Corvallis, OR", Benton County, OR,9.8,"$69,212"
218,"Inglewood, CA", Los Angeles County, CA,14.2,"$69,212"
219,"Richmond, CA", Contra Costa County, CA,7.8,"$69,212"
220,"Karlstad, ", Kittson County, ,10.0,"$69,212"
221,"East Palo Alto, CA", San Mateo County, CA,6.8,"$69,212"
222,"Merced, CA",Merced County, CA,21.2,"$69,212"
223,"Portola, CA", Plumas County, CA,12.5,"$69,212"
224,"Mission Viejo, CA", Orange County, CA,9.4,"$69,212"
225,"Milpitas, CA", Santa Clara County, CA,7.3,"$69,212"
226,"Cypress, TX", Harris County, TX,16.5,"$69,212"
227,"Marble Falls, TX", Burnet County, TX,11.0,"$69,212"
228,"Cleveland, OH", Cuyahoga County, OH,17.9,"$69,212"
229,"Philadelphia, PA", Philadelphia County, PA,24.3,"$69,212"
230,"Kenton, OH", Hardin County, OH,12.4,"$69,212"
231,"Turlock, CA", Stanislaus County, CA,15.6,"$69,212"
232,"Rio De Janeiro, ",,,,"$69,212"
